 	cette	femme	malpropre	laisse	des	vêtements	ça	et	là	dans	la	parcelle	</S>
s	0.000284989	1.74562e-05	0.00513759	0.0100527	0.00780314	0.0019983	0.0138461	0.0604421	0.0575201	0.232377	0.21552	0.132735	0.262265
á	0.000584742	3.72537e-05	0.0156464	0.0190149	0.0158185	0.00561339	0.016649	0.0965532	0.0409026	0.157492	0.183983	0.284164	0.163541
l	0.00272301	8.78413e-05	0.00185965	0.0106031	0.0133914	0.0069852	0.004029	0.0162147	0.00680626	0.0228543	0.0743754	0.787193	0.0528775
e	0.00123057	0.000142897	0.00410205	0.00344047	0.00559903	0.0025177	0.00255883	0.0122555	0.0049349	0.0246391	0.0656572	0.567954	0.304968
p	0.000165419	2.77195e-05	0.00141079	0.00194798	0.00273105	0.000809231	0.00113799	0.00720633	0.0033403	0.0172947	0.0745758	0.729025	0.160328
á	0.00111443	3.62543e-05	0.00955842	0.0241553	0.0144114	0.030676	0.0175162	0.0282682	0.0606853	0.0835949	0.187785	0.166139	0.37606
n	0.00166051	3.26803e-05	0.0120682	0.0165289	0.00881338	0.0249644	0.00955951	0.0156855	0.0672567	0.0970119	0.0993982	0.202896	0.444124
g	0.000174011	9.51463e-06	0.00763978	0.00604918	0.00412558	0.0155708	0.00523406	0.0103181	0.018741	0.0410468	0.103799	0.423432	0.36386
e	0.000204339	4.65874e-05	0.0028916	0.0055536	0.0151683	0.00923181	0.00592903	0.0355912	0.00735928	0.0247858	0.0777995	0.657565	0.157874
</S>	0.000854996	7.09615e-05	0.00761292	0.0157144	0.0128336	0.00489303	0.0143947	0.0302489	0.0264683	0.0699711	0.151974	0.208774	0.456189
