 	c'	est	lui	qui	a	embourbé	le	véhicule	à	l'	entrée	d'	ekyembe	</S>
b	0.00258325	0.00710326	0.00272453	0.00767704	0.019495	0.219033	0.169133	0.391433	0.0339436	0.0167653	0.0274869	0.0140774	0.013082	0.0754628
h	0.000895979	0.00535732	0.00190537	0.00745517	0.0233844	0.553081	0.0935486	0.194264	0.0384084	0.0183123	0.0130709	0.0122489	0.0119671	0.0261006
á	0.000203582	0.00124329	0.000309778	0.00223489	0.00479614	0.237251	0.0837316	0.624458	0.0181573	0.00631024	0.00349372	0.0033643	0.00340512	0.01104
r	0.000379973	0.00234619	0.00357986	0.0154722	0.0299329	0.103593	0.259819	0.422795	0.0545886	0.0224444	0.00408799	0.00890155	0.0288856	0.0431738
í	0.00262109	0.0027158	0.00465667	0.00520537	0.0168744	0.0638683	0.0795647	0.617494	0.0524877	0.0303435	0.00559075	0.00749335	0.019267	0.0918176
s	0.00360365	0.00318132	0.0165739	0.0188286	0.0512221	0.06199	0.270322	0.277976	0.198046	0.057157	0.00736028	0.00890739	0.00624271	0.0185891
í	0.0024461	0.00162549	0.00254898	0.00374183	0.00418773	0.00657984	0.0482153	0.380768	0.23061	0.122238	0.0464696	0.0171873	0.00433605	0.129045
o	0.00191984	0.00263241	0.0215603	0.0315313	0.0165955	0.00235496	0.0744413	0.0291928	0.525188	0.231668	0.0379996	0.0126092	0.00186092	0.0104465
t	0.00143825	0.00257376	0.000519699	0.00109511	0.000663617	0.00297729	0.0262223	0.159755	0.432328	0.203242	0.0989271	0.0160865	0.0240155	0.0301563
ω	0.000987891	0.00702843	0.000583315	0.00186977	0.00163248	0.00137063	0.0355858	0.41952	0.212956	0.1978	0.0267107	0.0109288	0.055452	0.0275739
m	8.62094e-06	0.000104154	6.18231e-05	0.000283117	0.0005578	0.00300506	0.0339144	0.437279	0.183497	0.17252	0.0906701	0.0214047	0.0211534	0.0355407
b	0.000258746	0.000181006	9.71576e-05	0.000184147	0.000133158	0.00017864	0.00628826	0.1836	0.313205	0.288513	0.0358725	0.0477634	0.0521752	0.0715491
í	0.00081039	0.00156046	0.000936247	0.00196001	0.00225885	0.00519865	0.0205006	0.0690244	0.120958	0.202672	0.0273876	0.0382761	0.135968	0.372489
l	0.00183424	0.00140198	0.00153951	0.00140422	0.00229442	0.00195869	0.0290314	0.0130884	0.301094	0.418401	0.107026	0.0315405	0.00677867	0.0826073
i	0.00257926	0.00378643	0.00408219	0.00362574	0.00499995	0.00681204	0.0397368	0.0177985	0.217179	0.267949	0.120145	0.0464867	0.0297152	0.235104
m	0.00112538	0.000857667	0.00411508	0.00344035	0.00377557	0.0005749	0.0138026	0.000805251	0.160513	0.266006	0.343323	0.113413	0.00500873	0.0832392
ó	0.013915	0.0271616	0.0109	0.00838496	0.00469237	0.000467553	0.0070777	0.00160383	0.187587	0.162047	0.0658121	0.160935	0.0460829	0.303333
n	0.000906548	0.00253625	0.00679827	0.00540908	0.00345531	0.000421158	0.0105132	0.00394175	0.163839	0.197744	0.240613	0.176944	0.0913667	0.0955109
ω	0.00066153	0.000630625	0.00388323	0.00601365	0.0026559	0.000734149	0.00371157	0.00260203	0.0526522	0.132009	0.679298	0.0381109	0.00504606	0.0719913
ω	1.66707e-05	7.37057e-05	0.000227982	0.000388783	0.000356859	0.000116203	0.00191656	0.000872584	0.0329065	0.114659	0.669222	0.111636	0.00449266	0.0631145
m	0.000795057	0.00128923	0.00197272	0.00299555	0.00231692	0.000359188	0.00947902	0.00100677	0.0247326	0.0435178	0.287395	0.354016	0.120549	0.149575
e	0.000698393	0.00529237	0.00141088	0.00415528	0.00228639	0.000503309	0.00362442	0.00132391	0.108279	0.0745309	0.0746463	0.330331	0.109226	0.283692
k	6.60852e-05	0.000517946	0.000195931	0.000515418	0.000309971	0.000269261	0.00184113	0.000878828	0.0550634	0.0552753	0.146241	0.343986	0.0878699	0.30697
y	5.25193e-05	0.000576843	0.000193976	0.000342407	0.000744725	0.000807312	0.00291717	0.00327386	0.0119637	0.0229782	0.0480484	0.0534949	0.772554	0.0820519
e	7.81581e-05	0.000192704	8.02189e-05	7.09867e-05	0.000102576	0.000188825	0.00139783	0.00546541	0.0102314	0.0269293	0.0230006	0.0655711	0.819274	0.0474167
m	7.8363e-05	6.9969e-05	9.25873e-05	9.21287e-05	6.85215e-05	9.87381e-05	0.00144175	0.0060499	0.025695	0.0558303	0.0222973	0.111903	0.621731	0.154551
b	6.42014e-05	3.93845e-05	5.46137e-05	2.93704e-05	3.10986e-05	4.12294e-05	0.000200082	0.000558569	0.0134363	0.0201098	0.0117774	0.0493015	0.751904	0.152452
e	0.000115586	0.000104167	0.000117298	0.000100637	0.000196965	0.000281875	0.000209685	0.000306025	0.00380923	0.00906906	0.00250235	0.00915363	0.90795	0.0660835
</S>	0.000526436	0.000578275	0.000429469	0.00069193	0.000384522	0.000185032	0.00227156	0.00183036	0.0188387	0.0433108	0.0806643	0.161282	0.109157	0.57985
