 	l'	herbe	qui	pousse	le	plus	dans	un	terrain	favorable	à	la	cul-	ture	de	l'	arachide	est	le	chiendent	</S>
n	0.000654853	0.00331614	0.00682285	0.0165772	0.0294162	0.0454327	0.040739	0.154299	0.533025	0.0657665	0.0127921	0.0134552	0.00779167	0.0299734	0.0106293	0.00360788	0.00954021	0.00257675	0.00222953	0.00552137	0.00583231
d	0.0045771	0.00749598	0.00649099	0.0165889	0.0302048	0.0604114	0.0300327	0.111569	0.451479	0.121175	0.0141955	0.0146781	0.0230283	0.0259256	0.0193163	0.0160808	0.0119044	0.00524546	0.0056992	0.00292989	0.0209716
á	0.0101517	0.0173252	0.0166597	0.0320314	0.0266522	0.0311895	0.0119953	0.0572538	0.419269	0.0695154	0.0110716	0.0137823	0.0737537	0.0258624	0.0150942	0.0184752	0.0394236	0.00244836	0.00688306	0.0223248	0.0788373
o	0.00511686	0.00161703	0.00751395	0.0241899	0.028934	0.0983035	0.108081	0.100223	0.0257777	0.155646	0.184834	0.0858204	0.0330758	0.0328919	0.0403125	0.0297441	0.0159593	0.0057378	0.00975861	0.000862251	0.00560055
t	0.00446207	0.00944911	0.00402027	0.00370508	0.0122941	0.0131089	0.0250004	0.0774012	0.13538	0.158947	0.0803725	0.109926	0.108448	0.0746613	0.0197308	0.0153807	0.113829	0.013629	0.00510293	0.0106914	0.00445953
ω	0.000642858	0.00419539	0.00187844	0.0017919	0.00368078	0.00568932	0.00401566	0.0495303	0.313853	0.12121	0.0300327	0.0610753	0.0570318	0.175544	0.0112642	0.00600969	0.120369	0.01125	0.00202332	0.0131473	0.00576505
ω	0.000159639	0.00052223	0.0019248	0.00474842	0.00787546	0.0193757	0.0125928	0.0725762	0.0752235	0.242817	0.0227429	0.0279185	0.0570189	0.291175	0.0237395	0.00779989	0.069707	0.00601374	0.010583	0.0263012	0.0191852
o	0.00158861	0.000785925	0.00141554	0.00127102	0.00288093	0.00778349	0.0143038	0.0152573	0.00201217	0.0295836	0.160298	0.165425	0.0950521	0.0644434	0.173311	0.157515	0.0373602	0.0323955	0.0339553	0.00094719	0.00241564
y	0.00678037	0.0099662	0.00605124	0.00129964	0.0052114	0.00256068	0.00629931	0.00404549	0.000383918	0.00232563	0.0379775	0.149803	0.118865	0.0286042	0.06285	0.106292	0.205453	0.123201	0.0714184	0.0398653	0.0107454
í	0.00332677	0.00487373	0.0107759	0.000466962	0.00172516	0.000656749	0.00237976	0.00200325	0.000735981	0.000232802	0.0312325	0.0878275	0.444452	0.0217498	0.0252644	0.0675083	0.245494	0.00640209	0.0191437	0.0174289	0.00632017
í	0.00117019	0.000906229	0.0048223	0.000807334	0.0024226	0.00325706	0.00858765	0.0105172	0.00221716	0.00281964	0.074318	0.154368	0.406608	0.0462064	0.0412804	0.073454	0.101461	0.0128816	0.0229437	0.0105187	0.0184337
o	0.000703157	0.000292679	0.000775656	0.00114454	0.00189185	0.0027646	0.00334078	0.00393716	0.000495407	0.00795951	0.0707205	0.0655375	0.0576476	0.033036	0.105904	0.195629	0.053775	0.13035	0.229485	0.0098196	0.0247897
n	0.00210985	0.0060051	0.00383449	0.000830593	0.00380004	0.00118526	0.00278726	0.00212783	0.000503566	0.000902626	0.00769154	0.0502159	0.0796082	0.0139232	0.0371115	0.0540873	0.176028	0.134302	0.142567	0.259008	0.0213704
d	0.00144244	0.0106377	0.00419363	0.000530986	0.000947092	0.000434564	0.000398082	0.000601021	0.000258538	7.91662e-05	0.0024337	0.015494	0.147387	0.00658022	0.0526251	0.135764	0.294997	0.0200792	0.0510153	0.206429	0.0476725
ω	0.000173275	0.000955019	0.000690027	0.000206198	0.000445991	0.000267434	0.000197595	0.000671631	0.000611079	0.000231668	0.00215835	0.00928869	0.0508587	0.0229338	0.0412127	0.0585223	0.182299	0.040448	0.0818517	0.451915	0.0540619
n	1.36822e-05	0.000142458	0.000189184	7.96386e-05	0.000204086	0.000221832	0.000212442	0.00125258	0.00101223	0.000559008	0.00104472	0.00347015	0.0640495	0.0437925	0.0190899	0.0223646	0.288465	0.00849807	0.0341548	0.471379	0.039805
g	0.000383927	0.00115327	0.000315481	0.000186169	0.000383195	0.00038755	0.000301623	0.00112401	0.0012605	0.00288049	0.00244231	0.0063008	0.0346344	0.0458044	0.0267068	0.0320517	0.102638	0.102885	0.0720339	0.492116	0.0740101
ώ	0.000446636	0.00101357	0.000215569	0.000383519	0.000319652	0.00104083	0.000177538	0.00214535	0.00603194	0.00869404	0.000878631	0.00219971	0.0203291	0.0288459	0.0171218	0.031135	0.167235	0.0177004	0.0217437	0.582109	0.0902334
</S>	0.000420052	0.000335453	0.000634312	0.000443128	0.00103163	0.00212243	0.000931044	0.00172872	0.000383972	0.00220974	0.00513127	0.0117743	0.0280053	0.00868662	0.0739536	0.11612	0.0173241	0.147185	0.201245	0.0436621	0.336672
