 	la	manière	dont	il	a	renversé	l'	assiette	montre	qu'	il	n'	y	a	pas	de	nourriture	</S>
y	0.0200368	0.0290371	0.218977	0.258755	0.274951	0.0636486	0.0489093	0.0157002	0.0134482	0.0096418	0.00510225	0.00705312	0.00247242	0.00277687	0.00252247	0.00318895	0.000868239	0.0229114
é	0.133508	0.0920128	0.221239	0.183904	0.130253	0.0442327	0.122678	0.0238261	0.0160145	0.0105862	0.00458664	0.00464402	0.000565828	0.000903066	0.00100499	0.00126023	0.000458264	0.00832308
é	0.125383	0.0609433	0.263902	0.250026	0.119199	0.0270297	0.0615635	0.0118749	0.0209246	0.0194407	0.00988084	0.00690287	0.00355671	0.00332497	0.00272355	0.00420696	0.000865351	0.00825155
k	0.0111972	0.00199805	0.00409377	0.0414446	0.220141	0.614058	0.0310201	0.0289893	0.0174054	0.00470259	0.00294107	0.00348331	0.00203926	0.00234334	0.00205053	0.00178964	0.00202593	0.00827668
ú	0.000476289	0.000151221	0.00164713	0.0234192	0.0602872	0.746607	0.0484942	0.00229347	0.0276084	0.0117492	0.0128676	0.00879548	0.00993128	0.0101957	0.00783557	0.00388909	0.00799736	0.0157542
m	0.000143491	1.50911e-05	0.000264544	0.0021547	0.0086207	0.953017	0.0133115	0.000918858	0.00144216	0.00069174	0.000704706	0.00101486	0.00127274	0.00102633	0.00133447	0.000891062	0.000895749	0.0122801
b	0.0171389	0.00205763	0.00891807	0.0825737	0.106198	0.16962	0.441082	0.0464144	0.0380384	0.027762	0.0180328	0.0112188	0.00818034	0.00618593	0.00526367	0.00245265	0.00401101	0.00485168
ú	0.0208887	0.0253037	0.0675722	0.0591712	0.0678196	0.358423	0.269559	0.0196299	0.0292375	0.0250622	0.0157481	0.00704016	0.00696735	0.00465879	0.00413528	0.00116187	0.00454608	0.0130751
s	0.00054525	0.000791765	0.00805562	0.147277	0.220907	0.087756	0.284522	0.0888906	0.0760146	0.0294353	0.011916	0.00711677	0.00618482	0.0050826	0.00453626	0.00662137	0.00183006	0.0125173
ú	0.0403732	0.015508	0.0256435	0.0807579	0.0729929	0.0605427	0.420757	0.202596	0.0482275	0.0178082	0.00526722	0.00339632	0.000803728	0.000607661	0.000578171	0.000438003	0.000332933	0.00336872
w	0.00459044	0.00244947	0.00501885	0.0722401	0.107833	0.0373639	0.415768	0.248186	0.0596137	0.0258548	0.00816986	0.00514731	0.00162254	0.00130704	0.000853916	0.00113287	0.000487383	0.0023608
a	0.00308705	0.00733419	0.0332448	0.258119	0.132226	0.0496734	0.0583595	0.069364	0.12744	0.0996572	0.0799032	0.0187279	0.0188793	0.0166967	0.0108944	0.00557928	0.00512837	0.00568629
s	0.000646063	0.000964666	0.00532214	0.0692108	0.0885381	0.0165357	0.11782	0.305953	0.186246	0.0743485	0.0443347	0.0164638	0.0214025	0.0135875	0.00926412	0.0114271	0.0055089	0.0124267
á	0.0152856	0.00727319	0.0105651	0.047198	0.0686306	0.0401878	0.262194	0.34375	0.124758	0.0462136	0.0151037	0.00802443	0.00241753	0.00144246	0.000827616	0.000568695	0.00063402	0.00492561
a	0.00394244	0.00253228	0.00702736	0.0283629	0.0276379	0.00845352	0.0753785	0.358218	0.165585	0.157434	0.0796887	0.0296187	0.0253948	0.012211	0.00550597	0.00542357	0.00424317	0.00334244
n	0.00209359	0.000703014	0.00238498	0.00959722	0.0587197	0.0671606	0.0379594	0.344241	0.159112	0.0821002	0.0602339	0.0457599	0.04328	0.0261703	0.00945399	0.00753421	0.0216527	0.0218422
í	0.000916315	0.00465307	0.00403388	0.00456461	0.00889685	0.000860053	0.0231535	0.894989	0.0171134	0.0148252	0.0053379	0.00521625	0.00292893	0.00202587	0.00140287	0.00106185	0.00100214	0.00701782
y	0.000158568	7.59813e-05	0.00172556	0.0297271	0.0710392	0.0201679	0.0644423	0.0619509	0.218831	0.129553	0.0917974	0.0798108	0.10522	0.0411565	0.0166676	0.023421	0.00693925	0.0373159
é	0.0990162	0.0504135	0.0404912	0.0269641	0.0329717	0.0173299	0.155104	0.0664341	0.207351	0.140249	0.0734638	0.0394387	0.00972691	0.0119363	0.00705917	0.00614064	0.00530642	0.0106042
e	0.00150614	0.000547671	0.00159287	0.00648771	0.011918	0.00429667	0.0308946	0.00961389	0.101798	0.139371	0.164263	0.157238	0.132499	0.0952213	0.0481741	0.0365088	0.0288171	0.0292507
s	0.000860807	0.000311734	0.00111966	0.00301936	0.015706	0.0820002	0.00921125	0.0290636	0.0768669	0.0513449	0.059766	0.0888066	0.0629451	0.0801173	0.0442496	0.0265578	0.121935	0.246119
ε	0.000549302	0.00094482	0.00240056	0.00643748	0.0431476	0.100026	0.0703417	0.100608	0.0692505	0.0386055	0.0302812	0.130375	0.0761343	0.0308831	0.036554	0.0461737	0.0509388	0.166349
r	0.000206811	0.000113171	0.000349444	0.00276091	0.0099571	0.0325325	0.091826	0.010886	0.0780013	0.0664072	0.0576085	0.203499	0.0855573	0.0519086	0.055712	0.0643787	0.0231854	0.16511
έ	0.0031597	0.000352304	0.000543562	0.00319753	0.00949757	0.0413279	0.0804362	0.0135335	0.039433	0.0543079	0.06979	0.0932093	0.0983542	0.115967	0.202248	0.0525724	0.0459194	0.0761506
w	0.00159656	0.000168829	0.000677359	0.00400886	0.00709496	0.00280154	0.0339994	0.0101132	0.0407907	0.100068	0.0839835	0.119015	0.0735773	0.100314	0.129647	0.147402	0.0728917	0.0718515
á	0.000807301	0.000183702	0.00119296	0.00683501	0.00791276	0.0025316	0.0227843	0.0182045	0.111909	0.215926	0.178121	0.0813885	0.115103	0.0663637	0.0643801	0.0396494	0.0429963	0.0237117
r	0.00152987	0.000348744	0.00205546	0.00336972	0.0024958	0.00144941	0.00482923	0.00594276	0.0253923	0.0765022	0.0775668	0.0838195	0.107035	0.136773	0.143473	0.0866544	0.120798	0.119965
e	0.00397009	0.000671335	0.00377035	0.00483381	0.00625756	0.00143344	0.0316611	0.134494	0.0634358	0.17792	0.0658002	0.0821105	0.0938314	0.0610163	0.0724876	0.0235214	0.0278787	0.144907
b	0.000235615	0.000173353	0.0016712	0.00302359	0.00326851	0.000753862	0.00917834	0.0177842	0.0547224	0.0740218	0.0543175	0.0800108	0.0928645	0.111173	0.128498	0.143908	0.0250538	0.199342
e	0.0016411	0.000510069	0.0010677	0.00206302	0.00340558	0.00166354	0.0108212	0.0122752	0.0841382	0.106376	0.0865618	0.0582245	0.106148	0.0792392	0.0386259	0.0398125	0.318728	0.0486993
a	0.000175659	0.000289349	0.00152939	0.00101308	0.000760959	0.00154662	0.00443489	0.0138839	0.0277106	0.0467491	0.0582323	0.0494255	0.102879	0.0952924	0.102094	0.0741827	0.150647	0.269153
í	0.000264694	0.000123449	0.000894303	0.00332731	0.00371452	0.00125286	0.00507558	0.00267905	0.026696	0.0244511	0.0282152	0.052121	0.0366291	0.0735838	0.109705	0.184377	0.0746716	0.372218
d	0.00125458	0.000237113	0.00163645	0.00507788	0.0110326	0.0146272	0.011498	0.00136583	0.0428512	0.0208022	0.0238412	0.0566128	0.0302293	0.0600403	0.092265	0.184207	0.10804	0.334381
í	0.000188427	0.000204246	0.000758358	0.00308479	0.0109453	0.00702272	0.0109256	0.0147711	0.0134754	0.00971898	0.00932732	0.0573632	0.0154997	0.0205152	0.0497031	0.0791412	0.0425264	0.654829
k	0.000690031	0.000461817	0.00194883	0.00350525	0.00346428	0.00120727	0.00581207	0.0118684	0.0156496	0.0222294	0.0221904	0.0898864	0.0806667	0.0607068	0.0850431	0.19804	0.0396984	0.356931
a	9.42583e-05	4.92951e-05	0.000362015	0.000744822	0.00113161	0.00352664	0.00364626	0.00312002	0.00808689	0.00857714	0.0128616	0.0404828	0.134874	0.0537556	0.085349	0.0889134	0.426067	0.128358
á	0.000119504	9.42412e-05	0.000713823	0.000255746	0.000154388	0.00195596	0.00180048	0.00160281	0.00764362	0.0178811	0.0189813	0.0298217	0.066737	0.049861	0.0824866	0.0687008	0.192647	0.458542
</S>	0.00504259	0.000482456	0.00270012	0.00609971	0.00794919	0.00509237	0.00777429	0.00221888	0.0133091	0.0249724	0.0237261	0.0368235	0.0234637	0.0413858	0.0783082	0.139094	0.0536536	0.527904
