 	depuis	l'	arrivée	du	nouveau	chef	le	travail	s'	est	amélioré	</S>
i	0.000610688	0.000501145	0.000540469	0.00228505	0.00247428	0.000892076	0.00935097	0.0229817	0.146141	0.175382	0.378072	0.260768
s	0.000334503	0.000833812	0.000795158	0.0019784	0.00104586	0.000942971	0.00111166	0.0129777	0.0434618	0.174678	0.57409	0.187751
á	0.000393886	0.00213486	0.00144932	0.0038127	0.0051373	0.000455705	0.00364437	0.0446061	0.0869282	0.201277	0.238417	0.411744
a	0.000981608	0.00191084	0.000577736	0.00546861	0.00289201	0.00155126	0.0101104	0.0247875	0.0752136	0.10246	0.180847	0.593199
l	2.42656e-05	0.000267013	0.00112199	0.00160309	0.00150098	0.000632388	0.00177507	0.00789765	0.0293088	0.220466	0.413356	0.322047
a	0.000337674	0.00282377	0.00277251	0.00955882	0.0021416	0.0010255	0.00263306	0.0422944	0.0418432	0.145222	0.490424	0.258924
í	0.000930401	0.00151083	0.00071227	0.00559778	0.00339475	0.000959318	0.0146278	0.00835494	0.0541441	0.0684422	0.363464	0.477862
m	0.000323419	0.00227884	0.00304471	0.00993067	0.00452575	0.000685442	0.0102761	0.0178324	0.0722643	0.183614	0.18692	0.508305
ω	0.000536542	0.00978867	0.0182897	0.0335956	0.014866	0.00327989	0.0271545	0.0161597	0.0625054	0.347605	0.0972056	0.369013
b	6.42695e-05	0.000801191	0.00155392	0.00395466	0.00161534	0.000810843	0.0028864	0.00387624	0.0188969	0.100915	0.583883	0.280743
ώ	0.000122133	0.00110964	0.000861687	0.007588	0.00111632	0.000703222	0.00265002	0.00353785	0.0130857	0.0692696	0.79844	0.101515
l	3.65751e-05	6.14919e-05	8.03088e-05	0.000361679	0.000470621	0.000452255	0.00139197	0.000815353	0.0145653	0.0357696	0.815112	0.130883
ω	1.00298e-05	7.99134e-05	0.000486607	0.00121508	0.000580375	0.002239	0.000817753	0.00721348	0.0155552	0.0861696	0.616675	0.268958
</S>	0.000197992	0.000944028	0.000588972	0.0036111	0.0031065	0.000594111	0.00868932	0.0029922	0.0362381	0.108257	0.130198	0.704583
