 	j'	ai	coupé	une	branche	de	l'	arbre	otsotsolo	pour	en	faire	un	balai	</S>
l	9.80911e-05	9.61595e-05	0.00148505	0.00362827	0.00107301	0.0188251	0.0761228	0.156896	0.111994	0.352789	0.0896605	0.0742167	0.072996	0.0114394	0.0286808
o	0.00020641	0.000125983	0.00307577	0.00459554	0.00777846	0.0165311	0.0703488	0.069853	0.185363	0.245055	0.127258	0.123122	0.026789	0.0307897	0.0891076
m	0.000127143	0.000500641	0.000324236	0.00100461	0.000238666	0.0045942	0.0109709	0.0262761	0.0580107	0.393898	0.175242	0.111162	0.124615	0.0677599	0.0252758
í	5.03693e-05	0.000350273	0.000350224	0.00309861	0.000321524	0.010939	0.0181788	0.047243	0.013937	0.196154	0.20333	0.0868518	0.175737	0.107744	0.135714
b	5.64944e-05	0.000231194	8.83793e-05	0.000645036	0.000188153	0.0059879	0.00862372	0.0208635	0.00604114	0.183398	0.233067	0.167798	0.146894	0.204506	0.0216124
ω	9.37058e-05	0.000404359	0.00042583	0.00179371	0.00449776	0.00744896	0.0173728	0.0238823	0.0152449	0.138758	0.248512	0.281637	0.0210394	0.192751	0.0461382
n	2.55472e-05	0.000106124	0.00027334	0.000869249	0.00303875	0.00598892	0.0178965	0.0275355	0.0315011	0.0895079	0.121301	0.184011	0.0993967	0.388482	0.0300655
g	2.08111e-05	2.54949e-05	0.000891044	0.00168255	0.0018544	0.00385341	0.0144571	0.0187322	0.056765	0.171811	0.174631	0.201032	0.0989812	0.14061	0.114652
ω	0.000116451	9.14436e-06	0.000342364	0.000590035	0.000248643	0.00388822	0.0217118	0.0360567	0.0754291	0.17796	0.168545	0.0893956	0.159017	0.157365	0.109325
l	8.21904e-05	3.44543e-05	0.000275466	0.00120954	0.000525084	0.00478048	0.00689063	0.017693	0.00710959	0.246884	0.158146	0.199259	0.129513	0.0304134	0.197184
é	0.000494312	0.000632146	0.00319123	0.00495193	0.00230432	0.0154127	0.0296033	0.0256069	0.00635162	0.178128	0.153595	0.135845	0.137325	0.0735121	0.233046
w	0.000332381	0.00090894	0.000702643	0.00182082	0.000367424	0.00834765	0.0081587	0.0153426	0.00572099	0.166415	0.153296	0.0870867	0.224533	0.0482735	0.278693
ώ	0.00219108	0.00167771	0.00181023	0.00430044	0.00702125	0.0127255	0.0134078	0.0155986	0.00360505	0.0834953	0.142104	0.140822	0.234281	0.239092	0.0978686
m	0.000304502	0.000101512	5.22596e-05	0.000185858	0.000493655	0.00137643	0.00223665	0.00426248	0.00559865	0.0917335	0.0920795	0.176335	0.120059	0.25787	0.247312
b	0.000107003	0.000409646	0.00108653	0.0142709	0.00559046	0.0380978	0.0241553	0.0657002	0.00370956	0.163324	0.149692	0.131699	0.196751	0.143643	0.0617638
ω	0.000108562	6.01586e-05	0.000331596	0.00190911	0.0010045	0.00478248	0.00771504	0.0140359	0.000890789	0.079859	0.236898	0.143618	0.1472	0.296387	0.0652
y	0.000461143	8.27533e-05	0.000105899	0.000458071	0.00169739	0.00286177	0.00258275	0.00786443	0.00475476	0.0831561	0.0971067	0.185936	0.081322	0.196426	0.335185
á	0.000458556	0.000581426	0.00135022	0.00289618	0.00137541	0.00699768	0.0101621	0.00956105	0.0451646	0.082193	0.07948	0.0970669	0.186602	0.297075	0.179037
d	0.00192809	0.00299573	0.00266406	0.00913319	0.000941486	0.0287203	0.0136958	0.0296115	0.0131975	0.0880186	0.130452	0.0679086	0.25248	0.101725	0.256528
z	0.000187458	0.000428835	0.00609499	0.00527117	0.000565338	0.00770615	0.0233924	0.011185	0.0338252	0.0874562	0.0827512	0.0403431	0.0418955	0.0823077	0.57659
a	0.0135016	0.0141013	0.00728685	0.0130908	0.000188549	0.00873867	0.0199181	0.010989	0.0082009	0.0661639	0.107888	0.0253653	0.0907364	0.380646	0.233185
n	0.000741284	0.000399665	0.000429967	0.00189806	0.000239177	0.00345006	0.00534717	0.00695888	0.00803566	0.0451635	0.0828086	0.0698588	0.0663913	0.126133	0.582144
g	0.000141894	0.000243528	0.00305189	0.0030383	0.00102205	0.00772161	0.0214706	0.0146024	0.00881753	0.0542373	0.0784021	0.0528989	0.0487997	0.0284658	0.677086
é	0.000411872	0.000113885	0.00305091	0.00103246	0.000336482	0.00201863	0.00881871	0.00436282	0.0310661	0.0302909	0.0565601	0.0361902	0.0695069	0.252227	0.504013
</S>	0.000659273	0.000477625	0.00160057	0.00333162	0.00295565	0.0138559	0.0174274	0.0197428	0.00317423	0.115848	0.120789	0.0959551	0.113551	0.0752877	0.415344
