 	les	habitants	d'	ongondza	ont	collecté	de	l'	argent	pour	la	réfection	de	la	route	</S>
á	0.000586242	0.000658035	0.0118615	0.00578422	0.0581247	0.617585	0.138761	0.0544017	0.0218421	0.0473129	0.0153768	0.0041683	0.00643105	0.00486046	0.00544174	0.00680422
b	0.00115127	0.000500936	0.0147931	0.00478306	0.0326916	0.461382	0.215817	0.091394	0.0250965	0.0491828	0.0259165	0.00802413	0.0106773	0.0101323	0.010402	0.038055
h	0.00127765	0.00135368	0.0107768	0.00544261	0.0393748	0.312101	0.278996	0.131537	0.0434306	0.0919015	0.035296	0.00647491	0.0105329	0.0114604	0.00933309	0.010711
i	0.00421129	0.00522848	0.0292997	0.01423	0.0831569	0.210276	0.15867	0.108748	0.0668766	0.110164	0.0504604	0.00880288	0.0166906	0.0114388	0.0169636	0.104782
i	0.00272286	0.00331454	0.0217715	0.00486145	0.0400408	0.0178988	0.0784423	0.154051	0.173759	0.2711	0.184795	0.0283664	0.0068592	0.00627398	0.00111003	0.00463332
m	0.0044892	0.00537453	0.00178639	0.00166824	0.00336784	0.0168722	0.0561154	0.10771	0.259628	0.157411	0.116862	0.238328	0.0153272	0.00429469	0.00682003	0.00394424
b	0.0111152	0.0089778	0.00237257	0.00153288	0.00186312	0.000612087	0.0114887	0.0984917	0.472612	0.100732	0.0744113	0.197234	0.0125182	0.00331609	0.000247768	0.00247431
ώ	0.000862508	0.00819544	0.000237864	0.00151074	0.000347681	0.000610479	0.00517018	0.115348	0.564869	0.0652456	0.0690241	0.14832	0.0166869	0.00151496	0.000304795	0.00175188
n	0.000233082	0.00184914	0.00086348	0.00108193	0.00103728	0.000329464	0.0118447	0.0750374	0.468653	0.166977	0.135967	0.101134	0.0239062	0.00493163	0.000288872	0.00586524
g	0.00222484	0.000966821	0.0015282	0.00785298	0.00170272	0.00106233	0.0729125	0.238957	0.258759	0.147161	0.0551784	0.119348	0.0421143	0.0139225	0.00112567	0.0351836
ω	0.00305034	0.00445049	0.00530645	0.0265339	0.00190158	0.000508551	0.0279785	0.171303	0.452078	0.118458	0.0486053	0.108121	0.0133478	0.00292284	0.000148889	0.0152859
m	0.00133458	0.000620781	0.00445458	0.0014164	0.00400133	0.000420272	0.0267654	0.0366604	0.0235236	0.289327	0.381944	0.128123	0.0662399	0.0242768	0.00156688	0.00932527
í	0.00985836	0.0037961	0.00345019	0.00120921	0.000988025	8.95147e-05	0.00852139	0.0124368	0.0377264	0.0544552	0.0740002	0.232549	0.118264	0.112422	0.00245132	0.327783
l	0.00196917	0.00119539	0.00574318	0.0010317	0.00133213	0.000318118	0.00714408	0.005259	0.0061631	0.0182212	0.062238	0.613532	0.107389	0.0249485	0.126782	0.0167338
o	0.000523287	0.000595026	0.00108275	0.000235416	0.00165113	0.00589166	0.00934893	0.00484639	0.00368347	0.0190976	0.0426352	0.285477	0.332896	0.110674	0.059187	0.122174
n	0.000976542	0.000411943	0.000682441	0.00145472	0.000297416	0.000232666	0.00874635	0.00929186	0.00646748	0.0132497	0.0240417	0.779014	0.0917906	0.00614244	0.0378581	0.0193424
d	0.000213932	0.000394752	0.000107877	0.000411722	7.15475e-05	0.000103137	0.00401262	0.0094568	0.0152068	0.0258795	0.0603645	0.62979	0.166107	0.0161294	0.0267575	0.0449929
a	0.000271858	0.000285923	0.000233822	0.00139225	0.00012806	4.23574e-05	0.00550745	0.0205406	0.0364615	0.0309832	0.0248785	0.704484	0.110233	0.0100805	0.00137468	0.0531026
l	0.00061202	0.000887807	0.000836887	0.00149308	0.000496334	9.40444e-05	0.00555451	0.0112894	0.00899203	0.0261605	0.0493164	0.242407	0.38968	0.112503	0.0174519	0.132225
á	0.00205116	0.000742913	0.00274454	0.000617177	0.00139976	0.00199442	0.0100969	0.0060436	0.00281833	0.0136343	0.0245629	0.038293	0.198819	0.183175	0.0641322	0.448874
k	0.00215912	0.00113994	0.0168528	0.0025689	0.00254505	0.000950368	0.0093353	0.00525762	0.00146799	0.00557327	0.0145551	0.0236686	0.123014	0.179402	0.529181	0.0823302
ó	2.41661e-05	0.000155073	0.000312452	8.96764e-05	0.000295184	0.000482413	0.00129165	0.000533556	0.000106088	0.000864123	0.00199507	0.00301599	0.0215617	0.0119278	0.946771	0.0105743
ó	3.58079e-05	5.67062e-05	9.94766e-05	0.000106188	6.8302e-05	0.000231033	0.000473642	0.00038771	0.000357806	0.00167459	0.00330336	0.0114275	0.0520973	0.0201075	0.849051	0.0605224
</S>	0.000524085	0.000552615	0.00262303	0.000421199	0.0012616	0.000552118	0.00355215	0.00304552	0.00260972	0.00778024	0.0147133	0.0135982	0.159831	0.257174	0.166014	0.365747
