 	cette	maison	est	en	état	de	délabrement	car	elle	est	déjà	vieille	</S>
u	0.0010334	0.000103898	0.00542991	0.0467103	0.855131	0.0417379	0.00531661	0.0130753	0.0104184	0.00763817	0.00232505	0.000335732	0.0107445
s	0.00821501	0.0014585	0.00869125	0.0688358	0.693672	0.0648525	0.0107936	0.00814037	0.00419665	0.00622813	0.00850087	0.0200555	0.09636
a	0.0677725	0.00663811	0.0216814	0.104365	0.333168	0.314915	0.071217	0.0158153	0.0110687	0.00838902	0.00430023	0.00877284	0.0318974
t	0.00198096	0.00129583	0.0570017	0.108568	0.0666034	0.43278	0.184949	0.0761648	0.029486	0.0128073	0.00918153	0.00185141	0.0173304
s	0.0179726	0.00557538	0.0112501	0.0111954	0.12271	0.352677	0.159012	0.181386	0.0838271	0.0157156	0.0057192	0.00127996	0.0316799
í	0.0010311	0.000219961	0.000792647	0.00749096	0.164268	0.341773	0.123153	0.236935	0.0760171	0.0128492	0.00509729	0.00136856	0.0290035
n	0.00142182	0.00287841	0.00272528	0.0129849	0.0721968	0.342542	0.218152	0.230579	0.0313875	0.00612382	0.0038805	0.00146662	0.0736618
a	0.00621276	0.007827	0.00273359	0.00411678	0.0070766	0.146583	0.571391	0.068565	0.0209667	0.00726985	0.00442404	0.0169574	0.135876
y	0.001291	0.000674893	0.00810568	0.00642586	0.0042605	0.161496	0.403994	0.205893	0.10964	0.0429172	0.0156875	0.0036087	0.0360054
í	0.0609475	0.00392017	0.026606	0.0230393	0.0165456	0.28729	0.448892	0.0561799	0.0327829	0.00861949	0.00401976	0.0140652	0.0170927
a	0.00710948	0.00144219	0.00480412	0.00389826	0.000827841	0.102856	0.6891	0.0617519	0.0717063	0.0171574	0.0063865	0.0109517	0.0220091
é	0.000940245	0.000134294	0.0139399	0.0218424	0.00759844	0.0165339	0.0527948	0.349879	0.229978	0.190796	0.0739027	0.0100077	0.0316525
m	0.000889906	0.000132845	0.0272054	0.0517745	0.0119106	0.0261782	0.0296953	0.177084	0.174348	0.282903	0.144437	0.020871	0.0525705
i	0.0026596	0.000110621	0.0145971	0.0238724	0.00154219	0.00659107	0.0353122	0.0499355	0.150976	0.369049	0.258374	0.0120738	0.074907
p	0.000614981	1.63496e-05	0.00615228	0.0264677	0.0245081	0.00699785	0.00558073	0.0468174	0.122728	0.34436	0.271945	0.0138395	0.129972
é	0.000157272	1.66021e-05	0.00170812	0.00844359	0.0338851	0.00760888	0.00549932	0.11951	0.185618	0.299529	0.130478	0.0258651	0.18168
n	0.00042907	2.23353e-05	0.000353806	0.00274573	0.013613	0.0150017	0.0135904	0.141622	0.34365	0.243125	0.114067	0.0204671	0.0913121
d	0.000512087	8.08775e-05	0.000448698	0.00138601	0.012864	0.0209655	0.061253	0.211212	0.287858	0.128527	0.044318	0.0286322	0.201942
á	0.00219525	0.00112042	0.00233239	0.00546292	0.00483664	0.0763101	0.124445	0.0946696	0.170475	0.083828	0.0430716	0.108575	0.282678
o	0.00240427	0.000482601	0.000886859	0.00123603	0.000440031	0.0147226	0.0389293	0.0375792	0.205611	0.14901	0.15581	0.171662	0.221226
b	0.000315167	4.62952e-05	0.00224749	0.007086	0.00653353	0.00268713	0.00212746	0.00686039	0.0244444	0.171433	0.302379	0.34474	0.1291
í	0.000276065	3.80761e-05	0.00827317	0.0269585	0.0221044	0.00698255	0.00201804	0.0355946	0.0668369	0.237215	0.433673	0.0198939	0.140136
a	0.0005992	8.98976e-05	0.000666474	0.00169573	0.00254613	0.00523321	0.0167651	0.0883082	0.126575	0.196714	0.21854	0.0320063	0.31026
</S>	0.000542783	4.02307e-05	0.00105878	0.00308222	0.000765588	0.00490854	0.0116627	0.0106477	0.0347316	0.0927402	0.29628	0.312799	0.23074
