 	dans	certains	villages	on	consomme	le	letsia	mais	nous	n'	en	mangeons	pas	</S>
á	0.000917425	0.000895731	0.0110019	0.0197121	0.0583974	0.0517266	0.0749014	0.197142	0.00152654	0.0189649	0.0155454	0.0371691	0.0403822	0.471718
b	0.000700571	0.00169308	0.000779238	0.0135738	0.0159453	0.0667293	0.118269	0.172971	0.160651	0.292553	0.119615	0.016974	0.00507923	0.0144653
í	0.00232272	0.00222855	0.000462248	0.0211079	0.0108667	0.0870887	0.154017	0.0984452	0.202977	0.205571	0.121054	0.0292198	0.0217901	0.0428497
s	0.000805924	0.00153485	9.04892e-05	0.00848137	0.0047478	0.0379735	0.0991864	0.0980157	0.290201	0.15509	0.137493	0.0493319	0.0194892	0.097559
í	0.0052428	0.00357677	0.000533071	0.00336893	0.0124293	0.0225788	0.0544226	0.416924	0.305791	0.0827992	0.0307937	0.0190351	0.0137194	0.0287851
l	0.000841499	0.000794475	0.000347606	0.00565358	0.00954076	0.0249095	0.0942229	0.223714	0.0933176	0.243155	0.136685	0.0844226	0.0237967	0.0585989
e	0.00176372	0.00215201	0.000740365	0.00800459	0.0220314	0.0319149	0.020992	0.11167	0.101534	0.0958066	0.125948	0.125791	0.0356521	0.315998
d	9.53694e-05	0.000132568	0.000270324	0.00142265	0.00402807	0.0173735	0.0294751	0.0468132	0.00986205	0.0486475	0.134356	0.503778	0.121646	0.0821
í	0.000349406	0.000217531	0.000108295	0.0009906	0.00616078	0.0060057	0.0128467	0.0400804	0.00888346	0.0242584	0.0411756	0.666498	0.0959238	0.0965011
t	0.000691696	0.00027016	3.39011e-05	0.00164567	0.00296179	0.0141687	0.0187319	0.032855	0.0181286	0.0757275	0.124235	0.498559	0.118162	0.0938288
s	0.000352207	0.00033176	0.00101573	0.00149431	0.00206592	0.0155138	0.100629	0.0542023	0.017048	0.0703201	0.0534176	0.371751	0.237	0.0748584
i	0.000255167	7.22317e-05	0.000319779	0.00128419	0.00151865	0.0173942	0.0627935	0.0724756	0.0119648	0.037404	0.0606556	0.200708	0.383658	0.149497
a	0.00125956	0.000340307	0.000142147	0.0018146	0.00226482	0.0146302	0.0270437	0.0189501	0.0125262	0.0266283	0.026987	0.221986	0.168842	0.476585
o	0.000429466	0.000338447	9.15729e-05	0.00478466	0.00403435	0.0140825	0.00596283	0.0253904	0.0490074	0.12333	0.123826	0.158839	0.158995	0.330888
d	0.000139582	0.000230761	0.000331946	0.00153415	0.00440986	0.00345219	0.00126834	0.00149582	0.000128387	0.00225943	0.0192341	0.657832	0.230894	0.0767895
z	1.9702e-05	7.39998e-06	2.1872e-05	0.000274677	0.00129049	0.00101471	0.000423566	0.000507114	0.000125217	0.00117211	0.00575161	0.725531	0.116198	0.147663
á	0.000120962	5.44625e-05	0.000475827	0.000981227	0.0160233	0.0114921	0.00454409	0.0262272	0.00335051	0.0180545	0.0258033	0.660331	0.0932255	0.139316
a	0.000644049	0.000136125	3.35441e-05	0.000987777	0.00120118	0.00541972	0.00745497	0.0318367	0.0286755	0.0448412	0.0366696	0.104607	0.195594	0.541898
k	0.0046254	0.00207825	0.000322349	0.00274114	0.00520254	0.0130259	0.00319804	0.0127021	0.00963193	0.0136709	0.0330792	0.112503	0.405479	0.38174
a	0.00023394	0.000289029	0.000521989	0.00348823	0.00110411	0.00801387	0.0191313	0.00956007	0.00117591	0.0102372	0.017008	0.0616632	0.397584	0.469989
á	0.000272239	0.000221332	0.000914668	0.000774793	0.000382439	0.0029312	0.0149776	0.00905164	0.0027363	0.0142037	0.016166	0.0459532	0.214563	0.676852
</S>	0.000345332	0.00012534	0.000287264	0.00278218	0.00494989	0.00975872	0.00320474	0.00823223	0.00696942	0.0323587	0.0394206	0.0736519	0.217066	0.600848
