 	l'	antilope	a	pris	la	fuite	dès	qu'	elle	a	entendu	le	bruit	de	pas	du	chasseur	</S>
á	0.00244659	0.000409696	0.0172064	0.00796583	0.0263662	0.0664336	0.117372	0.241765	0.207964	0.253958	0.0150518	0.0172968	0.00450318	0.00644082	0.00276594	0.00507948	0.000655729	0.00631945
b	0.00810235	0.00930759	0.0480812	0.0372838	0.0126996	0.0380483	0.0920776	0.0538437	0.0446324	0.0807307	0.22988	0.192484	0.0678411	0.0286262	0.0150477	0.00633828	0.00947197	0.0255031
ó	0.000957259	0.00190912	0.0107618	0.0456114	0.00546924	0.00382391	0.0339029	0.0457099	0.0539347	0.0590915	0.330559	0.158217	0.131534	0.0511378	0.0332118	0.00420902	0.0107633	0.0191963
n	0.00130198	0.000381458	0.0133003	0.0499018	0.0136099	0.00495841	0.00772825	0.0390193	0.0386171	0.0735524	0.196549	0.213611	0.181922	0.0653395	0.0441174	0.0113548	0.0143204	0.0304141
d	0.00221759	0.00106372	0.0101489	0.0229545	0.020374	0.0118158	0.036643	0.0731636	0.0639738	0.0777601	0.134906	0.182974	0.158964	0.0845829	0.0540275	0.0242545	0.00292261	0.037253
i	0.0026397	0.00314643	0.012417	0.0162942	0.0216247	0.0802561	0.0827469	0.0931737	0.0983457	0.0471037	0.281133	0.0658226	0.0715899	0.0272769	0.0148747	0.018002	0.00640311	0.05715
i	0.000754454	0.000218989	0.00370946	0.00199468	0.00763756	0.0134578	0.047808	0.0996957	0.124806	0.108776	0.0789212	0.189073	0.0867292	0.107885	0.0207479	0.0725603	0.0266956	0.00852851
k	0.00359923	0.00175854	0.00485195	0.00808906	0.00500887	0.00343202	0.0118875	0.00915273	0.00932395	0.0109262	0.0372288	0.209214	0.359682	0.122154	0.0969181	0.0180442	0.047499	0.0412298
w	0.000140213	0.00029801	0.000936205	0.00701837	0.00097553	6.71685e-05	0.000728177	0.00231813	0.00243988	0.00544785	0.00839103	0.13027	0.505325	0.0989558	0.193594	0.0123595	0.0194106	0.0113253
a	0.000484707	0.000397127	0.0004715	0.00371094	0.00125985	0.00011009	0.00166906	0.00745009	0.00760301	0.00542903	0.0189658	0.133022	0.506293	0.128205	0.13799	0.0130263	0.00620569	0.0277076
s	0.000192394	6.9638e-05	0.00052549	0.000922759	0.000931597	0.000447321	0.00467371	0.00797849	0.0108127	0.0171169	0.0116796	0.189784	0.332227	0.201629	0.10861	0.0670823	0.0129877	0.0323286
i	0.000488231	0.000442654	0.00115187	0.00411847	0.00340614	0.000127272	0.0025122	0.00901938	0.00548937	0.00498466	0.0145137	0.0898899	0.324724	0.145857	0.159703	0.0816539	0.0213739	0.130544
b	0.000434523	6.19616e-05	0.00111491	0.000743066	0.00117204	0.000322312	0.00180253	0.00679908	0.00446212	0.00705003	0.0006617	0.072213	0.127506	0.22525	0.169368	0.276246	0.0326023	0.0721908
ó	0.0063189	0.00307802	0.00799073	0.010891	0.00960865	0.00269283	0.0044558	0.00938578	0.017008	0.0163823	0.00612332	0.0319715	0.150713	0.118816	0.231814	0.0871594	0.240774	0.0448167
b	0.000156457	6.67158e-05	0.000600944	0.00086778	0.000552267	0.000151353	0.000522585	0.00200585	0.00264437	0.00641101	0.00246451	0.0382037	0.0877234	0.0781637	0.145996	0.198531	0.371734	0.0632041
e	0.000498936	0.000303029	0.000808935	0.00204366	0.000676062	0.000126999	0.00106603	0.00217049	0.00282067	0.00302156	0.0005977	0.0325637	0.177649	0.154877	0.374191	0.0757894	0.0364587	0.134337
n	0.000162349	3.80157e-05	0.0004507	0.000559674	0.000463364	0.00013886	0.000672597	0.00155892	0.001064	0.0025384	0.000550241	0.035216	0.0877004	0.0970611	0.206282	0.204493	0.0933422	0.267708
g	0.00286743	0.00152382	0.0020727	0.00629437	0.00649433	0.000289021	0.00350312	0.0114416	0.00681086	0.00330907	0.00295632	0.0205208	0.0930864	0.0958256	0.292688	0.183757	0.0575313	0.209028
i	0.00213748	0.00250446	0.00134637	0.00308515	0.00553324	0.00133855	0.000651132	0.0054325	0.00432059	0.00371372	0.0121686	0.0056158	0.0267379	0.0374192	0.180234	0.305713	0.246974	0.155075
</S>	0.000438877	0.000362546	0.00107087	0.00109625	0.00118531	0.000177229	0.000788351	0.00286816	0.00221955	0.00222214	0.00143596	0.0175848	0.0309848	0.0571873	0.150155	0.109674	0.0567974	0.563751
