 	ekoko	était	un	chasseur	plein	de	dextérité	quand	il	ouvrait	le	feu	sur	du	gibier	il	l'	atteignait	</S>
ώ	0.00280902	0.00344038	0.0196412	0.0712117	0.288265	0.031256	0.305277	0.0461502	0.0219647	0.103143	0.00378124	0.00413513	0.0180574	0.0167199	0.00142537	0.00555576	0.0238725	0.00901664	0.0242776
ω	0.00277382	0.00231474	0.0216026	0.0250983	0.227241	0.076173	0.286542	0.0495394	0.0254977	0.124301	0.00987549	0.00178943	0.016326	0.0228652	0.0027398	0.00829496	0.0156875	0.038925	0.0424132
l	0.000172779	0.00148222	0.00990071	0.00132787	0.207038	0.228305	0.136294	0.265806	0.0625909	0.0339058	0.0222625	0.00286303	0.00700862	0.00422375	0.00173366	0.00605904	0.00249318	0.00141223	0.00512089
i	0.000704487	0.00170993	0.00570511	0.00331356	0.189473	0.0846592	0.0884484	0.0837312	0.0800524	0.128125	0.0307857	0.00836739	0.0471951	0.0532364	0.00699052	0.0172124	0.0327607	0.0135452	0.123984
k	4.0811e-05	0.00279204	0.0109838	0.000241699	0.053728	0.190793	0.049799	0.303254	0.163614	0.0881899	0.0502654	0.0114746	0.0104674	0.00830438	0.00904077	0.0179489	0.00635548	0.00436791	0.0183394
ω	0.00763222	0.00230982	0.00328501	0.00329356	0.180605	0.0567702	0.117697	0.130295	0.108259	0.2964	0.0107035	0.00462434	0.02433	0.0166696	0.00118301	0.00695686	0.00862145	0.00843646	0.0119268
n	0.000337099	0.000111072	0.00167805	0.000943569	0.0553622	0.069234	0.140403	0.0477688	0.0509498	0.573456	0.00936929	0.000982382	0.00875975	0.00737584	0.00257641	0.00382294	0.0069453	0.0118496	0.00807471
g	0.00173454	0.00111271	0.00204827	0.00677484	0.0743566	0.0637515	0.201937	0.0785605	0.0624669	0.343423	0.0112223	0.00239652	0.0130316	0.0186202	0.00371008	0.00830346	0.00881574	0.0334066	0.0643279
ώ	5.91554e-05	0.000174905	0.00115585	0.00220973	0.0194031	0.0755916	0.213577	0.121288	0.0723296	0.391206	0.0131961	0.000929026	0.0030283	0.00720436	0.00551476	0.00632091	0.003428	0.0263644	0.037019
w	7.21853e-05	0.000962772	0.00205485	0.000214568	0.0410549	0.0850726	0.0341179	0.266895	0.183501	0.0673296	0.157621	0.0143062	0.0406333	0.0232451	0.00889506	0.0331091	0.0109683	0.00586704	0.0240795
á	0.00136522	0.0024393	0.00325987	0.00148909	0.0526978	0.112535	0.0699783	0.0733922	0.03257	0.180691	0.115635	0.00434745	0.031709	0.0699814	0.0902912	0.0962319	0.0232588	0.00608726	0.0320399
á	0.000556017	0.00108594	0.0016377	0.000222197	0.00901154	0.0619745	0.0108296	0.183541	0.15845	0.040188	0.220094	0.021934	0.0432628	0.0345255	0.0331405	0.121027	0.0147762	0.0114795	0.0322639
w	0.000142353	0.00565866	0.0085812	0.00077084	0.00827115	0.0215627	0.00451187	0.020853	0.041363	0.00769338	0.107247	0.183214	0.186532	0.0543176	0.0671605	0.0606887	0.0712316	0.0944398	0.05576
a	6.68028e-05	0.00248182	0.00666027	0.00122583	0.00990609	0.0346639	0.00593346	0.0234689	0.0750116	0.0190502	0.0447113	0.0585202	0.148438	0.173423	0.0473383	0.0964083	0.141646	0.0250187	0.0860284
a	0.000117631	0.00023068	0.000831436	7.36464e-05	0.0154016	0.021986	0.00709126	0.0309544	0.0639768	0.0346479	0.158209	0.0435993	0.168768	0.116248	0.0427643	0.115123	0.0856235	0.0222686	0.0720857
t	0.000116936	0.00206911	0.00355054	0.000195241	0.00876758	0.00681338	0.00112168	0.00548707	0.0104838	0.000972732	0.0187305	0.111707	0.194979	0.101331	0.0203805	0.0616393	0.19987	0.0845902	0.167194
έ	0.000122503	0.00141611	0.00210519	0.000211186	0.00919957	0.00941962	0.00363076	0.00989764	0.0407167	0.00684997	0.00677074	0.0312387	0.122884	0.187206	0.0133301	0.0441438	0.333094	0.0724211	0.105342
n	1.52231e-05	0.000393749	0.00058972	0.000108269	0.0161803	0.0296046	0.0174723	0.0483518	0.0871037	0.0160842	0.023306	0.0349264	0.115576	0.141155	0.0175108	0.0985157	0.0974362	0.046825	0.208845
y	7.42482e-05	0.000330136	0.000510978	7.74071e-05	0.00783863	0.0400269	0.0424555	0.0633615	0.183833	0.0772346	0.0520876	0.0166765	0.0598465	0.0753891	0.0857873	0.0637558	0.0312086	0.138936	0.0605695
a	2.04853e-05	8.376e-05	0.000169434	1.2182e-05	0.00300192	0.0349609	0.0173177	0.0405307	0.149177	0.0859402	0.082422	0.00621918	0.0257906	0.0596186	0.274315	0.0538646	0.0228325	0.11447	0.0292519
m	1.62322e-06	0.000225134	0.00048993	1.21131e-05	0.00188766	0.0120413	0.00133	0.0177823	0.0305191	0.00123638	0.102608	0.0589559	0.105248	0.120748	0.0781723	0.166046	0.0848223	0.0716052	0.146269
a	1.60537e-06	0.000228089	0.000212039	0.000742627	0.000999434	0.011496	0.00181879	0.00319722	0.00264636	0.00130945	0.0874387	0.197781	0.119598	0.19701	0.0267941	0.150947	0.0760981	0.0109263	0.110756
w	1.14599e-05	8.77315e-05	0.000184058	2.7379e-05	0.00306698	0.0185278	0.00304285	0.0150502	0.0267583	0.00231075	0.0419846	0.0314016	0.0608912	0.125072	0.0470484	0.329648	0.109807	0.0401565	0.144923
a	7.78446e-05	0.000239509	0.000296466	0.000149747	0.000855833	0.00308788	0.00102948	0.00626903	0.0268277	0.00249661	0.0183795	0.0119477	0.0415728	0.180354	0.0536729	0.170545	0.305699	0.10533	0.0711698
l	9.44087e-05	3.27427e-05	0.000124178	1.98846e-05	0.001149	0.00296686	0.000956981	0.00454196	0.0117934	0.00171897	0.0385576	0.0128138	0.0464284	0.117308	0.0670903	0.208865	0.184801	0.123979	0.176758
á	0.000120992	0.000698887	0.000580621	0.000171429	0.00492607	0.00398635	0.00115435	0.00231558	0.00697034	0.00123995	0.00682529	0.0199869	0.0507139	0.0864607	0.0419737	0.0611772	0.236628	0.236909	0.237162
a	3.94268e-05	0.000431723	0.000404016	4.68635e-05	0.00483227	0.0154645	0.00169816	0.00714149	0.0277777	0.0011868	0.0170267	0.0114285	0.0235369	0.0814889	0.06366	0.112013	0.138339	0.284817	0.208668
n	5.19937e-05	0.000858777	0.000688589	0.000138346	0.00408575	0.0017398	0.000298002	0.000771094	0.00151048	0.000347119	0.000818012	0.00791929	0.0164434	0.0231195	0.00421023	0.011084	0.155357	0.645506	0.125053
ώ	1.12051e-06	0.000154653	0.000886167	0.000104056	0.000898427	0.00272059	0.0017425	0.000362622	0.00285674	0.000861716	0.000821661	0.0154192	0.00915989	0.0186348	0.0239113	0.00435762	0.0890602	0.671799	0.156247
n	3.15999e-07	1.29227e-05	5.41557e-05	1.49812e-05	0.000722139	0.00264526	0.00250282	0.000709896	0.00248822	0.00281381	0.00126431	0.00196647	0.00479883	0.0131931	0.0145311	0.00285937	0.0367354	0.853804	0.058883
g	4.73301e-05	0.000195277	0.000106352	0.000100996	0.00213137	0.0038052	0.00446299	0.00485475	0.0100792	0.00220959	0.00740338	0.0167024	0.029314	0.0672454	0.0242591	0.0368909	0.111627	0.55655	0.122014
ω	6.83525e-06	2.23454e-05	4.07176e-05	9.10158e-05	0.000487449	0.00578852	0.00643935	0.00565592	0.0146873	0.00849373	0.00831225	0.00471261	0.00847465	0.0338432	0.042147	0.0224563	0.0301698	0.756128	0.052043
s	9.05391e-06	2.2862e-05	4.96303e-05	1.99445e-05	0.00125502	0.00719088	0.00373557	0.0050475	0.0102195	0.00138798	0.0198166	0.00466914	0.0280324	0.107025	0.0400604	0.0580013	0.0878142	0.373576	0.252066
ω	4.02048e-06	5.13821e-05	8.20962e-05	3.0203e-05	0.000513225	0.00141477	0.000571166	0.000679533	0.00268616	0.000646721	0.00260749	0.00199388	0.00774755	0.032027	0.0255121	0.00871807	0.0806381	0.576946	0.257131
</S>	2.32304e-06	7.25451e-05	0.000139886	5.73214e-06	0.000871292	0.00225898	0.000632779	0.00172392	0.00304691	0.000270874	0.00392521	0.00225014	0.00738058	0.0258682	0.0135778	0.035318	0.0748835	0.444552	0.383219
