 	le	berger	fait	reposer	les	boeufs	car	ceux-ci	ont	beaucoup	marché	</S>
ω	0.000125815	0.000558197	0.030936	0.0830437	0.097321	0.409096	0.270646	0.0521798	0.0217242	0.0120292	0.00576025	0.0165796
s	0.000559071	0.000113868	0.00531271	0.0130832	0.0599924	0.280092	0.32051	0.164086	0.0729183	0.0427558	0.0080334	0.0325436
ώ	0.000267469	0.000432357	0.00836725	0.0179057	0.0603308	0.315612	0.308142	0.118696	0.0713566	0.0368778	0.0262544	0.0357583
b	0.000333786	0.000130412	0.00345087	0.00217736	0.0791207	0.0823792	0.20691	0.437849	0.116986	0.0415376	0.0117818	0.0173433
á	0.00303262	0.000422852	0.0035678	0.00212306	0.109654	0.0313729	0.387118	0.211998	0.200773	0.0204386	0.0113706	0.018129
a	0.00140114	2.78849e-05	0.000945742	0.000747583	0.155423	0.0212116	0.276597	0.323805	0.181185	0.0117653	0.00427869	0.022612
t	0.000909742	9.1797e-05	0.00536573	0.00290279	0.0212793	0.00765356	0.0447023	0.338595	0.368548	0.162771	0.0210889	0.0260913
s	0.00106271	0.00256903	0.0160962	0.020763	0.0305882	0.107232	0.276772	0.103015	0.176206	0.0514911	0.131978	0.0822265
í	0.000419932	0.00159376	0.00390872	0.00582443	0.0108848	0.0385604	0.353737	0.138675	0.227029	0.0386041	0.0990835	0.0816789
n	0.00265557	0.000306227	0.00348824	0.00578332	0.0465883	0.0642028	0.366332	0.187961	0.153637	0.0301229	0.0319208	0.107002
a	0.00222373	0.00142461	0.00520055	0.00952919	0.0212799	0.116607	0.039139	0.150008	0.131748	0.0566251	0.0597992	0.406416
á	0.000470439	0.000120217	0.00260065	0.00185195	0.0149867	0.0172874	0.0633042	0.215317	0.302815	0.21225	0.0714456	0.0975507
m	0.000859386	0.00154036	0.0091693	0.0065267	0.012818	0.00325421	0.010474	0.0632689	0.192775	0.423261	0.218228	0.057826
i	0.000173	6.07171e-06	0.00297644	0.0019525	0.0312709	0.00407807	0.00406555	0.112259	0.155107	0.465816	0.0864934	0.135801
p	0.000100676	0.000216354	0.00389825	0.00499117	0.00533619	0.0051305	0.00460768	0.042257	0.118183	0.239475	0.376406	0.199397
é	7.53988e-06	0.0012781	0.00296788	0.00682699	0.00289373	0.0134024	0.021506	0.0128828	0.0778225	0.0827642	0.549301	0.228347
n	0.000162297	0.00100373	0.00172225	0.00409166	0.00292273	0.00963943	0.0178566	0.0156443	0.0634801	0.106281	0.572143	0.205053
d	0.000148165	0.000547346	0.000561762	0.00156071	0.00178363	0.0146089	0.010734	0.0161806	0.0707813	0.0947413	0.473789	0.314563
á	0.000254292	0.00245498	0.00233995	0.00778242	0.00330356	0.0397599	0.0141111	0.0371118	0.048846	0.0757071	0.536307	0.232022
o	0.00124876	0.000353756	0.00212599	0.00238216	0.00828424	0.0170777	0.0104989	0.0847745	0.0818142	0.171848	0.231206	0.388386
b	0.000136145	0.000292277	0.00433294	0.00320669	0.0187627	0.00899777	0.0102608	0.0419519	0.0614164	0.274096	0.415704	0.160841
h	0.000136084	0.000484895	0.00796688	0.00962865	0.0199464	0.0170379	0.0518501	0.0376908	0.173385	0.199257	0.294857	0.18776
é	0.000162677	0.000325923	0.00390535	0.00442186	0.0147357	0.0179334	0.021606	0.0390621	0.122294	0.203161	0.312573	0.259819
m	6.22124e-05	9.87748e-05	0.000398864	0.000893835	0.0010469	0.00564646	0.00725361	0.0133774	0.0298587	0.0362938	0.467344	0.437725
b	0.000141653	2.23943e-05	0.00146625	0.00336987	0.00631583	0.0128131	0.00962884	0.0689159	0.109139	0.145136	0.2355	0.407551
á	0.0031228	6.51309e-05	0.00231864	0.0066177	0.0144831	0.058094	0.0263956	0.0611689	0.0747713	0.0327945	0.122814	0.597355
</S>	0.00158736	0.000435486	0.0044892	0.00516352	0.0152212	0.0163864	0.0209277	0.0719916	0.104262	0.157408	0.199585	0.402542
