 	je	ne	comprends	pas	la	manière	dont	ma	femme	boude	contre	moi	</S>
á	0.00113471	0.000653215	0.00394709	0.00089686	0.00358737	0.0011752	0.0155175	0.0418876	0.0103172	0.0440239	0.0419717	0.724772	0.110116
n	0.000352572	0.00242198	0.00595969	0.00799514	0.0150164	0.0183845	0.0155513	0.0757592	0.00587813	0.171973	0.24096	0.11863	0.321118
g	0.015988	0.00977082	0.0222911	0.0127398	0.0245307	0.00549235	0.0268099	0.129837	0.0104539	0.0485668	0.0902755	0.394099	0.209145
á	0.00128184	0.000794924	0.00820665	0.00376114	0.0195692	0.00770032	0.026287	0.0463584	0.00523722	0.0317607	0.031122	0.681692	0.136228
i	0.000544661	0.00260363	0.00438552	0.011581	0.014346	0.0127073	0.011747	0.065275	0.00632906	0.14712	0.200914	0.126481	0.395966
m	0.000678217	0.00913873	0.0163489	0.00811578	0.00754351	0.00667561	0.00657435	0.0224553	0.00178111	0.21104	0.159329	0.107253	0.443066
i	0.000298304	0.0441432	0.0517976	0.0301609	0.0341914	0.016453	0.00556161	0.108408	0.0231322	0.196584	0.168726	0.150752	0.169791
k	5.54664e-05	0.00483889	0.0122149	0.00729896	0.0103796	0.0248897	0.00809792	0.0185348	0.00672056	0.259551	0.232123	0.0498224	0.365473
ώ	9.41232e-06	0.00120458	0.00334041	0.00164719	0.00266162	0.00238668	0.00327639	0.000370662	0.000844558	0.0931133	0.284008	0.0241937	0.582944
n	7.54387e-05	0.000837138	0.00301852	0.00151796	0.00201134	0.00135259	0.00587284	0.00305269	0.00150517	0.127997	0.251128	0.0851785	0.516453
d	0.000363769	0.000869732	0.00170693	0.00200973	0.00542902	0.0036475	0.0223399	0.0127911	0.00329741	0.119069	0.249246	0.125588	0.453642
ώ	0.00122464	0.00175027	0.00538976	0.0089412	0.0372306	0.0290024	0.0512497	0.0414663	0.00473456	0.0577171	0.170217	0.293698	0.297379
o	0.000347841	0.00122756	0.0049132	0.00904543	0.02141	0.0247261	0.0163315	0.180523	0.00486045	0.0398193	0.182225	0.216364	0.298207
b	0.000418112	0.0183576	0.0494925	0.0518539	0.0490759	0.0305097	0.0152309	0.0723528	0.00340554	0.0981849	0.212008	0.202019	0.197091
ó	0.000345372	0.0243876	0.0824469	0.102385	0.0809893	0.056411	0.00522475	0.0198504	0.00188486	0.0478569	0.358215	0.0867548	0.133248
n	5.28758e-05	0.00364624	0.00505624	0.00463351	0.00467778	0.00331454	0.00359551	0.0319576	0.00327595	0.0577173	0.23409	0.122656	0.525326
d	0.00137104	0.00762756	0.0300525	0.0266722	0.0472105	0.0229531	0.0187288	0.0132187	0.000571604	0.0553895	0.0760653	0.255487	0.444653
a	0.00294553	0.00665423	0.017172	0.0104172	0.0226525	0.0167819	0.0363312	0.0143578	0.00149647	0.0500741	0.0297114	0.298345	0.493061
</S>	0.000891943	0.0036823	0.00657565	0.00555547	0.00746563	0.00412513	0.00871082	0.0182003	0.00106243	0.0611572	0.14285	0.228742	0.510981
