 	si	tu	ne	bouges	pas	je	ne	te	ferai	pas	de	mal	</S>
k	0.00197822	0.00409066	0.00917747	0.0129905	0.144346	0.294888	0.250581	0.171717	0.0653069	0.0143519	0.0112391	0.00836825	0.0109654
a	0.00213024	0.00121699	0.00448423	0.0143231	0.091942	0.0406397	0.225588	0.0574551	0.342384	0.0906013	0.018019	0.0505916	0.0606243
á	0.00102807	0.00311986	0.00412936	0.00834753	0.0696239	0.0745913	0.242323	0.0605133	0.142252	0.0461227	0.0128629	0.0163585	0.318728
i	0.00301784	0.00666942	0.00942439	0.00370111	0.0633238	0.164589	0.268263	0.302781	0.0961097	0.0220633	0.0251167	0.00538793	0.0295523
d	0.000734374	0.000815981	0.00616424	0.0169228	0.0211552	0.0381609	0.0733751	0.107221	0.370544	0.207995	0.0597267	0.0304193	0.0667658
í	0.00051775	0.000249237	0.00179695	0.0326909	0.0204224	0.0346239	0.098002	0.161776	0.144192	0.0532662	0.0594815	0.0238917	0.369089
n	8.68906e-05	0.000169049	0.00117385	0.00237109	0.0192775	0.0145553	0.0638122	0.0967028	0.396614	0.146627	0.119016	0.0469133	0.0926807
ω	0.000617347	0.00245432	0.000896172	0.00256675	0.0141058	0.505703	0.0462992	0.239652	0.0198842	0.0228182	0.0358098	0.0404795	0.0687141
k	4.8233e-05	0.000226131	0.00154929	0.00304143	0.0283085	0.0657562	0.100364	0.1676	0.0751417	0.120345	0.161911	0.0880767	0.187631
y	0.000342579	0.00016807	0.00104723	0.00184498	0.0342156	0.00874922	0.049408	0.0196982	0.258719	0.186512	0.136073	0.163254	0.139969
έ	4.21443e-05	4.36014e-05	0.000161471	0.00065506	0.00731469	0.00249414	0.0129714	0.00870033	0.296254	0.416654	0.0840149	0.0960394	0.0746546
r	7.47883e-06	3.07017e-05	0.000241163	0.000390548	0.0115117	0.00608051	0.0213701	0.0241457	0.262783	0.368476	0.143435	0.0651939	0.0963345
ε	3.70541e-05	7.34676e-05	0.000211885	0.00119361	0.0147318	0.0179971	0.0352279	0.0771483	0.145297	0.236836	0.135426	0.109261	0.226559
o	0.000168277	0.000447328	0.00103306	0.000448762	0.0157661	0.0264831	0.0621376	0.0940122	0.0596968	0.0817352	0.268817	0.134164	0.25509
t	7.35028e-05	0.000123086	0.0027396	0.0267318	0.0081113	0.00389654	0.0136855	0.0213881	0.103016	0.263594	0.163678	0.195702	0.19726
á	0.000156513	0.000124783	0.0022207	0.0109537	0.0139519	0.00316806	0.0157519	0.0165211	0.133231	0.383847	0.123268	0.0883499	0.208456
á	0.000271773	0.000594546	0.0034285	0.0017592	0.0155627	0.00958223	0.0338187	0.0231678	0.163304	0.169252	0.096106	0.106259	0.376893
s	0.00459929	0.00876363	0.00762332	0.00343078	0.0286926	0.0402794	0.0577877	0.0851981	0.0213075	0.0371962	0.239698	0.271729	0.193695
a	0.000443299	0.000679728	0.00125941	0.00657843	0.00884478	0.0255711	0.00705014	0.0139835	0.0115059	0.0312683	0.128922	0.220033	0.543859
k	0.000166751	0.000628062	0.00123292	0.000610793	0.00827441	0.0162041	0.0102622	0.0203426	0.00591106	0.0106013	0.202711	0.338882	0.384172
a	0.000348726	0.000178336	0.000324071	0.000499431	0.00332987	0.00182403	0.00405339	0.00366346	0.0392548	0.163523	0.157522	0.219333	0.406146
á	0.000283555	0.000212253	0.000245899	0.000213311	0.00184093	0.00164609	0.00452236	0.00279855	0.0277049	0.0739765	0.0621675	0.0968022	0.727586
</S>	0.000434175	0.00167876	0.0037445	0.00316738	0.00995143	0.0136847	0.0245139	0.0309536	0.0134774	0.0204089	0.116437	0.0914362	0.670111
