 	mon	petit	frère	m'	a	montré	l'	endroit	où	maman	a	gardé	ma	nourriture	</S>
n	0.11496	0.0286446	0.0565702	0.455317	0.194108	0.0177518	0.0284004	0.0288426	0.022069	0.00604493	0.0139359	0.0040165	0.0115125	0.000856347	0.0169706
g	0.174738	0.0144763	0.00709899	0.702758	0.0288836	0.00185813	0.00627768	0.0058727	0.0149082	0.0097526	0.00410965	0.000752964	0.0219712	0.000624342	0.00591773
á	0.106102	0.0233263	0.0111008	0.62623	0.0475269	0.00288218	0.00767019	0.00559526	0.0135705	0.108809	0.00489909	0.00340399	0.0290113	0.000609522	0.00926288
e	0.012172	0.0153118	0.0385675	0.163676	0.514654	0.0438763	0.0745753	0.0610702	0.0279345	0.00246394	0.0198691	0.00277976	0.0061648	0.00380241	0.0130828
b	0.0017105	0.00375232	0.0282893	0.0216446	0.29746	0.610838	0.020364	0.00481053	0.000548103	0.00190291	0.00133218	0.00442184	0.000308784	0.000385486	0.00223153
é	0.000571975	0.00344104	0.0284965	0.0180091	0.169342	0.674471	0.0334652	0.022663	0.00183757	0.000592961	0.00450598	0.0328471	0.000414095	0.00416814	0.00517386
e	0.000928336	0.00135689	0.0159768	0.0232799	0.153877	0.560998	0.0480063	0.0206841	0.00312743	0.000645364	0.0107053	0.0243966	0.00340334	0.00446458	0.12815
y	0.00271578	0.00263193	0.00982636	0.042789	0.22063	0.146964	0.327226	0.159083	0.0398147	0.00832674	0.021224	0.00368484	0.00297112	0.00346905	0.00864417
é	0.0201909	0.00709618	0.0136045	0.0528808	0.122636	0.0993437	0.314282	0.151729	0.0890794	0.0655438	0.0223282	0.00296837	0.0227284	0.00154901	0.0140388
é	0.00421482	0.00140978	0.00291432	0.0214864	0.046994	0.0518468	0.322898	0.307867	0.155783	0.0396187	0.0214639	0.00564248	0.00680285	0.00156375	0.00949402
b	0.00316384	0.00703173	0.0463036	0.0170971	0.161031	0.232528	0.180056	0.109919	0.0169991	0.0498845	0.0251397	0.122019	0.00374208	0.00190152	0.0231841
o	0.000263704	0.00626025	0.0220859	0.00838656	0.0710693	0.385687	0.0564818	0.0990179	0.00797515	0.00126835	0.0242923	0.263852	0.00233917	0.02774	0.0232808
m	5.00732e-05	0.000395002	0.00694489	0.00107776	0.0286945	0.831992	0.0324102	0.0160002	0.000850095	0.00149966	0.00434679	0.0394206	0.00103696	0.000493671	0.0347878
b	0.00224506	0.00111471	0.00440072	0.00357465	0.0370363	0.320278	0.260476	0.203	0.0304423	0.00377557	0.0444941	0.0293776	0.00866836	0.00601196	0.045105
í	0.00881323	0.00303014	0.00987989	0.030553	0.0572872	0.21013	0.144784	0.227763	0.0238737	0.00462488	0.0354451	0.0156099	0.0616259	0.0169107	0.149669
n	0.000808136	0.000727151	0.000885763	0.00740589	0.0195961	0.00808623	0.165078	0.392375	0.223374	0.00734785	0.114473	0.00992694	0.0067238	0.0139551	0.029237
g	0.0190305	0.00219396	0.00077377	0.0512285	0.0065767	0.00103905	0.0512372	0.13728	0.478673	0.103275	0.02743	0.00254679	0.0777741	0.00331742	0.0376245
ó	0.00247737	0.000302611	5.57962e-05	0.0109744	0.00113921	0.000106685	0.00765312	0.0120024	0.0999011	0.844517	0.00636201	0.00116422	0.0100643	0.000569655	0.00270981
o	0.00122775	0.000582627	0.00031025	0.0325515	0.00596627	0.000539424	0.0126638	0.018243	0.0652174	0.744378	0.0318795	0.00614774	0.0647931	0.00348434	0.0120153
b	0.00168679	0.00125143	0.00135904	0.00270691	0.0107014	0.00221618	0.060378	0.117334	0.103537	0.0434141	0.479043	0.0533116	0.051192	0.0397337	0.0321346
e	0.000689238	0.00183323	0.00348355	0.0032705	0.00996185	0.00792151	0.0901463	0.200364	0.10518	0.00165621	0.0511197	0.0421583	0.0416777	0.227288	0.21325
a	0.000401025	0.000392963	0.000523621	0.00335923	0.00349583	0.000957699	0.0200106	0.0538674	0.0597771	0.00276933	0.20364	0.0823021	0.0715771	0.214273	0.282653
b	0.000189501	0.000242617	0.00165374	0.000773775	0.00886943	0.00104232	0.0267858	0.0404846	0.0204248	0.00654221	0.391045	0.0962063	0.0544862	0.0372436	0.31401
á	0.000732935	0.00278887	0.00767251	0.00673635	0.0203701	0.00830929	0.0407919	0.160783	0.0680048	0.00388288	0.114956	0.221979	0.080166	0.116277	0.146549
n	0.00168277	0.00212568	0.00314079	0.013464	0.0124797	0.00186517	0.0395494	0.0810037	0.0749225	0.00612309	0.177605	0.0975077	0.101625	0.225699	0.161206
g	0.0210675	0.00197695	0.00144772	0.017487	0.00513394	0.00021722	0.0105149	0.0377536	0.130485	0.0275363	0.251597	0.0274805	0.257204	0.0147573	0.195341
á	0.000731292	0.000873217	0.000343835	0.0101184	0.00350223	0.000102219	0.0172523	0.0313551	0.143885	0.507887	0.0986076	0.0210622	0.143633	0.00095823	0.019688
</S>	0.000262651	0.000135229	0.000155638	0.000339299	0.00176012	0.000170965	0.0138809	0.0385394	0.0383759	0.0137307	0.385576	0.0142462	0.23981	0.100047	0.152971
