 	dans	l'	étang	où	nous	avons	pêché	il	y	avait	une	substance	qui	donne	de	démangeaisons	c'	est	pourquoi	nos	corps	démangent	</S>
í	0.0061279	0.0313807	0.249713	0.0390987	0.00980014	0.0408637	0.400427	0.0691615	0.0522705	0.0119582	0.00657921	0.000885535	0.00489342	0.00919301	0.00824474	0.00687048	0.00291481	0.00493063	0.00372858	0.00369768	0.0114312	0.0127758	0.0130535
b	0.0177319	0.00548604	0.00312698	0.12599	0.312379	0.32105	0.0591867	0.06989	0.0217927	0.0111273	0.00578479	0.00534456	0.0040669	0.0043807	0.00322473	0.00138683	0.0042176	0.00397211	0.00440863	0.00662139	0.00230473	0.000466137	0.00605978
í	0.0152825	0.00633782	0.00603131	0.02229	0.761715	0.0337469	0.00538086	0.0211135	0.0379806	0.0268905	0.00901947	0.0076314	0.00389914	0.0039872	0.0097417	0.00409309	0.0037669	0.00416142	0.00752613	0.00651816	0.000719132	0.000918352	0.0012487
s	0.0193903	0.00613053	0.00476742	0.0789251	0.644951	0.0557037	0.00587677	0.014802	0.0287198	0.031008	0.00634928	0.00796427	0.00155053	0.00350954	0.0142123	0.00464692	0.00565466	0.00549389	0.0199237	0.0328134	0.0015136	0.000761891	0.00533096
í	0.00886162	0.00513355	0.00762419	0.103011	0.382421	0.113815	0.0156981	0.0585183	0.0553532	0.0417938	0.0133281	0.00383021	0.00570254	0.00311283	0.0403538	0.0201594	0.0141301	0.00693194	0.0568432	0.0193014	0.0116273	0.000301762	0.0121482
é	0.00148202	0.00175748	0.00201573	0.0470353	0.0859565	0.10588	0.216308	0.225247	0.153288	0.0497681	0.0132905	0.0187352	0.0121775	0.00911308	0.0044717	0.00171084	0.00650599	0.00607223	0.00613092	0.00939335	0.00797059	0.00498361	0.0107069
d	0.00789226	0.00813521	0.0104979	0.00969221	0.0281437	0.100001	0.114441	0.204203	0.277593	0.1024	0.0309046	0.0168068	0.022198	0.0171183	0.00371076	0.00391833	0.00806644	0.00800942	0.00295025	0.00609843	0.00761535	0.00572163	0.00388224
z	0.00765278	0.00217731	0.000479615	0.00568965	0.0237681	0.10375	0.109022	0.150468	0.184139	0.124531	0.0925438	0.0301944	0.0529469	0.020319	0.00784001	0.00980141	0.01507	0.0118388	0.00283921	0.0053027	0.00674474	0.000478343	0.0324024
e	0.0187162	0.00646799	0.00280174	0.019827	0.00915381	0.0488248	0.0200385	0.0949197	0.177302	0.12898	0.181575	0.0281843	0.0532642	0.0107783	0.019187	0.0543926	0.0330068	0.0308637	0.00921672	0.00449471	0.0100645	0.000595979	0.0373443
l	0.00451601	0.00120189	0.000539634	0.0125423	0.0247213	0.0395182	0.0406621	0.113636	0.357316	0.107015	0.0706404	0.0178979	0.0364927	0.0389161	0.0280621	0.0176407	0.0139558	0.0195683	0.00819138	0.00971753	0.0160591	0.00811451	0.0130753
a	0.00414397	0.00154991	0.00206354	0.00536588	0.0202156	0.0563028	0.0202237	0.0834247	0.153353	0.159295	0.0690949	0.0143113	0.0458423	0.0669874	0.0240645	0.0103141	0.0175602	0.0147231	0.0087307	0.0161546	0.00852031	0.00657139	0.191187
k	0.00163571	0.00184273	0.00375059	0.00246366	0.0058593	0.00935588	0.0133222	0.0543208	0.232044	0.142627	0.153167	0.0313248	0.111695	0.0457289	0.0278338	0.0410776	0.0195017	0.031954	0.012824	0.00514944	0.00589395	0.0159408	0.0306867
á	0.000508755	0.00177866	0.0079178	0.00101817	0.00834857	0.00988834	0.0248366	0.0303856	0.395934	0.145289	0.088025	0.00796953	0.0256044	0.054383	0.0356801	0.0559827	0.0124129	0.0309233	0.00627943	0.0125477	0.00349687	0.033294	0.00749536
l	0.000784296	0.000942851	0.00346095	0.00171131	0.0100704	0.0186202	0.013867	0.0434391	0.202519	0.13888	0.136573	0.00757329	0.023049	0.079533	0.0394905	0.067488	0.0225487	0.0540859	0.0252998	0.0515272	0.00548808	0.00698802	0.0460612
á	0.000116453	0.000140731	0.00303163	0.00106495	0.00507386	0.00465022	0.00397055	0.0404083	0.26752	0.107417	0.0877177	0.00208692	0.0179131	0.0523434	0.106865	0.0912546	0.0224384	0.0303703	0.0316984	0.0268454	0.00990801	0.017611	0.0695543
d	0.000460298	0.000281865	0.000489958	0.0022899	0.00244875	0.00748357	0.000745559	0.015788	0.0330356	0.0995425	0.190178	0.0943712	0.139559	0.0950352	0.0491543	0.0409717	0.0704333	0.0626126	0.041254	0.0255833	0.00810863	0.00273885	0.0174343
í	0.000905962	0.00162544	0.00171583	0.00291202	0.00292773	0.00906162	0.00188946	0.0151578	0.0613689	0.0978225	0.204557	0.0164942	0.125944	0.0442426	0.0529593	0.149625	0.057801	0.0482237	0.0317184	0.00903131	0.00771159	0.000877368	0.0554274
a	0.000276968	0.000210838	8.43359e-05	0.00108888	0.00209141	0.00487854	0.00057284	0.00650404	0.0234202	0.0362367	0.118323	0.0604231	0.135319	0.0875042	0.0764059	0.0782532	0.101071	0.12839	0.0581848	0.0452981	0.0189694	0.00362558	0.0128678
b	0.00115111	0.000501429	0.000626069	0.00158805	0.00173311	0.00507428	0.00157189	0.00864627	0.0107653	0.0208021	0.0692839	0.0607248	0.176844	0.190619	0.0585481	0.0727911	0.0971943	0.097533	0.0380862	0.0306892	0.0298499	0.0141316	0.0112455
v	0.000594922	0.0017135	0.000735771	0.00108849	0.0118044	0.00613127	0.000624297	0.0119531	0.0237277	0.0138673	0.0441758	0.0228771	0.0693339	0.219589	0.0998077	0.0421214	0.0602275	0.150579	0.0338622	0.0504708	0.0285479	0.0935533	0.0126139
ú	0.000650831	0.000291357	0.000274156	0.000997379	0.0108062	0.00296999	0.000429567	0.00601423	0.0153354	0.0285509	0.0473373	0.047686	0.0385258	0.133314	0.129776	0.0570087	0.0685646	0.123104	0.0734776	0.138826	0.0379057	0.0204693	0.0176841
u	0.000575892	0.000801697	0.000186331	0.000160943	0.000502848	0.00143787	0.000161189	0.00613974	0.0216735	0.0240749	0.180217	0.0399199	0.100726	0.129945	0.104335	0.16356	0.0734198	0.0732369	0.0256932	0.0139201	0.0116422	0.00826786	0.0194011
b	0.000596989	0.000214677	0.000156839	0.000386401	0.000249107	0.000916226	5.64763e-05	0.00677643	0.0114634	0.0256397	0.0675674	0.0211635	0.124808	0.25818	0.0925289	0.0505147	0.112383	0.0965573	0.0478832	0.0324232	0.019797	0.00991928	0.0198186
í	0.000595927	0.00165978	0.000497637	0.00406172	0.029381	0.00974057	7.74784e-05	0.0218666	0.0277922	0.0417355	0.0876543	0.0489774	0.0548385	0.0776284	0.0781421	0.0404054	0.111344	0.173373	0.0508573	0.0997565	0.0130087	0.0126801	0.0139261
s	0.000350091	0.000550156	0.000134646	0.000857915	0.0105269	0.0045992	0.000128369	0.00221887	0.00639446	0.0137323	0.0267524	0.0204738	0.0204973	0.0530415	0.0928819	0.066402	0.0705061	0.128916	0.172161	0.254593	0.0174595	0.0142849	0.022539
í	0.00161352	0.00159138	0.000942924	0.00207266	0.00256349	0.00423957	0.000573308	0.00329463	0.00738505	0.0265345	0.0335442	0.0117276	0.0487366	0.0200637	0.0768487	0.186849	0.151263	0.090109	0.196166	0.0624769	0.0344259	0.0014389	0.0355406
a	0.000314404	0.000336734	0.000141229	0.00101267	0.000413517	0.00102212	0.000117883	0.00240752	0.00413785	0.0131047	0.0298922	0.0195925	0.0836024	0.0473189	0.0818487	0.056716	0.1524	0.134004	0.135551	0.114622	0.0797881	0.00934983	0.0323063
n	0.00127759	0.00161404	0.0010736	0.00121788	0.00111765	0.00488038	0.00253386	0.00791303	0.00648469	0.00718806	0.015134	0.0103148	0.0474866	0.0998137	0.0455782	0.0568424	0.0873194	0.0978713	0.0540459	0.102225	0.213852	0.101574	0.0326429
d	0.00593457	0.00320017	0.00109725	0.00575678	0.00422195	0.00830625	0.000440012	0.00455	0.00780899	0.0164575	0.0133074	0.0106915	0.0308389	0.0199551	0.0628347	0.16459	0.0677606	0.0517309	0.296744	0.0519877	0.121734	0.0104764	0.0395761
z	0.000157195	0.000432776	0.00190626	0.000988237	0.000584347	0.000923885	0.000305513	0.00185104	0.00699761	0.0145149	0.0165182	0.00514217	0.0333976	0.0207835	0.0902994	0.302076	0.0482559	0.0587575	0.161386	0.0307609	0.143535	0.0177494	0.0426774
ó	3.40554e-05	8.98338e-05	0.000506895	0.000100757	5.11099e-05	0.000104753	6.49815e-05	0.000495305	0.00460417	0.00785826	0.0317408	0.00686588	0.0339626	0.0136564	0.0602728	0.585397	0.0619738	0.0407341	0.0708961	0.00688811	0.0332404	0.00562468	0.0348375
r	0.000423546	0.000496195	0.00158182	0.00437263	0.00354299	0.00268348	0.00177609	0.0116974	0.0350213	0.0305436	0.0617028	0.0184064	0.0528119	0.0429063	0.119681	0.215596	0.0759452	0.0751263	0.0479551	0.0122048	0.0301529	0.0527546	0.102617
o	0.00176513	0.00232573	0.00507503	0.00175415	0.000330509	0.000369215	0.000186804	0.00349153	0.0169902	0.0242866	0.0740144	0.0209001	0.0447567	0.0437602	0.10707	0.269261	0.105165	0.0981393	0.0506601	0.0093467	0.015007	0.0477775	0.0575666
á	0.00132822	0.000460287	0.000146441	0.00143607	0.000681889	0.00147489	6.3735e-05	0.00310938	0.00492434	0.0187883	0.0391328	0.0200427	0.0703581	0.0681887	0.0754848	0.0525531	0.197045	0.144107	0.106321	0.0735021	0.0350097	0.0104179	0.0754232
b	0.00130915	0.00165867	0.00119167	0.00136599	0.000978475	0.00585147	0.011007	0.0103909	0.00679603	0.00664326	0.00613273	0.00325257	0.0125869	0.0454429	0.0151824	0.0144055	0.0243592	0.0256808	0.0217764	0.0963999	0.251714	0.299591	0.136283
h	0.000112522	0.000885122	0.000205597	0.000404363	0.00329067	0.00428631	0.000953806	0.00610322	0.00765619	0.00995317	0.0159706	0.015919	0.0264932	0.1018	0.0344587	0.0121398	0.0264263	0.0379273	0.0205648	0.0951764	0.273506	0.250693	0.0550736
i	6.71226e-05	0.000376519	0.000312385	0.000372812	0.000762411	0.00298143	0.000792666	0.00951176	0.0133867	0.0146362	0.0298526	0.0116375	0.0336173	0.165497	0.0589533	0.0366086	0.0354983	0.0578477	0.0176579	0.0776154	0.15152	0.197987	0.0825069
l	0.000172125	0.000256631	0.000109693	0.000333434	0.000708094	0.00180967	0.000448079	0.00218004	0.00486471	0.00762813	0.0185982	0.0145001	0.018653	0.0717572	0.0464011	0.0402447	0.0446199	0.0622052	0.0427285	0.106171	0.117325	0.145812	0.252473
a	0.000157939	0.000105684	0.000228567	0.000365276	0.00103641	0.00127862	0.000448165	0.00199297	0.00367503	0.00277479	0.0096226	0.00210566	0.0115078	0.0668224	0.0454022	0.0346577	0.0354151	0.0619587	0.0391601	0.127354	0.0826294	0.129743	0.341557
s	0.000110567	0.000159767	0.000140968	0.00143124	0.00178212	0.00105882	8.11574e-05	0.0020509	0.00260729	0.00391137	0.0178003	0.0126522	0.0203417	0.0241987	0.0619701	0.0413599	0.0563145	0.0894165	0.128848	0.104972	0.0583781	0.0710188	0.299395
u	0.00163161	0.00143443	0.000612189	0.00180115	0.00725672	0.0140003	0.000395737	0.00157151	0.00244123	0.0022848	0.00683773	0.00187262	0.0119612	0.0119403	0.0412779	0.170084	0.0326199	0.0336361	0.0784905	0.0278791	0.262913	0.0429565	0.244101
ε	0.000131603	0.00012874	9.77962e-05	0.00059464	0.000742701	0.000590698	1.2332e-05	0.000772522	0.00175306	0.00197727	0.0494995	0.0160691	0.0332973	0.00810024	0.0592144	0.128102	0.111008	0.0952291	0.0638005	0.0213092	0.0733904	0.00207704	0.332101
</S>	0.00146378	0.000412553	5.50705e-05	0.000880881	0.00201526	0.00389479	2.27723e-05	0.00244115	0.00192543	0.00368396	0.00669959	0.0038144	0.0110771	0.0239391	0.0321394	0.0124559	0.0539213	0.0420848	0.0748461	0.124636	0.085742	0.0484606	0.463388
