 	l'	enfant	roule	par	terre	parce	que	sa	mère	l'	a	tapé	</S>
á	0.0540136	0.00105649	0.604236	0.146402	0.0908204	0.0444923	0.0210986	0.0122659	0.000253626	0.00605607	0.00246676	0.00176695	0.0150714
á	0.00801177	0.0120844	0.097097	0.43385	0.185921	0.137934	0.0557625	0.0202663	0.00216117	0.0149599	0.00509396	0.00157641	0.0252818
ó	0.0148686	0.00368716	0.0524347	0.330401	0.275041	0.204166	0.0540258	0.021809	0.0217577	0.00856003	0.00724507	0.00248605	0.0035168
t	0.00413842	0.000474568	0.0346239	0.147532	0.463255	0.262571	0.0397253	0.00296264	0.020099	0.0029813	0.00473016	0.0137104	0.00319704
s	0.000448231	5.52109e-05	0.0105927	0.0803807	0.61235	0.22565	0.048437	0.00172211	0.00113559	0.00346374	0.0038033	0.0087724	0.00318994
ε	0.000177605	8.36105e-05	0.036319	0.0731403	0.517222	0.268808	0.0806276	0.00182225	0.000762866	0.00288532	0.00205733	0.0102881	0.00580542
n	0.000953711	0.000101917	0.0622508	0.128094	0.230473	0.307676	0.151314	0.0143885	0.000727167	0.0304254	0.0109061	0.00500842	0.0576817
g	0.00135522	6.79545e-05	0.0294766	0.0829944	0.389923	0.275437	0.061348	0.0232467	0.00130765	0.0201785	0.00402616	0.00340621	0.107233
ε	0.00157595	0.00010497	0.0215719	0.019988	0.730945	0.144303	0.0280829	0.0118987	0.00177033	0.00447275	0.000402982	0.00256653	0.0323171
t	0.00212094	6.13417e-05	0.00200948	0.0487093	0.0860083	0.216685	0.300691	0.0894182	0.00987694	0.143723	0.0223592	0.00971669	0.0686195
s	0.0301237	0.000478921	0.00221566	0.0196155	0.131261	0.423344	0.191719	0.0627926	0.0125575	0.0683771	0.0157015	0.00239555	0.0394176
í	0.00156974	2.46068e-05	0.0101552	0.0223818	0.229284	0.361912	0.207955	0.0309978	0.00616504	0.0276978	0.00555839	0.0528389	0.0434597
n	0.0153931	0.00133683	0.0778747	0.0739834	0.202413	0.293655	0.16966	0.0502228	0.0117449	0.0195424	0.0119446	0.044826	0.0274029
a	0.0146867	0.00214684	0.0366481	0.0193713	0.0728942	0.232201	0.132116	0.178344	0.0528804	0.0419448	0.00464216	0.013384	0.198741
n	0.00229446	2.16552e-05	0.0038888	0.0128731	0.00965777	0.079857	0.131197	0.137659	0.120623	0.312353	0.14584	0.0202018	0.0235337
g	0.00440828	0.000208876	0.00618422	0.00818445	0.0173563	0.0262224	0.0551704	0.379475	0.270228	0.105503	0.0204133	0.00938336	0.0972619
ó	0.000169985	7.24306e-05	0.00044735	0.000758721	0.00645572	0.00835432	0.012344	0.0363627	0.886555	0.0253059	0.00594665	0.0108973	0.00633034
o	0.000170609	5.35675e-05	0.000922488	0.00212818	0.00821099	0.0108247	0.00836422	0.0166783	0.900384	0.0209504	0.00503285	0.00998779	0.016292
á	0.000245393	4.45272e-05	0.00197838	0.0074105	0.0073999	0.0365828	0.0758621	0.0660362	0.170202	0.343288	0.152339	0.077146	0.0614652
b	0.009799	0.000160592	0.033127	0.0634988	0.0117013	0.00509212	0.0092287	0.00462478	0.0283383	0.0268364	0.207889	0.48382	0.115885
έ	0.000107618	0.000164138	0.0157035	0.0240951	0.00340564	0.00566121	0.019218	0.0185253	0.00414984	0.02424	0.144487	0.675488	0.0647547
r	0.000333412	3.1551e-05	0.00490872	0.0232911	0.00984225	0.0247144	0.07785	0.0586857	0.00682437	0.0795137	0.119118	0.204344	0.390543
i	0.00140991	1.59302e-05	0.00238721	0.0167873	0.0264239	0.0821726	0.124149	0.158606	0.0186778	0.268279	0.095279	0.108456	0.0973564
w	0.00225301	0.000120184	0.0022995	0.00570921	0.00376948	0.0146605	0.0575993	0.104437	0.0312336	0.145664	0.0414269	0.025457	0.565371
a	0.00150262	0.000151429	0.0019588	0.00918184	0.0118259	0.0609309	0.100313	0.349996	0.0170802	0.224509	0.123478	0.0453202	0.053752
</S>	0.000806	6.67157e-05	0.000406027	0.00251792	0.00294315	0.0210086	0.0551108	0.0855787	0.0624621	0.11523	0.0426128	0.0347902	0.576467
