 	sa	paternité	est	vaine	car	il	ne	remplit	plus	ses	obligations	envers	les	enfants	</S>
n	0.00245051	0.00907868	0.0357352	0.0948165	0.391164	0.196837	0.125666	0.0346809	0.00742528	0.00560447	0.0191903	0.0285649	0.0041614	0.00391013	0.0407151
a	0.0383799	0.0351128	0.0250878	0.0810096	0.0368098	0.24334	0.0262425	0.071045	0.0175663	0.00889758	0.00330791	0.00535252	0.0387842	0.162584	0.20648
w	0.00420533	0.0025499	0.00973511	0.0568963	0.109122	0.365338	0.278402	0.0331492	0.0248491	0.0233293	0.0364326	0.0143163	0.0197422	0.00142955	0.0205038
a	0.00880486	0.0091955	0.044243	0.0879395	0.186807	0.256199	0.070351	0.0302633	0.116062	0.0728746	0.0328812	0.00695599	0.0230841	0.0221466	0.032192
á	0.00233431	0.00198752	0.00551688	0.0182127	0.117606	0.294341	0.256783	0.0641817	0.0612587	0.0454177	0.0500954	0.0157608	0.0218275	0.00161438	0.0430629
b	0.0116196	0.00271804	0.0253502	0.0122911	0.0173834	0.0466077	0.383751	0.119518	0.0325262	0.0352897	0.156353	0.0385093	0.0144855	0.00107081	0.102527
h	0.000870022	0.0119164	0.0336083	0.020263	0.0543114	0.0389063	0.373472	0.188843	0.0403111	0.0638886	0.104319	0.0475068	0.00919009	0.00498955	0.0076047
i	0.00223298	0.00301196	0.0157036	0.0498036	0.0893727	0.0418424	0.27797	0.142788	0.062727	0.0684253	0.133177	0.0548883	0.0147979	0.00547349	0.0377859
á	0.00209755	0.00190625	0.00821579	0.0738711	0.0456731	0.0445749	0.282947	0.194158	0.0509207	0.0577875	0.101073	0.0862567	0.0110692	0.00160462	0.0378453
p	0.00425594	0.0037499	0.00496238	0.01033	0.0162693	0.0312712	0.0775914	0.294876	0.118879	0.110467	0.165027	0.0664619	0.0657979	0.0193987	0.0106621
ώ	7.80905e-05	0.000631643	0.00500666	0.00961547	0.0140924	0.0130284	0.0843956	0.186686	0.0762702	0.0266737	0.42417	0.133772	0.00340586	0.00538567	0.016789
ω	0.000220888	0.00040135	0.0026776	0.0123207	0.0357885	0.023445	0.0623114	0.266104	0.134225	0.0623858	0.168418	0.12831	0.0306015	0.0119497	0.0608403
y	0.00205947	0.000830125	0.00174431	0.00850573	0.00802885	0.0150902	0.0533555	0.10274	0.155993	0.258621	0.222701	0.0804656	0.0732461	0.00636751	0.0102518
á	0.0176055	0.00421975	0.0135325	0.0254603	0.00422941	0.0279526	0.0802392	0.485273	0.0998538	0.0557882	0.0343935	0.0400023	0.0545779	0.00472517	0.0521469
b	0.000856584	0.00083405	0.00129211	0.00597758	0.00332334	0.0129323	0.0112552	0.150022	0.214078	0.17381	0.0479234	0.0590216	0.239735	0.0615888	0.0173498
á	0.00144316	0.0277201	0.00546575	0.0105298	0.0436599	0.0353351	0.0147961	0.0510781	0.122548	0.116393	0.310719	0.057844	0.0530307	0.142713	0.00672472
n	0.000370974	0.0018471	0.0020674	0.00366981	0.0261485	0.0418758	0.0104286	0.0487449	0.107402	0.118871	0.236598	0.0336152	0.0508974	0.302111	0.0153524
a	0.00260425	0.000651155	0.00340333	0.00797494	0.00489165	0.0094622	0.0160828	0.177391	0.165542	0.0685159	0.0835096	0.0928291	0.087237	0.0710965	0.208808
o	0.00117774	0.000226639	0.00166376	0.00324834	0.00426592	0.0110739	0.0277067	0.107619	0.233648	0.216896	0.0962531	0.0755729	0.156817	0.00925462	0.0545771
t	0.000325205	0.000396373	0.00805123	0.00534067	0.00237984	0.00291178	0.0273295	0.0408398	0.0867901	0.120653	0.102022	0.478226	0.038468	0.00802888	0.078238
i	0.000194586	0.00034728	0.00606681	0.0143817	0.0078544	0.00436321	0.0493457	0.0516997	0.13348	0.0807404	0.0982633	0.431514	0.0244235	0.00443294	0.0928918
a	0.000203131	0.000123832	0.00169429	0.005552	0.00567237	0.00627676	0.0639423	0.0855208	0.148829	0.113447	0.0900806	0.284155	0.0228951	0.00804277	0.163565
k	0.00218406	0.000955418	0.00160302	0.00838386	0.00821172	0.00857873	0.00932916	0.0266001	0.127158	0.229634	0.0843286	0.0818395	0.292224	0.0626753	0.0562943
a	0.000105614	0.00073538	0.00159508	0.00367073	0.0160574	0.00368462	0.00747976	0.0153202	0.111816	0.0912257	0.188134	0.381894	0.0776388	0.0441969	0.0564461
á	0.00115711	0.00214963	0.00158709	0.00773659	0.0213846	0.00593352	0.00813515	0.0301754	0.152554	0.131627	0.137274	0.137137	0.0322504	0.192069	0.138831
</S>	0.00138897	0.000821865	0.0019098	0.0025688	0.00470879	0.0134141	0.00731252	0.0181785	0.0536631	0.126757	0.0707548	0.0689005	0.128952	0.0640673	0.436601
