 	tu	manges	tellement	vite	que	je	ne	veux	pas	manger	dans	une	même	assiette	que	toi	</S>
n	0.000275033	0.00540943	0.0108906	0.0817179	0.307325	0.233789	0.155532	0.0786468	0.039158	0.0140875	0.0122499	0.00584694	0.00549975	0.00302488	0.00992802	0.00400467	0.0326145
g	0.00175187	0.0149836	0.00510594	0.0993378	0.121677	0.534957	0.0542917	0.00673222	0.0109892	0.00446297	0.0110718	0.00520946	0.00764343	0.0278869	0.0215091	0.0288985	0.0434918
á	0.000438233	0.00213756	0.00205353	0.175484	0.13952	0.588492	0.0270995	0.0120457	0.00624034	0.00286365	0.00353478	0.00387584	0.00203457	0.0091118	0.00264708	0.0193157	0.00310542
i	0.000160189	0.0017955	0.00255755	0.0614418	0.290806	0.172771	0.215484	0.0913567	0.068182	0.0155979	0.0126696	0.0111407	0.0144548	0.0027462	0.0184546	0.00281326	0.0175681
d	0.000482145	0.00807889	0.012243	0.0228406	0.0582982	0.0776208	0.125702	0.417821	0.0965004	0.0626014	0.0357766	0.0146722	0.00723968	0.00739167	0.0210667	0.00743381	0.0242312
i	0.000106916	0.0175368	0.027792	0.0273054	0.0555376	0.0288515	0.0835707	0.407727	0.0337586	0.0802022	0.0932194	0.0224313	0.0245904	0.0103571	0.0122745	0.00352251	0.0712158
p	7.81476e-05	0.0028754	0.00741095	0.0393591	0.0749238	0.0463676	0.133777	0.314367	0.0939054	0.0774333	0.091155	0.0365324	0.022281	0.00536321	0.0158012	0.00234885	0.0360211
ó	0.000116845	0.000456254	0.00266496	0.0170845	0.0393254	0.016167	0.0537899	0.631836	0.0901423	0.037381	0.020801	0.0492601	0.0138458	0.000321825	0.00488957	0.00216314	0.0197544
s	3.78318e-05	0.000242677	0.00155856	0.0291394	0.0561637	0.0289704	0.0766804	0.502254	0.0987268	0.0571499	0.0383718	0.0334879	0.0217798	0.000421038	0.0100477	0.00139455	0.0435737
á	6.325e-05	0.000880988	0.00663153	0.0463393	0.0689278	0.0126304	0.0766995	0.31924	0.0681891	0.0383746	0.0643439	0.121388	0.0849226	0.00174797	0.0222158	0.00615336	0.0612523
o	0.000676101	0.000319844	0.00044043	0.00679369	0.0497308	0.111963	0.111917	0.0644054	0.15163	0.0360464	0.047252	0.0645356	0.114563	0.0844934	0.133099	0.0109705	0.011164
d	0.000111528	0.0149687	0.0175387	0.0096819	0.0121926	0.0273931	0.054162	0.216265	0.0650955	0.24427	0.120522	0.041553	0.0218929	0.0220291	0.0624611	0.0328904	0.0369727
z	0.000133399	0.0201193	0.0334681	0.0296586	0.0106551	0.0208658	0.0541808	0.131496	0.0446065	0.163212	0.214525	0.032066	0.0153641	0.0566576	0.0232614	0.0184748	0.131256
á	5.78396e-05	0.00659677	0.039731	0.0241371	0.0140267	0.00752707	0.0360409	0.318228	0.0544324	0.271609	0.134915	0.0458542	0.0086241	0.00120531	0.00511658	0.00359898	0.028299
l	9.44847e-05	0.000250799	0.000638012	0.00375698	0.0185492	0.020532	0.0406811	0.0861153	0.0986149	0.137773	0.0816331	0.0987017	0.188715	0.03147	0.0661034	0.010512	0.115858
a	0.000191929	0.000300908	0.00154308	0.00284007	0.00705169	0.0345587	0.0330463	0.0530496	0.0394599	0.10652	0.121768	0.0827096	0.121666	0.123273	0.0927272	0.0627147	0.116579
n	1.54268e-05	0.000175273	0.000422244	0.00391679	0.00659812	0.0146303	0.0246386	0.0327114	0.0420617	0.0569206	0.133752	0.261749	0.1743	0.011623	0.104081	0.0779924	0.0544119
ω	0.000394417	0.000373305	0.000306838	0.00379738	0.00356481	0.116171	0.01021	0.00480058	0.0088232	0.0150053	0.0416509	0.0434383	0.0375181	0.387898	0.0556487	0.231177	0.0392223
s	0.000100167	0.000134914	0.00043459	0.00639185	0.0177664	0.0437782	0.0425704	0.0297688	0.0573732	0.0763024	0.139913	0.154764	0.075866	0.039282	0.0874159	0.108292	0.119846
a	3.73448e-05	0.000753562	0.00143203	0.00983746	0.00632387	0.00951049	0.0139451	0.0475726	0.0271376	0.121859	0.162526	0.151866	0.048695	0.0084138	0.0431239	0.0692981	0.277668
á	1.28678e-05	0.000206016	0.00018179	0.00262311	0.00719705	0.0115574	0.0225738	0.0190962	0.0501667	0.0749005	0.102284	0.164844	0.25858	0.00777665	0.122263	0.0241033	0.131634
n	0.000438482	0.00589978	0.00300127	0.00359405	0.00545528	0.0090557	0.016028	0.0118726	0.0160855	0.0889135	0.127119	0.0297583	0.0537457	0.0795175	0.237032	0.071449	0.241035
i	0.000310081	0.000645419	0.000409505	0.0024912	0.00338819	0.0620682	0.0076008	0.00187793	0.0069838	0.0157736	0.020753	0.0226948	0.042406	0.52602	0.0763074	0.153737	0.0565337
i	2.62618e-06	6.55866e-05	0.000241474	0.00407205	0.00978273	0.0131669	0.0275937	0.0241289	0.0241011	0.0795403	0.19077	0.108824	0.0888219	0.0119326	0.102478	0.0496808	0.264797
p	4.89553e-05	0.00125431	0.000891673	0.00151952	0.00260189	0.00556165	0.0131427	0.0141759	0.023279	0.0848976	0.153362	0.0759289	0.0617648	0.0153973	0.0737401	0.0455998	0.426834
ω	1.58299e-05	0.000234801	0.00160309	0.00406248	0.00388894	0.00289504	0.0152776	0.0514439	0.0346477	0.101021	0.109329	0.234831	0.118479	0.00278245	0.0695127	0.0557613	0.194214
ώ	3.04294e-05	3.83191e-05	0.000252357	0.00284647	0.00458487	0.00479775	0.0131695	0.0293924	0.0325375	0.0424426	0.0859704	0.420469	0.101054	0.00188249	0.0554976	0.096866	0.108168
k	5.89771e-05	0.000653327	0.000697359	0.00267944	0.00641257	0.0103632	0.0193591	0.00736695	0.0288769	0.0389335	0.0945999	0.102683	0.204595	0.0328358	0.191013	0.056136	0.202736
a	0.000106092	0.000170798	0.0017687	0.00369622	0.00585197	0.00457368	0.0170762	0.0132591	0.0143639	0.0365363	0.062554	0.160385	0.11817	0.0132408	0.102576	0.110666	0.335005
á	0.00013673	0.000149218	0.00140744	0.00368876	0.00769948	0.00863065	0.0216631	0.019183	0.0181028	0.0306404	0.0465365	0.15478	0.162019	0.00581349	0.0254532	0.0770285	0.417067
</S>	0.000462507	0.00109528	0.000869244	0.00168681	0.00710847	0.0260755	0.0145488	0.00622019	0.0192892	0.0579919	0.0423943	0.0316411	0.104385	0.106551	0.121919	0.0634642	0.394297
