 	les	jeunes	déracinent	l'	arbre	qui	est	au	coeur	du	vil-	lage	</S>
v	0.0115833	0.0124594	0.256831	0.177245	0.443943	0.0193819	0.0213432	0.00920596	0.0107596	0.0207557	0.00468467	0.00330481	0.00850264
ú	0.00267573	0.00268579	0.360128	0.144657	0.406701	0.00796764	0.0134542	0.00675954	0.0032841	0.0294165	0.0173437	0.000717797	0.0042089
a	0.0138697	0.00308107	0.209889	0.389316	0.266727	0.0520205	0.0246123	0.0142467	0.00906638	0.00630877	0.00475011	0.000944397	0.00516749
l	0.00122296	0.000427711	0.0345451	0.133115	0.321491	0.29719	0.11036	0.0514356	0.00906229	0.0130255	0.00621875	0.000509988	0.0213966
í	0.0261634	0.00326934	0.0342083	0.0849919	0.0522159	0.241835	0.125861	0.0580445	0.0276802	0.0409662	0.0191201	0.0040336	0.281611
í	0.0135538	0.00227627	0.0121574	0.0412187	0.136413	0.299964	0.173941	0.132967	0.0375038	0.0495829	0.0445045	0.0188967	0.0370209
d	0.00610044	0.00448468	0.0490428	0.0350684	0.0651446	0.136391	0.3241	0.133037	0.154277	0.0540331	0.0204347	0.00266186	0.0152229
i	0.0019873	0.000978041	0.0287059	0.0244541	0.0424917	0.21388	0.387713	0.0792909	0.0709192	0.0324742	0.00552735	0.000409048	0.11117
ó	0.000237862	7.64577e-05	0.00669609	0.0360433	0.181334	0.190155	0.214936	0.148701	0.148932	0.0448376	0.00950379	0.00486931	0.0136781
s	0.00243402	0.000728982	0.0125673	0.0120242	0.0169976	0.0158644	0.0876188	0.142847	0.435558	0.18288	0.0599764	0.0214965	0.00900604
w	0.00110857	0.00033677	0.00829996	0.00983458	0.00517626	0.0950585	0.0851342	0.0691657	0.584744	0.0659182	0.0355732	0.00255079	0.0370994
έ	0.00130674	0.000191889	0.0019073	0.0119935	0.00684197	0.203017	0.0662977	0.086315	0.385419	0.0690206	0.129419	0.0217231	0.0165462
b	2.2637e-05	1.27934e-05	0.00155966	0.00311677	0.0124612	0.0352833	0.11969	0.133093	0.313098	0.165319	0.0824965	0.00714533	0.126702
h	0.000116348	7.59087e-05	0.000438413	0.00302408	0.0374675	0.00816321	0.082671	0.131098	0.0452837	0.186957	0.427787	0.0132373	0.0636799
έ	0.000141007	4.82499e-05	0.000773514	0.00451513	0.030313	0.0104459	0.0489084	0.103494	0.0443918	0.195094	0.459934	0.0181261	0.0838152
y	0.000732001	8.67548e-05	0.00177983	0.00229888	0.00791043	0.0135842	0.0658759	0.121862	0.0352913	0.250834	0.240074	0.028686	0.230985
á	0.000824049	0.000201712	0.00349933	0.00956	0.00963176	0.0426341	0.0851751	0.111923	0.302563	0.152571	0.0911197	0.0251789	0.165118
p	0.00256101	0.000400185	0.0011702	0.00322873	0.00507973	0.0114878	0.0224853	0.0869177	0.0846699	0.12659	0.19704	0.401463	0.0569071
o	4.20436e-05	0.000174392	0.000185982	0.000571353	0.00163814	0.0014894	0.00780292	0.0131707	0.0651331	0.00644507	0.00916982	0.879683	0.0144938
o	8.22676e-05	4.49827e-05	0.000650252	0.000928026	0.00151974	0.00178252	0.0110546	0.038543	0.227574	0.0419252	0.0282716	0.622887	0.0247367
</S>	0.000414384	7.13249e-05	0.00151599	0.00250702	0.00619792	0.00605435	0.038639	0.173879	0.0375884	0.307367	0.163784	0.0237704	0.238211
