 	de	petits	enfants	acclamaient	le	grand	vol	de	termites	dans	la	cour	</S>
z	0.00213173	0.000218559	0.000441874	0.00247839	0.0168648	0.0361281	0.0326599	0.095004	0.604459	0.0585228	0.0100235	0.023325	0.117742
o	0.00120592	0.000252617	0.000619993	0.00225438	0.00438834	0.00923669	0.0047905	0.0489041	0.730132	0.0354647	0.00387641	0.010601	0.148273
y	0.00230124	0.000869788	0.000887009	0.00111508	0.0141236	0.0738126	0.00999139	0.242413	0.106621	0.293113	0.0628419	0.0136221	0.178289
a	0.0272669	0.00417467	0.00214219	0.0164084	0.0414799	0.0699867	0.0526094	0.109199	0.106465	0.235675	0.118205	0.131749	0.0846387
n	0.0139238	0.00119546	0.000740808	0.00442532	0.0150211	0.0338679	0.0177981	0.103923	0.0875892	0.167761	0.137776	0.299507	0.116473
d	0.0131955	0.00216886	0.001545	0.000128548	0.00265083	0.00741593	0.00465996	0.0354952	0.18682	0.0846756	0.0230749	0.58628	0.0518894
w	0.00200952	0.000440006	0.000542712	0.000126719	0.000504553	0.00145318	0.00100718	0.0124613	0.299138	0.0308076	0.019832	0.537435	0.0942416
ε	9.95705e-05	1.63456e-05	4.68861e-05	0.00016176	0.0010305	0.00341435	0.00408986	0.0113193	0.37939	0.026459	0.0176801	0.51015	0.0461416
n	0.000173087	3.081e-05	5.00449e-05	0.00023803	0.00426339	0.0226804	0.0104598	0.053248	0.290292	0.225854	0.0713883	0.163116	0.158206
g	0.000699693	0.000174075	9.93694e-05	0.000294388	0.00174707	0.0137503	0.00391795	0.0922612	0.283003	0.215274	0.119922	0.143584	0.125273
ε	0.00112949	0.000635246	0.00055795	0.000392091	0.00318562	0.00950711	0.00427939	0.0876998	0.561835	0.135492	0.0379289	0.0836164	0.0737406
ó	0.000487985	3.28941e-05	3.1791e-05	0.00011937	0.00209359	0.0159716	0.00222229	0.135561	0.0283904	0.255932	0.228303	0.0395531	0.291302
d	0.00221969	0.000151021	4.26025e-05	0.00262137	0.0305209	0.0396816	0.024436	0.0363113	0.00234231	0.156364	0.502333	0.102362	0.100614
z	0.000148213	9.99031e-06	1.64574e-05	0.000183217	0.00691113	0.0165536	0.0459165	0.0307435	0.00137669	0.132247	0.451003	0.108318	0.206573
a	0.000567528	0.000206053	0.000187853	0.000959053	0.0106824	0.0362655	0.0620738	0.0507451	0.0152007	0.0732004	0.237687	0.440039	0.0721858
n	0.00293273	0.000187605	7.6785e-05	0.00168723	0.00462219	0.02236	0.031977	0.0475589	0.0264056	0.164197	0.247671	0.176572	0.273752
g	0.000992234	0.000225743	0.000182823	0.000368925	0.00301008	0.00972787	0.00722131	0.0313661	0.0400577	0.105433	0.153987	0.49585	0.151577
é	0.000722577	0.000123569	0.00030379	9.85179e-05	0.000886524	0.00277949	0.00144503	0.0150098	0.110758	0.0285103	0.0179259	0.709994	0.111442
</S>	0.000217989	5.18992e-05	8.82608e-05	0.000864289	0.00581262	0.0248904	0.00641272	0.0676789	0.0225564	0.193418	0.190772	0.149389	0.337847
