 	la	manière	dont	il	s'	est	calmé	montre	qu'	il	s'	est	reconnait	son	tort	</S>
y	0.000561783	0.000473216	0.00280121	0.00346185	0.00919594	0.012859	0.00577349	0.00518586	0.00869458	0.00709773	0.0539612	0.124729	0.445199	0.144383	0.103177	0.0724464
é	3.23612e-05	0.000103119	0.000954045	0.000776511	0.00276513	0.00641815	0.000470604	0.00703876	0.0233094	0.0181189	0.109001	0.311724	0.203222	0.216653	0.0558885	0.0435248
b	2.6404e-05	0.000202937	0.0011761	0.000791656	0.00341595	0.00311675	0.000285814	0.00950733	0.0320063	0.0291819	0.0933901	0.229387	0.115848	0.31093	0.0261659	0.144569
h	6.86041e-05	0.000367625	0.00108696	0.00183124	0.00847138	0.00963409	0.00117919	0.0304072	0.0663281	0.0447997	0.11446	0.202565	0.167115	0.243956	0.016991	0.0907401
á	0.00240591	0.012032	0.0123002	0.00432134	0.0059613	0.00733167	0.0113096	0.0312835	0.0396265	0.0261466	0.0359882	0.0218416	0.104935	0.0608616	0.0282957	0.59536
n	0.00346907	0.0018105	0.00262641	0.00778389	0.0082199	0.00118605	0.000260097	0.0169358	0.0262622	0.0326461	0.0356482	0.0636172	0.127761	0.395946	0.113861	0.161966
d	0.00187698	0.000258584	0.00091686	0.000136219	0.000181339	2.78316e-05	1.5488e-05	0.000708994	0.000884678	0.000948137	0.00159617	0.00219865	0.00643158	0.00901696	0.955095	0.0197061
z	6.29075e-05	2.97878e-05	0.000486373	0.000109608	0.000280115	4.95697e-05	2.98575e-05	0.000406211	0.000412336	0.000429822	0.000997123	0.00144222	0.00304579	0.0108355	0.952408	0.0289749
ω	0.000564654	0.000129055	0.000910935	4.55379e-05	0.000151835	6.42259e-05	5.94538e-05	0.000664438	0.00149591	0.00195445	0.00250288	0.00498988	0.00301665	0.00905056	0.921233	0.0531662
ώ	6.16877e-05	0.000103222	0.000238298	0.000234536	0.000541882	0.000383748	0.000699871	0.00744755	0.0101184	0.011725	0.0127793	0.0181496	0.0327227	0.01911	0.581632	0.304052
y	0.00160506	9.28312e-05	0.000750507	0.000873016	0.00104298	0.000619194	0.00111046	0.00635236	0.00908817	0.00901245	0.0191155	0.0435497	0.0296747	0.125555	0.0840587	0.6675
á	0.0148006	0.0144883	0.0223684	0.00460706	0.00448211	0.00354205	0.00059274	0.0267314	0.0279825	0.0290329	0.0449592	0.1007	0.0641037	0.218291	0.31876	0.104558
w	0.00542961	0.0120616	0.017742	0.0282841	0.025612	0.00975715	0.000134422	0.0246165	0.0239766	0.0140145	0.0301784	0.0681055	0.031439	0.482199	0.136415	0.0900344
a	0.00111122	0.00257008	0.00199019	0.00355538	0.00387171	0.00287267	0.00282758	0.0131591	0.0144553	0.0164692	0.0238936	0.0377281	0.0692605	0.344467	0.191279	0.27049
</S>	0.000250461	0.000538824	0.000883348	0.00186127	0.00153348	0.00065521	0.000239125	0.00616543	0.00737206	0.0103132	0.0162637	0.0503645	0.07355	0.258702	0.119731	0.451576
