 	ces	gens	sont	en	train	de	s'	embrasser	car	ils	ne	se	sont	pas	vu	depuis	longtemps	</S>
s	0.00124818	0.000881006	0.00624446	0.00411065	0.000162342	0.00535183	0.00696063	0.0145011	0.0682653	0.00849695	0.173216	0.146004	0.0638396	0.192133	0.158474	0.0206191	0.0689521	0.0605392
í	0.000107413	0.00011067	0.000502205	0.00281942	0.000327341	0.00233436	0.00332163	0.00174018	0.0655725	0.0154385	0.0753588	0.121828	0.0779137	0.2374	0.279419	0.0405938	0.0427929	0.0324201
n	0.0011735	0.00100526	0.00402655	0.0306843	0.00753192	0.00277318	0.00586377	0.0016554	0.0424025	0.0628539	0.05356	0.101389	0.0813466	0.18659	0.278218	0.0225762	0.0318846	0.0844657
a	0.0190044	0.00149502	0.0158821	0.0376942	0.00603588	0.0183657	0.0181439	0.00483696	0.0913648	0.178427	0.060002	0.0508621	0.051077	0.0847807	0.0566917	0.0449072	0.0144108	0.246018
b	0.000298442	5.38309e-05	0.00392284	0.00438069	0.00010341	0.00313678	0.00547524	0.00215577	0.0264959	0.0194019	0.100221	0.108895	0.229512	0.188883	0.146742	0.110218	0.0204928	0.0296115
á	0.00502103	0.0164403	0.0405326	0.0680371	0.00201104	0.0116412	0.0098248	0.007227	0.0332263	0.0355252	0.0588136	0.138374	0.0818497	0.107025	0.206667	0.0342172	0.0978363	0.04573
a	0.0010355	0.00129379	0.00990309	0.0146591	0.00220238	0.00161528	0.00173612	0.000662162	0.00932755	0.0132684	0.0301928	0.052581	0.0581629	0.136398	0.217152	0.095295	0.240029	0.114486
á	0.000391351	0.000102385	0.00822945	0.00209681	3.58616e-05	0.00287349	0.0102907	0.00729127	0.00657412	0.00218242	0.0279592	0.0363742	0.0473743	0.0947546	0.300705	0.063458	0.164112	0.225194
m	0.000530712	0.000484553	0.00649722	0.00391257	0.00016994	0.0019658	0.00808189	0.00837981	0.00305179	0.000229733	0.00538974	0.00891433	0.00851914	0.0335559	0.213342	0.0450143	0.545176	0.106785
i	0.00059606	0.000261639	0.00613617	0.00674035	1.52607e-05	0.00176947	0.00466931	0.00414001	0.00833237	0.00089896	0.0206643	0.0397491	0.036313	0.0791084	0.0383876	0.180486	0.232743	0.338988
k	0.000895404	0.000354046	0.00231142	0.00161032	3.6638e-05	0.00113313	0.00648939	0.0191573	0.00509545	0.000243464	0.00756255	0.0155076	0.00801944	0.0420098	0.101726	0.0552513	0.2082	0.524396
á	7.56209e-06	9.05048e-05	0.000573729	0.000317795	2.2464e-05	0.000359533	0.0018302	0.00296042	0.0035914	9.42175e-05	0.0117018	0.0314647	0.0113674	0.08463	0.189039	0.0490964	0.33825	0.274603
n	0.000185652	9.96496e-05	0.000386684	0.00195115	0.000449642	0.000596066	0.000873768	0.000806253	0.00554617	0.000618752	0.0200416	0.0282382	0.0178647	0.0845924	0.353953	0.0862499	0.220632	0.176914
a	0.000359654	0.000312174	0.000425459	0.0011481	0.000271761	0.000834246	0.000962834	0.000465118	0.0179068	0.00984538	0.0164971	0.0318816	0.0168943	0.0680552	0.240567	0.141489	0.273563	0.178522
a	0.000397545	0.000129193	0.000507108	0.00133424	0.00032089	0.00084324	0.0008311	0.000240146	0.0158421	0.0121	0.0260779	0.0335283	0.0391954	0.0940829	0.112392	0.331195	0.113018	0.217965
</S>	0.00452096	0.000355734	0.00729452	0.00352165	4.17139e-05	0.00479293	0.0132488	0.00182094	0.0262675	0.0127695	0.01867	0.0227206	0.0351655	0.0421853	0.0673753	0.288821	0.171184	0.279244
