 	de	la	manière	dont	ils	ont	ensorcelé	mon	fils	ils	n'	ont	pitié	de	personne	</S>
ω	0.00052364	0.00112136	0.00287264	0.0137659	0.000542184	0.034265	0.860784	0.00731088	0.00151105	0.000474978	0.00933707	0.0211195	0.0051006	0.00230613	0.0032339	0.0357308
í	0.00326796	0.00613842	0.0129938	0.106588	0.00575445	0.0511652	0.613948	0.0161348	0.00884775	0.00503242	0.0149062	0.02077	0.0124485	0.0104526	0.00937922	0.102173
b	0.00340634	0.0105649	0.0224298	0.259423	0.279079	0.100125	0.0480216	0.167576	0.0269888	0.0369546	0.0106689	0.00433564	0.0107299	0.00573971	0.000847417	0.0131096
á	0.00154387	0.00402203	0.000929814	0.0172911	0.276225	0.0277599	0.00788432	0.0097391	0.0148861	0.615858	0.00669899	0.0012184	0.00365152	0.0031466	0.00457028	0.00457471
a	0.00220714	0.00332684	0.000745591	0.022542	0.19456	0.0290345	0.00118248	0.00787109	0.058541	0.634455	0.0103712	0.0015395	0.00345748	0.00461346	0.0103061	0.0152467
n	0.00100691	0.00198723	0.00214717	0.0214649	0.135107	0.223064	0.305636	0.04787	0.0855493	0.0903443	0.0343969	0.0157507	0.00500167	0.00295313	0.00501026	0.022711
g	0.00328288	0.00805124	0.00651445	0.0811915	0.0460857	0.0730321	0.0996872	0.452812	0.13073	0.00549629	0.00447024	0.00267548	0.0478161	0.0114032	0.00493448	0.0218172
á	0.00202397	0.0051527	0.0140209	0.1086	0.0512594	0.0690106	0.350032	0.267028	0.0362857	0.0124	0.00566367	0.00508997	0.0469346	0.010052	0.00425661	0.0121891
m	0.00108977	0.00138531	0.00145357	0.0530184	0.0648264	0.135404	0.0467995	0.355291	0.0451524	0.0593373	0.132847	0.0268227	0.0204566	0.0250635	0.00609233	0.0249607
w	0.00147804	0.0018872	0.00013616	0.00215171	0.0338476	0.0341017	0.000505339	0.0350944	0.858034	0.0133491	0.00864855	0.00116469	0.000396545	0.000756044	0.000572895	0.00787582
á	6.21923e-05	0.000183661	5.45621e-05	0.000538535	0.0117595	0.00597193	0.000282957	0.000968672	0.940603	0.0373437	0.000992064	0.000136224	6.90837e-05	2.91643e-05	0.000317347	0.000687439
n	0.000308625	0.000245267	0.000194415	0.0069056	0.187223	0.002875	0.000142565	0.0208909	0.561861	0.21559	0.000890461	0.000147568	0.00093652	0.000660258	0.000164058	0.000964766
a	0.00182944	0.00186072	0.000267731	0.00400668	0.14355	0.032355	0.000408891	0.0256339	0.713409	0.0701484	0.00105868	0.000206778	0.000547935	0.000702898	0.000316569	0.00369722
á	0.00146458	0.00126522	0.00135018	0.0423273	0.012005	0.0976568	0.0213122	0.281425	0.0214844	0.105649	0.27993	0.0412081	0.0307232	0.053135	0.00362381	0.0054403
d	0.000940284	0.00203073	0.00122343	0.00304214	0.00172456	0.0460233	0.101895	0.0522242	0.00656139	0.00778466	0.430778	0.274498	0.0288393	0.0216088	0.00533686	0.0154895
í	0.000357867	0.00334337	0.0017727	0.00117399	0.00218265	0.0242028	0.1294	0.0398557	0.0061481	0.00190654	0.165404	0.374283	0.0437895	0.00848822	0.00399368	0.193697
n	0.000812982	0.00714172	0.00255709	0.00263386	0.0127818	0.0105818	0.0104134	0.0899814	0.00362022	0.00959605	0.109536	0.213221	0.330558	0.125545	0.0110032	0.0600163
y	0.000732486	0.00531899	0.0065217	0.00823212	0.00840318	0.00432384	0.00218043	0.318794	0.0109479	0.00208402	0.0231874	0.0311523	0.478461	0.0803611	0.00414572	0.0151539
i	0.00020269	0.00141583	0.00206457	0.00193562	0.00112521	0.00129864	0.00104651	0.118591	0.00469054	0.000422199	0.0167445	0.0559151	0.726222	0.0547391	0.0041863	0.00940038
n	1.87009e-05	0.000109245	0.000159821	0.000302657	0.000128837	0.00186532	0.00277207	0.00636249	0.00113004	0.0010146	0.0532626	0.247208	0.444313	0.102484	0.0628607	0.0760076
g	0.000882374	0.00419524	0.00235119	0.00203846	0.00113374	0.00654515	0.00260609	0.0247101	0.00412633	0.00349423	0.0868318	0.239279	0.262668	0.0788767	0.105883	0.174378
a	0.000653711	0.00212139	0.00216216	0.00489673	0.00247147	0.00742552	0.00598729	0.0134589	0.00585301	0.0105923	0.0551036	0.087845	0.253397	0.129627	0.143631	0.274774
y	0.000280173	0.000425156	0.000600476	0.00455314	0.00429244	0.00435085	0.000578892	0.0546488	0.000736553	0.00438543	0.0498353	0.0660589	0.328151	0.325385	0.0424853	0.113233
á	0.00404275	0.0161181	0.0152681	0.0188817	0.00124358	0.00667573	0.00291651	0.0778562	0.00024304	0.00056195	0.0442862	0.139796	0.285895	0.236657	0.0911011	0.0584568
b	0.00272371	0.00433805	0.00456075	0.0200393	0.0169983	0.00467	0.00150162	0.167179	0.00099439	0.00358264	0.0223478	0.0384612	0.17808	0.248307	0.233883	0.0523335
a	0.000273724	0.00216634	0.000320216	0.000899566	0.0172928	0.00253722	0.00034374	0.023005	0.000997423	0.0458282	0.030374	0.0364985	0.104634	0.102457	0.60213	0.0302425
r	0.000155354	0.00112042	0.000274323	0.000598082	0.0186284	0.00237121	0.000774959	0.0116526	0.00413969	0.0355892	0.0389822	0.0330722	0.028688	0.0765377	0.492224	0.255192
e	0.000515623	0.000564909	6.87247e-05	0.000452381	0.000223619	0.00105796	0.000767635	0.00258447	0.000817352	0.00065151	0.0152904	0.0998123	0.20915	0.173167	0.254273	0.240603
k	0.000350664	0.00031654	0.000331825	0.00124976	0.000767583	0.0025533	0.000942616	0.00949397	0.000644125	0.00184712	0.0534173	0.112573	0.127728	0.203003	0.146212	0.33857
a	0.00108307	0.00412247	0.00231515	0.00509052	0.00469198	0.00323171	0.00105677	0.0125546	8.91474e-05	0.00510643	0.0563844	0.10373	0.191995	0.281521	0.128033	0.198995
á	0.000140791	0.00113398	0.00101726	0.00174145	0.00493532	0.0014215	0.00168432	0.00790011	0.000763471	0.00605457	0.0218839	0.0357538	0.0274821	0.0827968	0.180728	0.624563
</S>	0.000837484	0.00109242	0.000647426	0.00768352	0.00632419	0.0226533	0.0148877	0.0178682	0.000805558	0.00437371	0.0333109	0.0572207	0.110247	0.0671422	0.0423251	0.61258
