 	le	féticheur	lui	a	attaché	une	amulette	pour	le	protéger	contre	les	sorciers	</S>
ó	0.000107278	4.96383e-05	0.000503242	0.002003	0.063893	0.173976	0.694545	0.0103943	0.0280177	0.00924473	0.0100516	0.00236469	0.00216809	0.00268188
r	0.00026334	4.47786e-05	0.00882185	0.0103322	0.122055	0.221849	0.541324	0.0166246	0.0279431	0.0112483	0.0123993	0.00715261	0.00324482	0.0166966
ó	0.00149202	4.41771e-05	0.00188724	0.00925648	0.267819	0.340363	0.268475	0.014578	0.0138402	0.00884684	0.0119597	0.0027095	0.00327423	0.0554548
m	0.005435	7.85068e-05	0.00883755	0.0103248	0.0370219	0.178056	0.265449	0.230607	0.113593	0.0793288	0.0345889	0.0117897	0.0033856	0.0215036
í	0.012703	0.000132512	0.00218709	0.00196316	0.0020504	0.0399166	0.198536	0.319635	0.294037	0.0721521	0.0353559	0.00941853	0.000190834	0.0117221
b	0.00227408	0.000224102	0.00592617	0.0052353	0.0020978	0.0109995	0.0935223	0.193265	0.340468	0.228043	0.082198	0.0174923	0.00767126	0.0105825
h	0.00115357	0.000353393	0.0031541	0.00250333	0.00110252	0.00785837	0.399583	0.0985722	0.301516	0.0940178	0.0713484	0.0116703	0.00249485	0.00467233
í	0.000489219	1.20678e-05	0.00188177	0.0013452	0.00108107	0.00912265	0.337632	0.115893	0.327822	0.113967	0.0658526	0.00747359	0.00131863	0.0161094
s	9.96737e-05	1.74172e-06	0.000455343	0.00068907	0.00239978	0.019587	0.274173	0.134384	0.376437	0.120541	0.0432736	0.0109372	0.00115367	0.015868
a	0.00105431	2.49264e-05	0.000476472	0.00086426	0.019129	0.0296507	0.261476	0.142364	0.242186	0.114443	0.0796512	0.00971174	0.00783994	0.091129
l	0.00102509	3.71781e-06	0.00197641	0.00208376	0.00221211	0.0093309	0.0275152	0.217835	0.256972	0.247629	0.121996	0.0698874	0.00633774	0.0351957
á	0.00730596	7.62311e-05	0.00365536	0.00783699	0.00608474	0.0123348	0.0272583	0.088981	0.104739	0.298384	0.185564	0.0507331	0.0080795	0.198967
w	0.00341589	0.000640009	0.0163945	0.00984498	0.00271177	0.00557643	0.00925276	0.110642	0.148876	0.295778	0.19731	0.0635193	0.0900906	0.0459471
a	0.00427256	0.000224662	0.00744052	0.00551604	0.00249336	0.00858307	0.0185505	0.107482	0.199485	0.266313	0.181984	0.108121	0.0118523	0.0776819
l	0.000190633	8.68778e-06	0.000347958	0.000542331	0.000937905	0.00164188	0.0103949	0.0718794	0.155798	0.21081	0.230695	0.149233	0.0996582	0.0678622
a	0.00173003	5.99659e-05	0.00338614	0.00945177	0.00568244	0.00581798	0.0171622	0.0367668	0.0580069	0.169448	0.231273	0.120415	0.115024	0.225776
l	0.000294007	2.80943e-05	0.00290295	0.00231116	0.00169973	0.00240342	0.0060702	0.0370015	0.0734241	0.144224	0.215474	0.156306	0.255165	0.102697
ω	0.000830736	5.02615e-05	0.00293123	0.00834633	0.00465289	0.00371697	0.0120463	0.0183878	0.0351278	0.109209	0.213657	0.0803822	0.336975	0.173686
i	0.000115801	1.85659e-05	0.000575292	0.00111641	0.000904214	0.00119162	0.00471941	0.00515444	0.0132334	0.0158517	0.0404372	0.0275359	0.800302	0.0888442
</S>	6.05986e-05	1.70529e-06	0.000289663	0.000497438	0.00108881	0.00101301	0.0023563	0.0114849	0.0149753	0.023408	0.0756021	0.206386	0.185162	0.477674
