 	je	ne	peux	pas	te	montrer	l'	endroit	où	je	garde	mon	argent	</S>
á	0.00644029	0.00619743	0.00103054	0.0101482	0.0155531	0.0184972	0.0212364	0.0305991	0.1762	0.440341	0.0199283	0.042533	0.0119722	0.199323
n	0.001665	0.00447733	0.00117213	0.017168	0.0238676	0.00564023	0.0177888	0.0389729	0.107955	0.460685	0.0855353	0.145685	0.0681072	0.0212801
g	0.0106886	0.00012876	4.454e-05	0.000390523	0.00147657	0.000535125	0.00198999	0.00303785	0.0179116	0.912134	0.00164686	0.0368315	0.0107275	0.00245628
á	0.00137983	0.000177933	6.02878e-05	0.000322884	0.00128222	0.000542103	0.0030506	0.0052594	0.0343388	0.893475	0.00731222	0.0300091	0.0194726	0.00331658
l	0.000163737	0.000824256	0.000625386	0.00512682	0.00741169	0.00531408	0.0256025	0.0728307	0.188116	0.269073	0.169695	0.183904	0.0374582	0.0338547
á	0.00362648	0.0056405	0.00166713	0.00828623	0.00795268	0.0129129	0.0109856	0.0153956	0.0791529	0.467249	0.133159	0.0501081	0.0366427	0.167222
m	0.000334421	0.00394266	0.00109685	0.0128539	0.0142371	0.00598895	0.0145718	0.0259192	0.0699308	0.194775	0.191554	0.215345	0.176371	0.0730785
b	0.000113818	0.00245425	0.000128244	0.00281426	0.00795156	0.00399959	0.00349695	0.00479817	0.00614407	0.028575	0.0928052	0.18018	0.644171	0.0223678
ώ	1.03731e-05	8.73888e-05	2.82557e-05	0.000374613	0.00226423	0.00279985	0.00181775	0.00457003	0.00508569	0.00892492	0.113003	0.0613706	0.773873	0.02579
n	2.40758e-06	5.48844e-05	0.000188072	0.000333427	0.00183058	0.000820313	0.00373064	0.0109474	0.0147785	0.0189288	0.0814386	0.131256	0.724049	0.0116414
g	4.64721e-05	0.000675492	0.0018244	0.00351013	0.00680557	0.00647743	0.0132985	0.0316668	0.0595961	0.106458	0.38735	0.0889313	0.11523	0.17813
ω	7.63093e-05	9.43976e-05	0.000123445	0.00125786	0.00559085	0.00415879	0.0308954	0.0646335	0.0671352	0.0761909	0.171553	0.192268	0.29064	0.0953817
l	0.000134472	0.00133996	0.000887613	0.00715178	0.00879186	0.00332325	0.0176755	0.0283345	0.0630141	0.0664171	0.178785	0.21123	0.0254869	0.387429
a	0.00171575	0.00498033	0.00124259	0.0140833	0.0102911	0.00981965	0.0182045	0.0163879	0.0432957	0.16152	0.089373	0.150466	0.062603	0.416018
n	0.000290874	0.000945984	0.000270394	0.0056216	0.00488168	0.00157596	0.00740642	0.0100752	0.0232447	0.127007	0.0394002	0.522737	0.0773918	0.179152
ω	0.00441765	0.00027835	9.41638e-05	0.0010764	0.00312227	0.00126244	0.00312849	0.0037451	0.0150172	0.576268	0.00795233	0.266311	0.0697751	0.047552
k	0.00116919	0.000293908	2.057e-05	0.000338471	0.00062515	0.000598741	0.00132654	0.00218647	0.0157157	0.221708	0.0156777	0.263992	0.135168	0.34118
a	0.000138825	0.00158424	0.00846506	0.0123822	0.00892511	0.00152698	0.0169509	0.0232073	0.0223992	0.0188935	0.34143	0.190652	0.0425716	0.310872
á	0.000140067	0.000551974	0.0013133	0.00227616	0.00125507	0.000788326	0.0028458	0.00669834	0.0189897	0.029117	0.210458	0.0981029	0.0660067	0.561457
</S>	0.000572956	0.00241587	0.0011977	0.00594695	0.00559306	0.0053953	0.00517706	0.00549821	0.0138196	0.0600633	0.0173555	0.193518	0.026737	0.65671
