 	nyasoni	a	du	mal	à	préparer	pour	son	mari	car	celui-ci	n'	aime	pas	manger	certains	repas	</S>
t	8.2275e-06	0.000328161	0.00237551	0.00280699	0.00878941	0.0200253	0.124454	0.127575	0.0554027	0.279566	0.198168	0.0580055	0.0584804	0.024049	0.0106665	0.00323765	0.00426881	0.0217928
s	0.000311533	0.000708345	0.00549537	0.00678071	0.00594847	0.0165804	0.0668419	0.131335	0.0256201	0.138696	0.215033	0.049578	0.211767	0.0642047	0.0173385	0.00276516	0.00891768	0.0320793
í	1.00478e-05	0.000120013	0.0018873	0.00195858	0.00248742	0.0179398	0.0636132	0.0551879	0.0512372	0.127188	0.359406	0.0381488	0.133952	0.0397949	0.0177204	0.00437156	0.0244082	0.0605674
n	0.00105214	0.00100469	0.00499366	0.0091343	0.0091012	0.0327784	0.114324	0.120205	0.143019	0.0807908	0.257307	0.01301	0.0627111	0.0114494	0.00717683	0.00254363	0.0109064	0.118494
a	0.00945526	0.00299953	0.0149113	0.0315872	0.0180639	0.0156267	0.116339	0.186101	0.0391527	0.033864	0.0386669	0.0200228	0.00684751	0.0148651	0.00710027	0.0561348	0.0391009	0.349161
w	2.65811e-06	0.000452127	0.00200352	0.00254951	0.00436467	0.0062798	0.0482124	0.144375	0.0302994	0.284458	0.0997652	0.15578	0.0734884	0.0618804	0.0383821	0.0109633	0.00431642	0.032427
á	0.000529915	0.00161751	0.0102284	0.0154704	0.0124062	0.00958641	0.0943902	0.172154	0.00738938	0.168303	0.0998146	0.0834333	0.0532424	0.11151	0.0171885	0.0366573	0.0354793	0.0705986
o	0.000116302	0.000465877	0.00132458	0.00174723	0.00140928	0.00257228	0.0100882	0.0321119	0.00742471	0.127989	0.164135	0.0710965	0.297476	0.0944732	0.0496247	0.0147247	0.0189427	0.104278
l	3.83689e-05	0.00127861	0.00218921	0.00111148	0.00242159	0.009444	0.00829153	0.00961069	0.053408	0.142912	0.163361	0.0932262	0.309919	0.0611366	0.087371	0.00781122	0.00738017	0.0390893
ó	0.00028587	0.00504432	0.0134138	0.0055649	0.00988937	0.0253607	0.00994436	0.0214639	0.148283	0.046382	0.0581181	0.0696554	0.297008	0.0280307	0.160298	0.00908145	0.0143268	0.0778486
m	0.000138187	0.000602782	0.00515208	0.00389307	0.00264747	0.004605	0.00986609	0.0584019	0.150067	0.0566303	0.0661941	0.0781985	0.280443	0.0650514	0.121664	0.00776611	0.0083845	0.0802945
i	1.76294e-06	0.000199502	0.00180418	0.000665811	0.00158541	0.00383773	0.00793526	0.0114522	0.00914837	0.0913301	0.122034	0.0944091	0.295318	0.0917264	0.125885	0.00855963	0.00894721	0.125161
a	2.57019e-06	0.000153649	0.000843603	0.000723444	0.001721	0.00198722	0.0116759	0.0163986	0.00131644	0.131523	0.0923749	0.129613	0.137951	0.201097	0.0703265	0.053162	0.0461314	0.102999
d	2.07681e-05	0.000750482	0.00197167	0.00142857	0.00506275	0.0053334	0.0138358	0.00884635	0.00332887	0.0709785	0.0256845	0.121581	0.0895527	0.132922	0.119718	0.163413	0.0600056	0.175567
í	9.28802e-06	0.000436346	0.00165114	0.000521541	0.0025656	0.00392818	0.00333217	0.00433843	0.00211795	0.0211846	0.0100268	0.112294	0.106494	0.0485899	0.203293	0.0555779	0.0191725	0.404467
l	2.2825e-06	5.95753e-05	0.000325438	0.000313055	0.000770285	0.000562901	0.0037119	0.00755226	0.000442753	0.0318621	0.0160303	0.108648	0.189388	0.124563	0.183579	0.0719728	0.0232642	0.236953
i	2.39858e-05	0.000216245	0.000701236	0.000348489	0.00184871	0.00288162	0.0074149	0.00633382	0.00164838	0.0365016	0.0130268	0.0834013	0.0834099	0.104157	0.142499	0.129564	0.0361198	0.349903
m	2.11601e-05	0.00013557	0.000836031	0.000659509	0.000685883	0.00170244	0.00297342	0.0059559	0.00255783	0.0227027	0.0207391	0.0417087	0.150601	0.0995773	0.156542	0.111939	0.172347	0.208315
ω	2.3179e-05	0.000260844	0.00135787	0.00160393	0.00260148	0.00385754	0.00258658	0.00823724	0.00352714	0.00919467	0.00330548	0.0331427	0.0150876	0.0333318	0.162877	0.353693	0.273112	0.0921993
n	1.02455e-06	9.05563e-05	0.000449053	0.000299031	0.000896235	0.00219435	0.0025504	0.00307808	0.00273655	0.0298592	0.0272498	0.0425492	0.144311	0.109563	0.176889	0.089998	0.12981	0.237476
í	1.53807e-05	0.000353889	0.0019894	0.00319801	0.00171086	0.00312679	0.00708502	0.00556326	0.00856158	0.0452096	0.0489599	0.0617055	0.103247	0.19294	0.111926	0.198049	0.130079	0.0762805
s	7.63795e-06	3.70121e-05	0.000230775	0.000416938	0.000645973	0.0011777	0.00315111	0.0027689	0.000499943	0.0190071	0.0064259	0.0371468	0.0443337	0.0650426	0.0703875	0.314981	0.0807523	0.352988
í	8.07385e-05	0.000430085	0.00510705	0.00380716	0.00407231	0.00995268	0.00747523	0.0127294	0.00548148	0.0134344	0.00887641	0.0485829	0.0693233	0.0524434	0.131499	0.233322	0.0959673	0.297415
d	0.000141902	0.000109595	0.000685748	0.00149905	0.0010927	0.00100499	0.00306547	0.0121488	0.00102759	0.00720857	0.00114053	0.036961	0.0473011	0.057283	0.15059	0.284643	0.163149	0.230948
z	9.71974e-05	0.000426769	0.00234494	0.00247719	0.00330354	0.00642117	0.00371702	0.00618293	0.00173107	0.00249554	0.000809878	0.0243214	0.0340343	0.0183912	0.11722	0.174927	0.194652	0.406447
á	0.000191007	0.000340684	0.00159121	0.00172546	0.00309571	0.00939979	0.0025421	0.00832966	0.00331571	0.00565617	0.0013971	0.0357976	0.0774589	0.0260248	0.410539	0.0966048	0.125598	0.190392
a	5.38172e-06	3.58555e-05	0.000196781	0.000274693	0.000357474	0.000987107	0.00152243	0.0038857	0.000765548	0.0156678	0.00950004	0.0283858	0.174931	0.069163	0.238803	0.0579233	0.10486	0.292736
</S>	9.20809e-06	0.000446606	0.00111502	0.000950041	0.00237416	0.00154713	0.00455007	0.00254351	0.00124956	0.0150895	0.00517243	0.0308035	0.0134271	0.0521208	0.0813951	0.321538	0.073428	0.39224
