 	retire	l'	aiguillon	de	l'	abeille	qui	est	enfoncé	dans	mon	bras	</S>
á	0.000535726	0.0192297	0.0835325	0.324289	0.161858	0.181649	0.117125	0.0194799	0.045666	0.0269359	0.00739745	0.000868984	0.0114328
n	0.00344434	0.0205932	0.14542	0.247489	0.186511	0.237051	0.0342783	0.0304335	0.0545059	0.0231905	0.00512137	0.00590502	0.0060562
d	0.00525826	0.0552738	0.0609443	0.10126	0.196466	0.294612	0.0788854	0.00235115	0.00863059	0.00458547	0.163817	0.00889625	0.0190189
z	0.000882566	0.015533	0.211332	0.129277	0.107412	0.435043	0.0282584	0.0042897	0.0122955	0.00363542	0.0240997	0.00228027	0.0256608
ú	0.000723001	0.00338962	0.358984	0.0889105	0.0745448	0.350348	0.0276392	0.00503845	0.0516349	0.0091723	0.00230047	0.00154246	0.0257725
e	0.00494379	0.00391215	0.19569	0.0933346	0.0764749	0.11224	0.0644671	0.0220528	0.23299	0.057139	0.00293337	0.00553948	0.128283
m	6.43398e-05	0.00163957	0.00865596	0.262849	0.131902	0.0155299	0.201448	0.155077	0.133487	0.0552892	0.00284447	0.00501766	0.0261962
ó	0.000129372	0.00377519	0.00630133	0.142194	0.0807296	0.0707445	0.151246	0.176735	0.15377	0.119735	0.00979907	0.00715603	0.0776859
ó	0.00273356	0.00703517	0.00966147	0.100293	0.117261	0.0219909	0.0817652	0.121109	0.246142	0.134213	0.0067084	0.126113	0.024972
d	0.00959805	0.0215854	0.00388438	0.0228721	0.0340982	0.00708627	0.0347527	0.154894	0.352993	0.234524	0.00821092	0.102008	0.0134937
i	0.000671373	0.010304	0.000681857	0.0258243	0.0668828	0.0215586	0.0302018	0.132826	0.297647	0.208051	0.00296492	0.00987056	0.192516
n	0.000156308	0.00188557	0.000439105	0.0438663	0.0544127	0.0107661	0.0291497	0.158469	0.454564	0.210903	0.00231368	0.00332782	0.0297477
g	0.000111864	0.00163488	0.00152821	0.0304828	0.0860078	0.0627167	0.0669659	0.0794773	0.273531	0.210642	0.050919	0.0199711	0.116012
á	8.55576e-05	0.00184539	0.00623298	0.0537219	0.162443	0.0793616	0.106413	0.0382416	0.230128	0.0703306	0.0994141	0.0605157	0.0912658
m	3.59681e-05	0.000901471	0.00153617	0.0170607	0.031905	0.00949924	0.0548836	0.102447	0.16337	0.312293	0.190003	0.0422312	0.0738336
ó	9.77591e-06	0.00107286	0.000235027	0.018182	0.0274571	0.00636918	0.0564724	0.140539	0.135523	0.166076	0.0383731	0.0713848	0.338306
ε	0.000332326	0.00241849	0.00102285	0.0190656	0.0219851	0.00565498	0.0368684	0.0606912	0.0788314	0.127613	0.0302639	0.447963	0.16729
b	0.000524567	0.00145856	0.00454484	0.00682576	0.00528158	0.0011382	0.00625129	0.0412763	0.114857	0.134729	0.00564497	0.298526	0.378943
ώ	0.000796322	0.0039037	0.001883	0.0239021	0.0140428	0.00120702	0.00368166	0.0188947	0.0479662	0.0940226	0.00295072	0.74756	0.0391893
ω	0.000191302	9.88091e-05	0.00144125	0.00363746	0.00471215	0.00124705	0.00207005	0.00423104	0.0192111	0.0294686	0.00308982	0.794822	0.135779
m	0.000171414	0.00339446	0.00123566	0.0118395	0.0120749	0.00317621	0.018393	0.0306024	0.0530143	0.126106	0.379683	0.0710728	0.289237
ú	0.000106309	0.00951628	0.00262197	0.0815783	0.0334358	0.00912722	0.0928472	0.0801202	0.11119	0.148675	0.160233	0.0494117	0.221137
</S>	0.000233516	0.00480073	0.000396984	0.0351747	0.0431594	0.0261851	0.0614692	0.0969265	0.131581	0.19095	0.0436883	0.00875242	0.356683
