 	celui	qui	s'	embourbe	à	cet	endroit	n'	arrivera	pas	à	brazaville	aujourd'	hui	</S>
l	1.92361e-05	4.01017e-05	0.000104245	5.94472e-05	0.00265005	0.015182	0.0340395	0.0418083	0.0797328	0.126471	0.0849602	0.577116	0.00857249	0.000228177	0.0290165
έ	6.52232e-06	2.38741e-05	0.000134318	0.000175207	0.00133043	0.00451145	0.0212181	0.0505737	0.392531	0.311155	0.0981099	0.0527325	0.0430098	0.00530469	0.0191836
o	0.000130126	0.000559598	0.00196368	0.000603787	0.0167133	0.0237044	0.0989128	0.122027	0.0947275	0.133537	0.279303	0.0693862	0.125038	0.00924305	0.0241512
p	0.000218519	0.001275	0.0031808	0.00522604	0.0112447	0.0316227	0.0427682	0.118878	0.24708	0.0859332	0.127796	0.127276	0.0811523	0.0789052	0.0374435
f	4.75317e-05	0.000243497	0.00163952	0.00849035	0.000979577	0.00302453	0.00746085	0.0415171	0.586758	0.103203	0.0490508	0.0663928	0.0311108	0.0567575	0.0433243
a	8.82195e-05	0.000368918	0.00289584	0.00986992	0.00139824	0.00547773	0.01216	0.0544739	0.565755	0.105636	0.0667137	0.0314465	0.0313021	0.0559907	0.0564236
p	0.000116501	0.000175466	0.000965525	0.00146499	0.00325466	0.00465635	0.0220657	0.044053	0.277775	0.127561	0.126242	0.0702453	0.0837074	0.0944726	0.143244
á	0.000268042	0.000167619	0.000458509	0.00232533	0.0010739	0.00134081	0.00422792	0.017266	0.130882	0.192434	0.106213	0.0285121	0.122129	0.318459	0.0742425
b	0.000132346	5.49676e-05	0.000155549	0.000416478	0.00191819	0.00188269	0.00447561	0.0130488	0.0474223	0.0881415	0.0957956	0.0204357	0.150056	0.484063	0.0920007
h	9.03867e-05	4.29232e-05	0.000116749	0.000717245	0.000644021	0.000385341	0.00126082	0.0026502	0.00426379	0.0166422	0.0694363	0.00811643	0.137541	0.670418	0.0876753
a	0.000315382	7.83173e-05	0.000202374	0.00350816	0.00139765	0.0018871	0.004483	0.00480459	0.0161198	0.0369931	0.0871923	0.0267965	0.103779	0.561523	0.15092
k	8.52175e-05	0.000133039	0.000605172	0.000785471	0.00248664	0.0023171	0.00942558	0.0117983	0.0234203	0.0394286	0.0906077	0.0310632	0.169599	0.339014	0.27923
a	0.00060359	0.000466749	0.001608	0.0010399	0.00344227	0.00186523	0.00794371	0.00931049	0.0265596	0.0662166	0.0936097	0.00743092	0.192513	0.404288	0.183102
á	0.000298916	0.000200973	0.000587465	0.000606677	0.00205573	0.00126761	0.0046581	0.00550006	0.0136367	0.0247441	0.0751742	0.0122188	0.104709	0.280729	0.473613
</S>	0.000289355	0.000576589	0.00254551	0.00244059	0.00745405	0.00563251	0.0111642	0.0118508	0.00690175	0.00725288	0.0300515	0.00133478	0.111111	0.164055	0.63734
