 	les	petits	enfants	sont	en	train	d'	allumer	le	feu	dans	la	forêt	il	faut	les	blâmer	</S>
r	0.000790472	0.000484767	0.000425715	0.00556588	0.00647722	0.00125181	0.0202434	0.877843	0.0436215	0.00289329	0.00298043	0.00528225	0.010454	0.00221376	0.0052968	0.00505944	0.000120542	0.00899589
á	0.00712101	0.00701207	0.00356795	0.0322233	0.0465546	0.00165693	0.146115	0.131498	0.227784	0.054757	0.102345	0.107894	0.024354	0.0267435	0.0105832	0.0240922	0.00297106	0.042728
m	0.00181856	0.0042682	0.00334311	0.0127468	0.0125249	0.00203093	0.10374	0.148661	0.337774	0.101616	0.117694	0.0546248	0.0428814	0.0191096	0.0123205	0.0140977	0.00727114	0.00347744
í	0.00264324	0.00595661	0.000296667	0.00284879	0.0060843	0.000200914	0.015664	0.00301044	0.0544909	0.684772	0.132284	0.0394447	0.00155	0.00765986	0.0020068	0.00741683	0.010196	0.023474
á	0.00950734	0.0132615	0.00252868	0.0090618	0.00657657	0.000928224	0.0180491	0.0308939	0.139539	0.325975	0.12178	0.0778849	0.0756714	0.0316003	0.0444133	0.028634	0.0496584	0.0140363
s	0.00157418	0.000715474	0.00088569	0.00313067	0.00170575	0.000251604	0.0112151	0.00860119	0.114502	0.188983	0.208009	0.155667	0.0784604	0.0571103	0.0765768	0.051632	0.0143592	0.0266205
á	0.00338906	0.00119058	0.000176336	0.00323092	0.00107634	1.66635e-05	0.00323878	0.0318801	0.133817	0.128028	0.190451	0.170462	0.0606584	0.0676245	0.0361053	0.0666543	0.0257598	0.076241
k	0.00305535	0.00229014	0.000453384	0.00144936	0.00127042	0.000311668	0.00217267	0.00714155	0.0363561	0.0348771	0.0810989	0.129448	0.140823	0.1768	0.102699	0.13347	0.102643	0.0436408
ώ	0.000463714	0.000256814	0.000264363	0.000219838	0.000592746	0.000256739	0.000296563	0.0362724	0.00764825	0.00116028	0.00768784	0.041353	0.424167	0.0803386	0.257305	0.112764	0.0114618	0.0174911
k	0.000272471	0.000321441	0.000123718	9.48279e-05	0.00126017	0.013099	0.0004473	0.00939476	0.00588955	0.00120001	0.00986052	0.0330712	0.271271	0.101929	0.296877	0.129059	0.0872287	0.0386003
á	0.00247891	0.00113628	0.000785507	0.000646467	0.00180209	0.000603391	0.0011228	0.00130794	0.00458788	0.000402502	0.0066103	0.0394844	0.218745	0.194914	0.396814	0.0834047	0.00475154	0.0404018
a	0.00120571	0.000889611	0.000619647	0.00148923	0.0024292	0.00144057	0.0021051	0.0109431	0.00817883	0.00369144	0.0157671	0.0430774	0.0907448	0.228684	0.215687	0.133599	0.0227332	0.216715
b	0.000571242	0.000221244	0.000200677	0.00160878	0.00147143	0.000260832	0.00407198	0.000804557	0.0148584	0.0123879	0.0295118	0.0415985	0.0181344	0.109402	0.187355	0.315846	0.0785179	0.183178
á	0.000687732	0.000923854	0.000843256	0.00345657	0.0102078	0.00237362	0.00187088	0.000796835	0.0057585	0.000796149	0.00604577	0.0189355	0.033025	0.0775039	0.491153	0.22572	0.0521194	0.0677824
n	0.00126889	0.00225781	0.000704641	0.00222075	0.00643536	0.00381088	0.000722758	0.000427808	0.00275332	0.00161868	0.0114029	0.0321741	0.0318389	0.108627	0.240966	0.173292	0.186762	0.192717
g	0.0107354	0.00649299	0.00307712	0.00257666	0.00144145	0.000103989	0.000875166	0.000177748	0.00401966	0.0110482	0.0438744	0.106819	0.0203446	0.105323	0.119275	0.0721041	0.352541	0.139171
a	0.00449	0.00802551	0.008106	0.00294174	0.00199638	0.000429439	0.000820683	0.000283099	0.00959649	0.020041	0.0343817	0.0478918	0.0191125	0.0293663	0.0329274	0.0300416	0.608104	0.141445
l	0.000506977	0.00024954	0.000172652	0.00078034	0.000807059	0.00019045	0.0020983	0.00070741	0.0116578	0.00442213	0.0229564	0.0455126	0.0310253	0.144298	0.145688	0.215307	0.119949	0.253671
á	0.00284205	0.00203469	0.000159594	0.00268325	0.00171155	6.41572e-05	0.00192544	0.00122812	0.0132321	0.0131725	0.0266937	0.0391368	0.0118463	0.0514228	0.0564088	0.113458	0.256696	0.405284
b	0.000569284	0.000785081	0.000762854	0.00184141	0.00180743	0.000309661	0.00162704	0.00101582	0.00667106	0.00322806	0.010016	0.0194385	0.0127954	0.0423788	0.0583143	0.133962	0.442107	0.26237
á	0.0008403	0.00286945	0.00356781	0.00874604	0.0175773	0.0017587	0.00300677	0.000311604	0.00563106	0.000702453	0.0133025	0.0330691	0.0235045	0.079527	0.328832	0.219355	0.224997	0.0324015
a	0.000466291	0.00100041	0.00123882	0.0028088	0.0104474	0.00853186	0.00110237	0.000257908	0.00305535	0.000626033	0.0104016	0.0309768	0.0150775	0.0931585	0.152662	0.12076	0.448885	0.098543
</S>	0.000703453	0.000141949	0.000106122	0.000520546	0.000323874	9.89413e-05	0.00120148	0.000431571	0.00431555	0.00615736	0.00789446	0.0148077	0.00472537	0.0279593	0.0491263	0.158396	0.167183	0.555907
