 	je	ne	sais	pas	tisser	une	nasse	mais	je	me	débrouille	</S>
o	0.00215431	0.00612501	0.0218956	0.291982	0.25083	0.23183	0.132948	0.0220032	0.0119726	0.00819498	0.00262878	0.0174346
t	0.000426075	0.0190153	0.085086	0.128012	0.178258	0.248283	0.201127	0.104897	0.00917841	0.00219383	0.0158905	0.00763307
ó	1.84047e-05	0.0100927	0.0662132	0.218176	0.193033	0.152936	0.172494	0.102615	0.00768795	0.00228205	0.0529003	0.0215513
n	6.95103e-05	0.00579167	0.0648748	0.115801	0.291519	0.187578	0.151162	0.0773007	0.00967014	0.00406201	0.0323862	0.0597863
g	0.0002483	0.00382232	0.0196069	0.162354	0.299742	0.121176	0.162053	0.0912939	0.0301163	0.0196365	0.0206917	0.0692594
a	0.000215377	0.000417017	0.00339589	0.068566	0.632101	0.0755189	0.107792	0.0772172	0.0143469	0.007229	0.00118932	0.0120112
k	0.00106915	0.00451203	0.00625345	0.0739741	0.0703977	0.347175	0.271453	0.120327	0.0404386	0.021346	0.00175917	0.0412954
a	0.000461536	0.00166658	0.00727592	0.10803	0.0573577	0.22865	0.139633	0.176766	0.0743225	0.0129636	0.0770245	0.115848
á	0.000457763	0.000935225	0.010363	0.0673251	0.0806387	0.355339	0.121655	0.102574	0.0711647	0.0300841	0.023817	0.135647
n	0.00417637	0.00340275	0.00409324	0.0113933	0.0145224	0.120812	0.0772878	0.182465	0.268669	0.206612	0.0120493	0.0945162
d	0.0164334	0.00147048	0.000828404	0.00499694	0.0126267	0.0320038	0.0635409	0.266313	0.444612	0.141591	0.000317124	0.0152668
z	0.0018274	0.000311565	0.000641566	0.00178186	0.015835	0.0125064	0.0338911	0.54706	0.319337	0.0458835	0.00201018	0.0189139
á	1.35179e-05	5.02719e-05	0.000261387	0.00837591	0.092585	0.0330649	0.0632814	0.683616	0.0902013	0.0107423	0.0047615	0.0130466
á	1.54778e-05	0.000209039	0.00504868	0.0448821	0.0796057	0.09684	0.126696	0.288115	0.0654698	0.0166669	0.0539324	0.222519
l	0.000196025	0.000797734	0.000689193	0.0142712	0.0270509	0.105704	0.092909	0.15426	0.241258	0.270771	0.026003	0.0660889
í	0.000466435	0.00176631	0.0033423	0.0251804	0.0103765	0.0721895	0.043733	0.0705554	0.107939	0.12048	0.231033	0.312937
i	0.00129774	0.00144444	0.00216241	0.0117892	0.011032	0.0762705	0.0445267	0.0664605	0.243031	0.201269	0.228573	0.112143
p	4.74771e-05	0.00185118	0.00397534	0.00854774	0.00237105	0.0127994	0.0307335	0.0863269	0.14188	0.0749497	0.263495	0.373022
a	6.67354e-07	0.000300437	0.00452322	0.00763468	0.00319459	0.0194324	0.0184458	0.0339487	0.0136178	0.00250298	0.849056	0.0473426
b	5.56922e-06	0.000188384	0.00153772	0.00591057	0.00976985	0.0168461	0.0271332	0.0372067	0.0234773	0.00712032	0.777282	0.0935228
h	4.62878e-05	0.000517418	0.00268591	0.021175	0.013745	0.0533015	0.0521307	0.0731406	0.0744606	0.0432765	0.357085	0.308435
á	8.3295e-06	0.000232851	0.0036827	0.0239326	0.060197	0.119495	0.133156	0.0981936	0.0776961	0.0533315	0.23649	0.193585
á	9.79269e-06	0.000461534	0.000690688	0.0103242	0.00891148	0.0349478	0.0356619	0.0419255	0.186833	0.259584	0.110143	0.310506
</S>	0.000506566	0.0026786	0.00633764	0.00748306	0.00358886	0.0194551	0.0179628	0.019445	0.22923	0.416123	0.0480818	0.229108
