 	le	chef	du	village	a	établi	une	loi	selon	laquelle	les	petits	enfants	ne	doivent	plus	aller	s'	amuser	dans	la	cour	de	l'	école	</S>
o	0.00184094	0.000847295	0.00427775	0.908261	0.00895159	0.0473904	0.00108764	0.0106208	0.00161316	0.00532833	0.000600505	0.000863624	0.00153076	0.00136569	0.000552163	0.000600818	0.00202922	0.000221675	0.000223033	0.000194546	0.000159864	0.000275131	0.000224271	5.19558e-05	0.000309529	0.000578032
o	0.0177199	0.00572453	0.0201764	0.888417	0.0217426	0.025336	0.00321328	0.00652404	0.00211174	0.00455884	0.000403488	0.000342881	0.000307333	0.000647494	0.000231078	0.000386307	0.00100618	0.000106242	5.82203e-05	9.27195e-05	6.54316e-05	3.48309e-05	7.78057e-05	2.8529e-05	5.75598e-05	0.000629516
á	0.00468126	0.000606998	0.0627925	0.00978278	0.797023	0.0156293	0.0588613	0.00391096	0.00798937	0.00402657	0.00544151	0.00258892	0.00141055	0.00380714	0.00238693	0.00331355	0.00142328	0.00164748	0.0016983	0.00302994	0.00191441	0.000254323	0.0015549	0.000844838	0.000227272	0.003153
k	0.0139209	0.0154765	0.0374457	0.00974733	0.233197	0.344536	0.146899	0.0222275	0.0151684	0.037087	0.0193713	0.0079207	0.00641677	0.0140277	0.0101844	0.00731577	0.00833192	0.003565	0.00361007	0.0111372	0.00541201	0.00101092	0.00452324	0.00216618	0.00126988	0.0180324
w	0.0019493	0.00576496	0.0196019	0.0159784	0.0787915	0.510782	0.0716118	0.0528314	0.0156183	0.100343	0.0154367	0.00910027	0.00590603	0.0169475	0.0115788	0.00894916	0.00826025	0.00528462	0.0039051	0.00761464	0.00676819	0.00139054	0.00572964	0.00281345	0.00274637	0.0142959
ε	0.000939747	0.000582856	0.00303538	0.0216246	0.0542718	0.401336	0.0368923	0.0939679	0.0273148	0.105286	0.02203	0.0241513	0.0168397	0.0320101	0.0120126	0.014333	0.00913966	0.00928184	0.0189221	0.0214779	0.0113286	0.00366674	0.0129991	0.00420251	0.00208605	0.0402671
r	0.000542996	0.000591283	0.0112289	0.0114953	0.0980536	0.0820607	0.215678	0.2656	0.0833802	0.0573468	0.0180238	0.0175067	0.0112754	0.00924488	0.0100746	0.0111514	0.00607849	0.0115633	0.011654	0.00654297	0.00717111	0.00347253	0.00910332	0.00500923	0.00449473	0.0316556
i	0.00143379	0.00034825	0.0376299	0.0178922	0.173274	0.0892085	0.262974	0.0961776	0.151451	0.0122515	0.0225723	0.010781	0.0136969	0.00838216	0.0082909	0.00640274	0.00180282	0.00799629	0.0218989	0.00857404	0.00778907	0.008518	0.0104338	0.0143569	0.00160906	0.00425469
l	0.0020852	0.000369319	0.00841309	0.00416522	0.0869953	0.02467	0.186831	0.0870062	0.423448	0.0721594	0.0391917	0.011015	0.00734807	0.00372846	0.0037495	0.00388922	0.00290989	0.00447079	0.00404871	0.00355501	0.00320384	0.0020431	0.0036361	0.00407634	0.000922749	0.00606893
e	0.00175412	0.00041099	0.0106594	0.00272704	0.013875	0.0161376	0.0888794	0.0380182	0.140866	0.0962723	0.0633671	0.0176481	0.032584	0.031421	0.0310419	0.0213184	0.0257836	0.028255	0.0330151	0.0332779	0.0422769	0.0430625	0.0456849	0.0572718	0.0138041	0.0705875
b	0.00108297	0.000420242	0.00313537	0.00183787	0.00292099	0.00865838	0.085261	0.144737	0.385385	0.19091	0.0557475	0.0129138	0.0171253	0.00730261	0.00951215	0.00557491	0.0243173	0.00488339	0.00503492	0.00316492	0.00254265	0.00662219	0.00400941	0.00307198	0.00397679	0.00985127
a	0.00139586	0.000146276	0.00263016	0.000220017	0.00217084	0.0074612	0.0701149	0.574316	0.10445	0.12582	0.0299544	0.0352036	0.0105687	0.00676941	0.00568299	0.00788887	0.00510619	0.00260261	0.000958588	0.000702366	0.00121074	0.000244391	0.00179651	0.000349143	0.000689665	0.00154553
o	9.09031e-05	0.000101031	0.000725725	0.000330174	0.00430787	0.0131986	0.090311	0.337189	0.221477	0.152445	0.0475621	0.0345554	0.0207514	0.00765237	0.00634831	0.0113315	0.00442748	0.00873191	0.00499213	0.00327376	0.00338146	0.00038874	0.00650025	0.00190258	0.000926334	0.0170986
w	0.00242013	0.000420839	0.00457319	0.000247351	0.00464283	0.00175041	0.0853052	0.0331604	0.297033	0.341632	0.139821	0.0260779	0.0107467	0.00907652	0.00571312	0.00728136	0.00785291	0.00351786	0.000948819	0.00404388	0.00273009	0.000568396	0.00262085	0.00103881	0.000845809	0.0059309
á	0.00581392	0.00276845	0.0111364	0.00507731	0.0122445	0.0147646	0.0278052	0.0413146	0.135116	0.194658	0.11473	0.0512006	0.0470824	0.0650308	0.0308153	0.0340658	0.0296768	0.0251349	0.0145253	0.0161526	0.0239348	0.00894343	0.0238326	0.011402	0.0089166	0.0438574
r	0.00177066	0.000357525	0.00293299	0.00468834	0.0027505	0.00223136	0.0114428	0.0362875	0.111471	0.305001	0.179543	0.0984769	0.0671126	0.0206929	0.012869	0.0198235	0.0149992	0.0124475	0.0103509	0.00756691	0.00786953	0.00445582	0.0130157	0.00883634	0.00581868	0.0371887
e	0.000953272	0.00138167	0.00332477	0.000559948	0.00286236	0.00238018	0.0114162	0.00573856	0.0377649	0.0464883	0.220234	0.0487324	0.330785	0.0180174	0.0300718	0.009881	0.00889698	0.0206041	0.0684219	0.0106437	0.010732	0.037175	0.0160206	0.0298455	0.00540396	0.0216642
b	0.000193984	7.04269e-05	0.00171404	0.00029736	0.00252462	0.000165815	0.01136	0.00406753	0.15622	0.125405	0.443678	0.0532598	0.0712308	0.0248288	0.0224679	0.0124455	0.0200295	0.00813725	0.00815002	0.00560122	0.0031455	0.00521751	0.00461385	0.00535263	0.00178938	0.00803427
á	0.000278164	0.000222181	0.0036834	0.000238567	0.00109905	0.000637811	0.00816951	0.0494005	0.0638821	0.197976	0.148282	0.170274	0.0960504	0.0715087	0.0244043	0.0463487	0.0154289	0.0180897	0.00966308	0.00887373	0.0142672	0.00134399	0.0164591	0.00367118	0.00138579	0.028361
n	0.000413694	9.12071e-05	0.00159231	0.000387234	0.000888746	0.000448867	0.0035628	0.014612	0.0360654	0.187689	0.199832	0.23354	0.1307	0.0543411	0.0137278	0.0306627	0.0085941	0.0112098	0.0126933	0.00674401	0.00505904	0.00156632	0.012349	0.00547722	0.00330614	0.0244463
a	0.00387855	0.00224267	0.00227247	0.000200329	0.00257906	0.00203709	0.00420612	0.00300405	0.0122003	0.00860028	0.230367	0.0805046	0.423256	0.0198082	0.0214972	0.00890898	0.00377019	0.0160344	0.0769513	0.00743304	0.00614666	0.00419799	0.0105148	0.0169584	0.0010538	0.0313773
b	9.77053e-05	2.91303e-05	0.000534053	5.77238e-05	0.00156991	0.000147521	0.00495585	0.00182935	0.0446438	0.0629399	0.536183	0.0823018	0.0612129	0.0565866	0.0397485	0.0315856	0.0182253	0.0110974	0.00930017	0.00663174	0.00404208	0.000964444	0.00735262	0.00623752	0.00151453	0.0102106
á	0.000152228	4.9854e-05	0.00165894	2.97655e-05	0.000575128	0.000171173	0.00307228	0.00927692	0.0240066	0.0669456	0.196556	0.246664	0.139203	0.0773137	0.0324791	0.0722779	0.0184682	0.0271056	0.0150462	0.0129505	0.0168093	0.00187756	0.0144262	0.00420365	0.000894521	0.0177853
n	0.00036681	6.63125e-05	0.00371118	0.000173343	0.00228124	0.000191398	0.00240438	0.00218516	0.00890997	0.0262228	0.165368	0.237146	0.116342	0.169536	0.0639679	0.0846088	0.0268207	0.017085	0.0130297	0.0134413	0.00822822	0.0019368	0.0110676	0.00808031	0.00335243	0.0134757
d	0.000796625	0.00180259	0.00234448	0.000211095	0.0034027	0.000766491	0.00329423	0.000491114	0.00534985	0.012014	0.263907	0.062672	0.318137	0.0575999	0.0569168	0.0132508	0.0156273	0.0131492	0.0533893	0.0187839	0.00926467	0.020169	0.0101196	0.0135292	0.00300028	0.0400106
z	0.000165474	0.0027356	0.000594468	0.000343183	0.000698377	0.000437837	0.00148226	0.000742008	0.00440235	0.0191537	0.347531	0.0593196	0.222037	0.0601783	0.0620695	0.0154117	0.0324539	0.0123528	0.0337232	0.0125177	0.00566871	0.0371697	0.00920514	0.00925558	0.00612676	0.0442242
é	4.79067e-05	0.000246394	0.000162571	0.000107052	0.000302315	0.000574854	0.00223699	0.00119223	0.0122324	0.0131095	0.108533	0.0452275	0.17107	0.0573674	0.191311	0.0129747	0.138654	0.0279307	0.0297444	0.0183876	0.0125299	0.0943162	0.0107547	0.0116185	0.0169837	0.0223853
s	2.06315e-05	0.000286191	0.000217666	0.000207196	0.0026405	0.0015449	0.0115	0.00282226	0.0178159	0.0360556	0.133139	0.060219	0.0624431	0.14232	0.150296	0.070034	0.0265703	0.0383886	0.027098	0.027594	0.0230078	0.012396	0.0309714	0.0190672	0.0305275	0.072818
i	0.000477845	0.00117757	0.000614113	0.000128224	0.00122212	0.000319884	0.0171426	0.00408658	0.103038	0.03812	0.212625	0.0757275	0.0791702	0.0693787	0.116913	0.038747	0.0503871	0.0398247	0.014922	0.0138647	0.0167003	0.0221758	0.0190248	0.0140479	0.0218074	0.0283565
á	0.000560528	0.000100725	0.0010577	0.00011535	0.00409179	0.000152941	0.00380832	0.00097801	0.0173794	0.0309045	0.205049	0.140349	0.0778159	0.140192	0.0795631	0.114153	0.037181	0.039751	0.013379	0.0331115	0.0146219	0.00591943	0.0155721	0.00931742	0.00303789	0.0118373
d	0.00141521	0.00269494	0.00828854	0.000852412	0.00444275	0.00400869	0.00447169	0.000590225	0.00233992	0.0131727	0.0449317	0.0545412	0.0427446	0.218749	0.163726	0.144584	0.0965498	0.0250551	0.0118863	0.0649929	0.0226452	0.00629032	0.0187192	0.00938692	0.00845668	0.024463
í	0.000115647	8.66141e-05	0.000286259	2.97677e-05	0.00025258	6.55643e-05	0.000340446	7.69509e-05	0.000393898	0.00588777	0.058138	0.0642532	0.0329539	0.132342	0.0831645	0.0564984	0.0701765	0.0276741	0.0355198	0.142418	0.0452156	0.00998419	0.0256619	0.0132157	0.00525556	0.189993
o	0.000354512	5.67054e-05	0.000645492	2.87012e-05	0.000554385	2.37706e-05	0.000522393	7.85643e-05	0.000859918	0.00326313	0.0345055	0.0422885	0.014315	0.1181	0.120228	0.126795	0.0465769	0.0410837	0.0510756	0.148968	0.0638597	0.0127297	0.0398585	0.0311976	0.0103699	0.0916609
b	6.50989e-05	0.00135642	0.00106662	6.9574e-05	0.000435816	0.000205288	0.00150676	0.000441903	0.000822814	0.00282319	0.0159766	0.0189466	0.00934494	0.0723551	0.183113	0.110439	0.22139	0.0342046	0.0136022	0.0464535	0.0343659	0.036824	0.0425818	0.0133697	0.114971	0.0232687
v	3.13306e-05	9.96893e-05	0.000738681	0.000191361	0.00131437	0.000817718	0.00314003	0.00330157	0.00209923	0.00477864	0.0231044	0.0528254	0.0202318	0.123302	0.169666	0.117666	0.180408	0.0382774	0.0248543	0.0524545	0.0606909	0.00582251	0.0353268	0.00901399	0.0318663	0.0379765
ú	0.000354538	5.62208e-05	0.000652738	4.8133e-05	0.000364401	0.00065493	0.00179049	0.00225919	0.00170512	0.00377416	0.0146487	0.0598015	0.0625485	0.0846498	0.147837	0.123439	0.162053	0.0488115	0.0210575	0.0389487	0.0469154	0.00676244	0.0464074	0.012279	0.0534107	0.0587701
r	0.000552287	0.000861589	0.00217143	0.000306497	0.000609588	0.000182122	0.00259613	0.00116012	0.0053452	0.00456094	0.0279926	0.0526843	0.026179	0.112185	0.188811	0.110911	0.0832417	0.0659333	0.0358776	0.0534492	0.044913	0.0425605	0.038315	0.0152953	0.0281746	0.0551318
á	0.000311603	1.83693e-05	0.000184611	2.90959e-05	0.000122	9.35325e-05	0.00123864	0.000491409	0.00393762	0.000795005	0.0167199	0.0239031	0.0239069	0.0397051	0.133272	0.0701383	0.0414296	0.0905445	0.0714634	0.0777907	0.0794597	0.114233	0.0873156	0.0696449	0.0259629	0.027288
o	7.20287e-05	2.8512e-05	0.000275693	0.000384308	0.000363342	0.000147862	0.000725537	0.000358507	0.00224798	0.00158382	0.0137386	0.026313	0.0170505	0.0289254	0.053622	0.109368	0.0674691	0.104902	0.0465723	0.0956583	0.0887696	0.0911528	0.0882874	0.097517	0.0300717	0.0343942
d	1.7325e-05	0.000226623	0.00047665	2.3404e-05	0.000167349	4.59317e-05	0.000920161	0.000183685	0.000577488	0.00214292	0.00758679	0.00480535	0.00222544	0.0253345	0.0893473	0.0850972	0.282976	0.0422941	0.0212427	0.105723	0.0604884	0.0396138	0.0662292	0.0180991	0.101961	0.0421949
z	9.40738e-06	0.000110727	0.00014277	1.58018e-05	0.0002103	1.39697e-05	0.000431426	2.08961e-05	0.000276518	0.000902325	0.00606061	0.00304178	0.000981336	0.0323296	0.126151	0.0371799	0.361079	0.0317669	0.0117671	0.157146	0.0672681	0.0339244	0.0241711	0.00731187	0.0274477	0.0702404
w	6.42795e-05	5.56766e-05	0.000224371	9.28376e-05	0.000260147	3.49604e-05	0.000254467	7.46284e-05	0.000745659	0.00071336	0.00916079	0.0062838	0.00428059	0.0134416	0.0474771	0.0144017	0.778612	0.0137475	0.00254335	0.0188089	0.0146039	0.0463328	0.00675429	0.0028361	0.00710667	0.0110883
á	0.000126037	9.69082e-06	0.000202265	2.82213e-06	5.61208e-05	7.34547e-06	0.000386987	9.17996e-05	0.00120337	0.000451986	0.012297	0.0149071	0.0121629	0.0144064	0.0786682	0.043113	0.357031	0.0868831	0.0122791	0.0598738	0.104931	0.0197454	0.0405115	0.0276476	0.0103647	0.10264
o	5.71976e-05	3.19562e-05	0.00012072	7.71933e-05	0.000174264	5.0205e-05	0.000640912	0.000284168	0.00149429	0.000745641	0.0097169	0.0170366	0.0127266	0.0139802	0.0596681	0.0619908	0.084044	0.103166	0.0794555	0.0949677	0.0885097	0.144344	0.0790598	0.0696045	0.0330837	0.0449701
s	1.21583e-05	0.000172031	0.000272264	1.16868e-05	6.00312e-05	3.55002e-05	0.000828963	0.000176363	0.000549041	0.00127825	0.0031375	0.00146772	0.00066153	0.0114427	0.0696765	0.0511028	0.172505	0.0404406	0.0269793	0.0979661	0.0672374	0.0552087	0.092592	0.0324049	0.218771	0.0550102
a	1.32603e-05	0.000170038	0.000422716	2.40954e-05	0.000239942	1.50093e-05	0.000407572	1.45454e-05	0.000578056	0.000660797	0.00450392	0.00113225	0.00131175	0.0144863	0.0947102	0.011198	0.153228	0.0213081	0.0452888	0.106335	0.0539004	0.231546	0.0376815	0.029736	0.127135	0.0639531
n	2.76756e-05	7.46303e-05	0.000144985	1.94831e-05	0.000158143	3.67998e-06	0.00023491	2.18507e-05	0.00052068	0.000426575	0.00421549	0.00257309	0.000974286	0.0113187	0.0725586	0.0209768	0.230381	0.0422299	0.0238706	0.0816159	0.0895433	0.0833524	0.0477766	0.0220127	0.0797979	0.18517
á	1.98357e-05	9.01075e-05	5.8967e-05	7.12943e-06	3.50321e-05	1.25953e-05	0.000246857	3.93439e-05	0.000314346	0.000421184	0.00413004	0.00246912	0.00127474	0.0222623	0.0795372	0.0439066	0.0494365	0.0629832	0.0921118	0.17761	0.105566	0.0775078	0.0829163	0.0345736	0.0417125	0.120757
á	1.25343e-05	1.79922e-05	5.17666e-05	4.03266e-05	7.12724e-05	3.01119e-05	0.000197517	9.40175e-05	0.000533266	0.000700092	0.00523072	0.00600115	0.00264118	0.00862086	0.016002	0.0442122	0.0362852	0.0706515	0.0687849	0.125432	0.102754	0.0980873	0.104929	0.114213	0.0241618	0.170244
s	0.00102447	0.000668567	0.00180727	0.000111841	0.000829959	0.000304802	0.00242512	0.000370873	0.00169088	0.00157572	0.0145256	0.00806849	0.00345557	0.00961613	0.022471	0.0349444	0.0124277	0.0431875	0.100055	0.169772	0.122671	0.0783315	0.114108	0.144796	0.0345871	0.0761744
á	5.17222e-05	0.000187017	0.000500004	1.05448e-05	0.000319602	3.44612e-05	0.00044769	3.08673e-05	0.000584932	0.000860518	0.00949258	0.00188488	0.00216345	0.0129085	0.0370948	0.0158522	0.033132	0.0273412	0.0950026	0.120385	0.0635129	0.229374	0.0733264	0.0894193	0.0589545	0.127128
l	0.00106576	0.0020492	0.00221399	0.000104365	0.00152754	7.18296e-05	0.00119436	0.000240868	0.00194705	0.000519196	0.00696517	0.00444485	0.00272406	0.00602078	0.0194077	0.0145765	0.0159039	0.0285203	0.108995	0.0377055	0.0540808	0.202658	0.0493623	0.158107	0.229873	0.0497213
e	0.000324328	7.65441e-05	0.000230683	3.90714e-05	0.000282118	6.80306e-05	0.000407923	0.000159207	0.000779621	0.000830477	0.00601401	0.00240626	0.00318625	0.00533618	0.022884	0.0135647	0.0424403	0.0278682	0.0701441	0.03979	0.0376077	0.336704	0.0719535	0.0735537	0.170792	0.072557
k	9.37819e-06	6.9668e-06	3.76737e-05	3.41445e-06	4.21897e-05	1.63942e-06	4.92257e-05	1.05383e-05	0.000155189	0.000271984	0.00155367	0.000777231	0.000660605	0.00546854	0.0162471	0.0118622	0.0690223	0.0177295	0.0227028	0.02645	0.037778	0.0785623	0.0692872	0.0637736	0.442448	0.135089
ώ	2.80545e-06	4.15868e-05	6.05076e-05	2.78761e-05	3.85438e-05	2.94004e-05	0.000168822	0.00022543	0.000229443	0.00192992	0.00124231	0.00186166	0.000887243	0.0206187	0.0217274	0.0296221	0.0330089	0.0212338	0.0394191	0.0614935	0.0768675	0.0407908	0.11871	0.0499793	0.331063	0.14872
ώ	6.49266e-05	1.66874e-05	5.44361e-05	1.4579e-05	3.77715e-05	2.87159e-05	0.000147778	0.000177709	0.000474232	0.000575866	0.00174377	0.00269024	0.00135759	0.0110638	0.0179853	0.0309049	0.0109363	0.0183614	0.0158846	0.0146696	0.026235	0.0282458	0.0810873	0.0636679	0.60979	0.0637839
l	4.77775e-05	2.47738e-05	9.66177e-05	2.62461e-05	4.66954e-05	2.08762e-05	0.000703449	0.000366398	0.00169035	0.00113874	0.00238701	0.00159345	0.000968231	0.00772022	0.0152304	0.0296523	0.0131341	0.0360239	0.0676453	0.0937285	0.116834	0.067422	0.162841	0.147776	0.108487	0.124395
i	3.04749e-05	3.7527e-05	7.28565e-05	8.90958e-05	5.41321e-05	6.63175e-05	0.000460038	0.000554603	0.00136627	0.00294103	0.00399862	0.00263663	0.00265275	0.0202479	0.0346862	0.0401748	0.0475252	0.0489015	0.068017	0.0775712	0.105529	0.0911943	0.132173	0.0756175	0.118648	0.124754
k	0.000168833	3.91684e-05	0.000257341	5.81329e-05	0.000221761	2.02369e-05	0.000349303	8.86009e-05	0.00188766	0.000966719	0.00816289	0.00451264	0.00150862	0.0098935	0.0183458	0.0357256	0.0175329	0.0512649	0.0730296	0.0936866	0.107854	0.0675692	0.11095	0.171433	0.0280143	0.196459
a	1.28082e-05	0.000356817	0.000231392	0.000227223	0.000199883	0.000182973	0.000413853	0.000957523	0.000872009	0.00690788	0.00392275	0.00508817	0.0019588	0.0396024	0.0185282	0.0355333	0.0159706	0.0229925	0.0715587	0.0747421	0.0922537	0.0560216	0.139439	0.0829959	0.193621	0.135409
á	8.59151e-05	0.000284235	0.000268165	0.000103791	0.000192794	4.67614e-05	0.000196232	0.000184456	0.000587527	0.00249476	0.00456954	0.005431	0.0015846	0.0272048	0.0250757	0.0383831	0.0271267	0.0258601	0.0368531	0.0379911	0.0446774	0.021322	0.0668972	0.0374918	0.182625	0.412463
</S>	0.000142008	2.98191e-05	0.000435396	0.00016167	0.000431931	0.000105359	0.000603982	0.000493022	0.00159411	0.00182671	0.00863814	0.0110844	0.00663732	0.00998927	0.0172435	0.0379291	0.0261109	0.0596327	0.108658	0.103493	0.106524	0.0684528	0.0998974	0.146409	0.0221806	0.161296
