 	j'	aime	manger	les	légumes	tsanyii	car	ils	sont	acides	</S>
a	0.00605842	0.00257092	0.00616002	0.0318537	0.070307	0.23987	0.0737571	0.102432	0.171437	0.0843113	0.211241
y	0.000593407	0.00183159	0.00716639	0.0162186	0.058268	0.167281	0.0921458	0.132793	0.256721	0.03177	0.23521
í	0.00222473	0.0264325	0.034956	0.0425329	0.0948472	0.301708	0.0564679	0.0241342	0.167476	0.209726	0.0394949
a	0.00190434	0.000969324	0.00217533	0.00727669	0.026258	0.116617	0.0290568	0.0643381	0.199695	0.438351	0.113358
é	0.00115164	0.00343782	0.00928161	0.0139569	0.0137755	0.039903	0.0198482	0.0469183	0.341795	0.342073	0.167859
d	0.000197511	0.00767284	0.0142015	0.025792	0.0256564	0.056738	0.0159708	0.0253317	0.316797	0.379079	0.132563
í	0.000106465	0.00467923	0.00476609	0.00591439	0.00362123	0.0575137	0.00202466	0.00290534	0.223204	0.430498	0.264767
l	0.00011638	0.000704375	0.00208819	0.0074682	0.00771005	0.0256105	0.0255743	0.0380497	0.157217	0.374253	0.361209
a	0.000128716	0.000751012	0.00135236	0.00273141	0.00222866	0.0105696	0.00640007	0.00911337	0.0588371	0.528968	0.378919
n	3.24046e-05	0.000599971	0.000909853	0.00349415	0.0054908	0.00971934	0.00634195	0.00598668	0.0282136	0.780997	0.158214
g	0.000936962	0.000114331	0.000140424	0.00070099	0.00149412	0.00298943	0.00048377	0.000869769	0.00359409	0.951578	0.0370979
a	0.00153188	8.76075e-05	0.000185917	0.000745737	0.0027253	0.0029425	0.000535969	0.00134519	0.00457635	0.953251	0.0320721
n	2.51631e-05	7.21535e-05	0.000124191	0.00057388	0.00196191	0.00684085	0.00174956	0.00123156	0.00456451	0.714263	0.268593
y	0.000127111	0.000248532	0.000538471	0.00146379	0.00331765	0.00868372	0.00115564	0.000498572	0.00503957	0.727074	0.251853
i	0.000610002	0.000122252	0.000270772	0.00106078	0.00358735	0.0133294	0.00167163	0.000401536	0.0050894	0.696076	0.277781
</S>	4.53041e-05	0.000138448	0.000370872	0.00181532	0.00815263	0.0137305	0.00734751	0.00572156	0.0259873	0.253356	0.683335
