 	il	n'	a	pas	cuit	le	boisson	à	la	braise	il	en	a	fait	un	bouillon	</S>
a	0.00141366	0.00136699	0.00689554	0.00410902	0.00508814	0.00463921	0.00193397	0.0122149	0.00783341	0.00186001	0.210518	0.268343	0.261273	0.101606	0.0657184	0.00755455	0.0376329
k	0.00114801	0.00673575	0.00786406	0.00682085	0.017199	0.00739869	0.00606008	0.0259055	0.0106984	0.00391164	0.0175016	0.0668885	0.212284	0.390639	0.110244	0.0965428	0.0121579
y	0.000304455	0.00155005	0.00228508	0.0166811	0.0240585	0.00710385	0.000511027	0.0157088	0.00390066	0.00691187	0.00705876	0.0502602	0.139367	0.416827	0.0910516	0.146629	0.069791
e	0.000563037	0.00254037	0.00471295	0.0174185	0.0203305	0.015589	0.00321844	0.0254331	0.00679031	0.00686557	0.0178456	0.0616304	0.0952314	0.388185	0.108839	0.129682	0.0951245
b	0.000385215	0.000897539	0.00384532	0.0089906	0.00926857	0.0155724	0.00163135	0.0160524	0.0108779	0.00423018	0.0377729	0.106593	0.159537	0.260786	0.154521	0.0954567	0.113581
á	0.0110291	0.00548461	0.00805752	0.0250917	0.0448851	0.0197848	0.00228723	0.0376295	0.0215311	0.00699552	0.0332338	0.0690116	0.0864336	0.225314	0.114839	0.0415242	0.246867
a	0.00667448	0.00194797	0.00469157	0.0104053	0.00677305	0.00874373	0.00136042	0.0112883	0.0160151	0.00722339	0.25527	0.139266	0.0935714	0.0604646	0.106558	0.077315	0.192433
e	0.000809861	0.00128871	0.00248911	0.00169391	0.00214219	0.00210418	0.00119146	0.00466863	0.00269684	0.00125682	0.011891	0.0193927	0.0516319	0.150535	0.293957	0.243212	0.209039
l	0.00044621	0.00330962	0.00445255	0.00639161	0.0116283	0.007703	0.00552822	0.0272586	0.00949899	0.00516042	0.00319359	0.00894133	0.0230708	0.16739	0.269262	0.239481	0.207284
á	0.000268911	0.00163018	0.00208801	0.000956281	0.00256018	0.00110698	0.00200397	0.00408495	0.00136351	0.000436986	0.000925813	0.00527308	0.0114681	0.10743	0.100774	0.493203	0.264426
m	0.00031093	0.000652857	0.00358297	0.004526	0.00335393	0.00579443	0.00310932	0.00549047	0.00377242	0.00069185	0.00307862	0.0147804	0.0173255	0.0551521	0.15528	0.503999	0.2191
b	0.0047249	0.00793118	0.00912696	0.00914418	0.00847735	0.00981557	0.0102074	0.0162988	0.0213861	0.0083945	0.0189572	0.047491	0.0452735	0.103139	0.265672	0.133288	0.280673
í	0.00091155	0.000687598	0.0015281	0.00259138	0.0032675	0.00191646	0.000287119	0.00731964	0.00881863	0.00429919	0.0155822	0.0452437	0.0359005	0.156274	0.227448	0.0693208	0.418604
</S>	0.00102952	0.000731829	0.00176745	0.00335062	0.00260994	0.00658242	0.000954231	0.0056264	0.00712639	0.00291609	0.018691	0.0333911	0.0375378	0.0673768	0.214538	0.160357	0.435413
