 	nous	ne	savons	pas	encore	de	quelle	manière	il	a	découvert	ce	chemin	</S>
ó	0.000168465	0.000610301	0.0116081	0.0113871	0.0124592	0.0139906	0.00308594	0.0160414	0.0272157	0.046528	0.20854	0.0887923	0.396787	0.162786
w	0.000497413	0.00630278	0.00435784	0.0294968	0.0301935	0.0634986	0.046857	0.063762	0.099642	0.175005	0.0668874	0.200993	0.0641531	0.148354
ú	0.00333517	0.0132107	0.0413358	0.0356195	0.0285226	0.0485536	0.020121	0.084523	0.148855	0.0841003	0.108207	0.123598	0.117758	0.14226
u	0.000578792	0.00111338	0.0013289	0.0220619	0.0301691	0.0492419	0.0145539	0.0215131	0.0449088	0.155158	0.181567	0.201063	0.0855715	0.191171
b	0.000198275	0.0169258	0.0099989	0.0595196	0.0703951	0.0913064	0.0269266	0.0345102	0.0737979	0.133154	0.0634219	0.170746	0.0300745	0.219025
í	0.00226705	0.00661536	0.00549117	0.0221048	0.0237713	0.0956474	0.0562849	0.0641528	0.0976135	0.0835068	0.0437873	0.315099	0.117131	0.066528
s	0.0039533	0.000985794	0.00453374	0.00458362	0.00733612	0.0156852	0.0174985	0.0190407	0.0591309	0.0513167	0.11589	0.108302	0.0697821	0.521961
í	0.000396216	0.000726204	0.00106008	0.00531591	0.0182192	0.00904538	0.00751644	0.00340588	0.00957965	0.0352387	0.10385	0.0681435	0.0424701	0.695032
l	0.00155644	0.00164662	0.00136047	0.00557499	0.00503977	0.00824269	0.0116962	0.0162741	0.0643346	0.0759671	0.0161891	0.165294	0.0257498	0.601074
e	0.00464351	0.00350865	0.00407316	0.00908171	0.0155086	0.00582885	0.00528692	0.00652312	0.0215751	0.0379069	0.0392251	0.0436972	0.0179164	0.785225
s	0.000739905	0.00220241	0.00131054	0.0103408	0.00699037	0.0149081	0.00667015	0.00515191	0.019924	0.0395148	0.0635552	0.179468	0.171048	0.478176
á	0.000265759	0.0033396	0.00253561	0.00898741	0.0239115	0.0120242	0.0076484	0.00132597	0.00868229	0.0547133	0.0389562	0.227979	0.0917771	0.517853
a	0.000837075	0.00219834	0.00394175	0.012181	0.0139789	0.0264234	0.0555564	0.0130871	0.0588407	0.048344	0.0162585	0.203935	0.0334566	0.510961
o	0.00285316	0.00837817	0.00949175	0.0155723	0.0104787	0.0122111	0.00632145	0.0238552	0.0509752	0.0861132	0.0655817	0.107337	0.0268401	0.573991
y	7.60211e-05	0.00576729	0.00321607	0.0276689	0.0243303	0.0254342	0.00728023	0.00640774	0.00811472	0.0775362	0.183629	0.234886	0.0836756	0.311978
é	6.28803e-05	0.00181092	0.00777111	0.00971116	0.0271177	0.0143975	0.00585273	0.00191736	0.00528903	0.0376454	0.0738706	0.285383	0.0567212	0.47245
b	5.46499e-05	0.000581239	0.0019285	0.00388801	0.00896941	0.00853863	0.00623271	0.0011596	0.00432731	0.0211723	0.0568665	0.0979735	0.0145375	0.77377
h	0.000312736	0.00404049	0.00920321	0.0201075	0.0180041	0.0199433	0.00640471	0.0102057	0.0405004	0.0733508	0.0533245	0.255295	0.053998	0.435309
a	0.000165764	0.00133227	0.0105499	0.00726304	0.00740067	0.0291368	0.0307725	0.024769	0.0127321	0.0133294	0.121467	0.0511521	0.0367652	0.653165
έ	0.000752124	0.00385108	0.0141125	0.0139051	0.0125198	0.0298876	0.0382189	0.0693647	0.0668449	0.059384	0.0586328	0.234607	0.0461918	0.351728
</S>	0.0033294	0.0169193	0.0151571	0.0264015	0.017139	0.026154	0.0123407	0.0491564	0.0584596	0.0429827	0.0289497	0.0764222	0.0223197	0.604269
