 	nous	avons	fait	une	collecte	d'	argent	en	vue	d'	apporter	une	assistance	à	notre	ami	qui	est	hospitalisé	</S>
m	0.000534079	0.00188001	0.00544364	0.00787007	0.00900108	0.0160272	0.0137862	0.0551426	0.0857701	0.0830905	0.0898008	0.315773	0.172183	0.0452063	0.00495241	0.0385137	0.0231259	0.0162829	0.00631311	0.00930332
í	9.0034e-05	0.000621714	0.000648431	0.00157739	7.06062e-05	0.0036701	0.0146198	0.0241669	0.0481085	0.0848484	0.101215	0.221319	0.352679	0.0531754	0.00715443	0.0224945	0.0368898	0.0150403	0.00155259	0.0100579
s	3.56829e-05	0.000535991	0.00101826	0.00208785	0.000625019	0.00872491	0.0165934	0.0422349	0.0952153	0.0955974	0.0681507	0.222705	0.274469	0.0385749	0.0056413	0.0573104	0.0228323	0.018458	0.00749009	0.0216997
u	7.50039e-05	0.000358141	0.00167256	0.001986	0.00152591	0.00328607	0.0185589	0.00961333	0.00782926	0.0405719	0.0407318	0.209445	0.43764	0.0709942	0.0418983	0.0188096	0.017775	0.0137132	0.0170457	0.0464711
n	0.000120224	8.06319e-05	6.27824e-05	0.000397734	0.000188035	0.00504679	0.0110692	0.012626	0.00631586	0.0544094	0.0488161	0.182241	0.531363	0.0627809	0.003577	0.00326204	0.0106758	0.0199313	0.0113322	0.0357044
g	0.00015874	4.25844e-05	0.000141917	0.00120015	0.000125681	0.0167632	0.0602986	0.0154481	0.00329358	0.0705245	0.0956554	0.168829	0.407483	0.0741828	0.0139316	0.00371791	0.0156956	0.0233871	0.0124181	0.0167028
a	0.000251767	8.58317e-05	0.000102598	0.000728979	0.000281471	0.00926789	0.391995	0.0124985	0.00243587	0.0819896	0.110371	0.0716047	0.210154	0.0265249	0.0261172	0.00184665	0.00180728	0.0027099	0.038999	0.0102283
l	4.76106e-05	0.000228123	0.000294846	0.00101283	0.000343865	0.0119203	0.0116022	0.0339626	0.0127793	0.0618551	0.115785	0.133626	0.0833294	0.233541	0.0618026	0.064344	0.0827845	0.0637578	0.0120176	0.0149647
ó	0.000142868	0.000386839	0.00136696	0.00217665	0.00278488	0.00995155	0.00417938	0.00965483	0.00961403	0.0226836	0.0284746	0.173315	0.125079	0.128734	0.0279542	0.0540819	0.122303	0.0856666	0.0358273	0.155622
b	0.000549695	0.000306359	0.000377647	0.00106967	0.000478102	0.00378859	0.0016703	0.00416941	0.0037817	0.0167029	0.0158683	0.0571739	0.135714	0.134273	0.0488298	0.175218	0.148535	0.0792179	0.13768	0.034596
i	0.000137736	0.000211921	0.00073203	0.00256264	0.000499924	0.00872204	0.00177893	0.0057355	0.00472429	0.00772009	0.00296959	0.0201073	0.0373302	0.028149	0.0512651	0.757303	0.0310518	0.0127378	0.0190513	0.00720939
a	1.41584e-05	5.5933e-05	0.000385884	0.00113573	0.000230075	0.00594892	0.000876021	0.0061536	0.0221211	0.0168053	0.00481616	0.045637	0.118653	0.0693647	0.0565507	0.4168	0.0855031	0.0464909	0.0680715	0.0343867
y	4.33263e-05	0.000127356	0.000390559	0.000673687	0.000156612	0.00164363	0.000645239	0.00235368	0.00366295	0.00429736	0.00799018	0.0225517	0.0254135	0.145593	0.0836204	0.0514733	0.268035	0.320571	0.028498	0.0322603
e	0.000130572	0.000394143	0.000965114	0.00226238	0.000434501	0.00277094	0.00514807	0.0045381	0.00190473	0.0161337	0.0166752	0.0655089	0.158366	0.128985	0.0638002	0.0335834	0.156346	0.0928234	0.151465	0.0977641
e	4.24529e-05	0.000120952	0.000222203	0.000701631	0.000143186	0.00152689	0.000602218	0.000831443	0.000511783	0.00468967	0.00854336	0.0196195	0.0428032	0.112996	0.189845	0.054159	0.188065	0.163327	0.162811	0.0484388
d	2.3048e-05	0.000203129	0.000580222	0.00140055	0.000726084	0.00159592	0.00072763	0.00107848	0.00198713	0.00125051	0.00126723	0.00651635	0.0342063	0.0111113	0.00768976	0.115906	0.113934	0.149896	0.460258	0.0896439
í	1.95449e-06	5.06799e-05	0.000640113	0.00182052	0.000433385	0.00259363	0.000452663	0.000694192	0.000322844	0.00141332	0.000691803	0.00967916	0.0633403	0.0276714	0.025058	0.181139	0.112997	0.173997	0.210803	0.1862
l	8.85245e-06	4.19793e-05	7.86141e-05	0.000308554	5.40606e-05	0.0015491	0.000353426	0.000784507	0.00103731	0.00235	0.00329238	0.0114242	0.0257604	0.0473221	0.031397	0.0468869	0.166228	0.348395	0.0843892	0.228339
i	1.11815e-05	4.84196e-05	0.000199865	0.000225073	0.000190527	0.00076965	0.000644093	0.00100313	0.000763656	0.00165881	0.00237884	0.00969482	0.0253117	0.0458426	0.0524171	0.0467442	0.134497	0.192043	0.162082	0.323473
k	2.8885e-05	2.26698e-05	7.6316e-05	0.000243923	0.000120046	0.00107871	0.000273833	0.000714145	0.00109178	0.00188624	0.00111857	0.00397406	0.00773815	0.0198979	0.013936	0.0529287	0.160192	0.155306	0.360211	0.219161
ω	1.94427e-05	1.23975e-05	0.000129975	0.00026446	0.0019298	0.00153329	7.22124e-05	0.000669722	0.00126656	0.000624523	0.000121283	0.00164542	0.00183285	0.00645975	0.00691571	0.183713	0.0374676	0.0170934	0.582012	0.156217
n	7.74329e-05	1.11076e-05	5.13314e-05	6.05032e-05	9.78811e-05	0.000141509	4.71143e-05	0.000281248	0.000521645	0.000452169	6.50404e-05	0.00107374	0.00428471	0.00326145	0.00218512	0.0556371	0.00933791	0.00578578	0.898812	0.017815
í	1.67863e-05	1.1653e-05	4.79178e-05	5.93462e-05	0.000216473	0.000405537	0.000426466	0.00095067	0.0019258	0.000900113	0.0007257	0.0023509	0.00437469	0.00969527	0.00606976	0.0335008	0.0460375	0.0270133	0.775306	0.089965
s	4.11121e-05	5.34206e-05	6.36597e-05	0.000144517	5.94424e-05	0.000493187	0.00025178	0.00107815	0.00219422	0.00163233	0.0016451	0.00313961	0.00215642	0.0237527	0.0150209	0.0159774	0.199763	0.211362	0.0789541	0.442217
ó	0.000148402	8.77614e-05	0.000434214	0.00130109	0.000956686	0.00771135	0.00381436	0.00808563	0.00403376	0.0180453	0.00994498	0.016772	0.0121924	0.0703027	0.122204	0.0456257	0.187342	0.12486	0.171875	0.194262
p	0.00219338	0.000544794	0.000368248	0.00163956	0.000269527	0.00655505	0.0023387	0.0024152	0.000923655	0.00551825	0.00978413	0.00614664	0.00469367	0.0290017	0.059145	0.0266354	0.105452	0.163152	0.305227	0.267996
i	0.00236237	0.000622709	0.00200612	0.00262429	0.00649212	0.00819532	0.000855703	0.00377858	0.00926341	0.0100414	0.00234572	0.0114391	0.00496445	0.0238879	0.0282737	0.026092	0.0832054	0.0998452	0.473599	0.200106
t	0.000238475	0.000175632	0.000365797	0.00045783	0.000281215	0.00153709	0.000237059	0.000584546	0.0015386	0.00211763	0.000739243	0.00271695	0.00340339	0.0103653	0.0078153	0.00946208	0.0483649	0.0619169	0.226962	0.62072
á	0.000745895	0.000156601	0.000838323	0.000729589	0.00454447	0.00622502	0.000639645	0.00365608	0.0127699	0.00643257	0.00165702	0.00459836	0.00103321	0.0209098	0.0204598	0.0204733	0.0616531	0.0422027	0.434929	0.355346
á	0.00206004	0.00100439	0.00047247	0.000756383	0.000576699	0.00356684	0.000711232	0.00175481	0.0105602	0.00501093	0.0102989	0.00573972	0.00131726	0.0250807	0.0625387	0.00702934	0.101164	0.0915629	0.0369411	0.631853
l	0.000344645	0.00113169	0.00159727	0.00201993	0.000943671	0.00485314	0.0030344	0.00745374	0.00536928	0.00712447	0.0160468	0.00991472	0.00721513	0.0342193	0.0757073	0.0240948	0.148927	0.353814	0.0201395	0.276049
e	0.000327494	0.000697124	0.00172088	0.00489554	0.000457004	0.00946931	0.00224961	0.00256748	0.00172602	0.00440899	0.0032857	0.00843827	0.00908316	0.0171765	0.054648	0.0221778	0.104308	0.161278	0.0845405	0.506545
</S>	4.45921e-05	6.78736e-05	0.000151082	0.000595614	0.000103144	0.0041545	0.000995741	0.00121286	0.000757447	0.00526973	0.0071081	0.00550371	0.00315727	0.0287352	0.0818451	0.00806171	0.117439	0.263314	0.0432477	0.428235
