 	quand	nous	étions	au	ruisseau	vouma	nous	avons	vu	de	petits	enfants	pêcher	à	la	ligne	dans	un	étang	où	des	femmes	avaient	déjà	péché	à	l'	écope	</S>
ó	0.00399245	0.0134839	0.067097	0.342268	0.221126	0.0424178	0.0145073	0.0271645	0.0486043	0.0597962	0.0122843	0.0137834	0.00886911	0.00996464	0.00979488	0.0206547	0.00779422	0.0101687	0.00928481	0.00469787	0.00631969	0.00834478	0.00769369	0.00745729	0.00172872	0.00386202	0.00579429	0.00116645	0.00987933
m	0.00482598	0.00645325	0.0456087	0.28962	0.398225	0.0531722	0.00792045	0.0207185	0.0488007	0.0200719	0.00513459	0.0038066	0.00401487	0.00389308	0.00438258	0.00984204	0.00538249	0.00574926	0.00652322	0.00154474	0.00141431	0.00156838	0.00495187	0.00420358	0.00279956	0.00269691	0.00486268	0.00439749	0.0274154
á	0.0119051	0.00926509	0.0230752	0.113906	0.212855	0.357271	0.0243864	0.0477287	0.0296687	0.0170509	0.0111671	0.00851494	0.0181974	0.0140017	0.00931385	0.00280544	0.00933081	0.0059233	0.00184489	0.00555558	0.011272	0.0115892	0.00920374	0.0078268	0.00541693	0.00523986	0.00112862	0.00272906	0.0118262
b	0.0135195	0.0356449	0.0123824	0.0771534	0.118129	0.327322	0.122049	0.111213	0.0404175	0.0221534	0.00935086	0.0272498	0.00614082	0.00595849	0.00582719	0.00747747	0.00799893	0.00526756	0.00145147	0.00177531	0.00329961	0.00394493	0.0043369	0.00424627	0.00415268	0.00510067	0.00451242	0.0010077	0.0109169
í	0.0162716	0.394019	0.0077293	0.0342425	0.0175953	0.0585931	0.291633	0.0747486	0.0234909	0.0112068	0.00692683	0.016758	0.00501003	0.00348879	0.00332761	0.00438515	0.0015	0.0016757	0.000947754	0.000664987	0.00232045	0.00340755	0.00132067	0.00352908	0.00817672	0.00183096	0.000444699	0.00168066	0.00307437
s	0.00350891	0.567224	0.000646573	0.00595415	0.00458533	0.0198719	0.231536	0.0292605	0.00631114	0.00453411	0.0224671	0.0764691	0.00343664	0.00201872	0.00160486	0.00118988	0.000844407	0.00125521	0.000202163	0.00120857	0.00145434	0.000782063	0.000780584	0.000447478	0.00370418	0.00190258	0.000615493	0.000558471	0.00562572
í	0.00668775	0.0060579	0.00494118	0.0615447	0.049658	0.378485	0.101855	0.0705152	0.00812912	0.0229946	0.0573699	0.0276966	0.0276593	0.0336754	0.0174306	0.00212503	0.006818	0.00855153	0.00470015	0.0122483	0.029792	0.0226591	0.0113735	0.00350981	0.0018076	0.00407663	0.000762757	0.000160455	0.0167147
l	0.00373761	0.0122093	0.0115763	0.107837	0.136893	0.112464	0.128271	0.231507	0.0832365	0.0667705	0.0154739	0.0102888	0.00895039	0.00680686	0.0101348	0.0079325	0.00464821	0.00378054	0.00229257	0.00342185	0.00267874	0.00221385	0.00504171	0.00240756	0.00206814	0.00322107	0.0076207	0.000772621	0.00574252
é	0.00679655	0.0162153	0.00785373	0.0866199	0.0308741	0.0459939	0.0282708	0.133843	0.0310508	0.0401569	0.0258169	0.00826234	0.0290955	0.038302	0.0319034	0.0220499	0.0431553	0.0243197	0.0101091	0.0195232	0.0156086	0.0102904	0.0739654	0.00812628	0.00173064	0.0160635	0.00931527	0.000178736	0.184509
t	0.00254676	0.00366189	0.00800562	0.0972079	0.0956941	0.0347651	0.0157698	0.117597	0.158315	0.214114	0.0214577	0.013483	0.0180852	0.0170269	0.0224539	0.0453574	0.0172168	0.0152432	0.0134258	0.00431907	0.00382462	0.00168252	0.0110662	0.00888157	0.00159766	0.00458717	0.0119097	0.000374338	0.02033
έ	0.000633064	0.00124294	0.00461865	0.0278716	0.026528	0.00545465	0.0124176	0.0450434	0.756399	0.0727705	0.00263734	0.00235723	0.00528699	0.0023638	0.00277178	0.00452264	0.00156224	0.00199381	0.00483047	0.000413896	0.000493871	0.000856194	0.00202499	0.002281	0.000647248	0.000613687	0.000873951	0.00742272	0.00306645
i	0.0007522	0.00715224	0.0022423	0.055071	0.0481814	0.0146245	0.0273309	0.0794793	0.260803	0.0878775	0.0125557	0.0172689	0.02161	0.011112	0.0120007	0.0199247	0.0148226	0.0166712	0.00366451	0.00377645	0.00332621	0.00143604	0.0146299	0.0088545	0.00904541	0.0196937	0.011287	0.0138124	0.200993
b	0.00148578	0.00125302	0.000149194	0.0065201	0.00470092	0.0172181	0.0297594	0.187344	0.12259	0.129784	0.067215	0.0778898	0.111647	0.0468278	0.0390659	0.0235381	0.021481	0.0109827	0.00173572	0.0075508	0.0102175	0.00336063	0.0161206	0.0081318	0.00968552	0.0180949	0.00714233	0.0027347	0.0157732
á	0.00211753	0.0209203	0.000139702	0.00157667	0.00135562	0.0117278	0.56028	0.076323	0.029154	0.0325904	0.0495012	0.134253	0.0279724	0.0130632	0.00680931	0.00228711	0.00206218	0.00163388	0.000905521	0.00101973	0.00315388	0.00882872	0.0015358	0.00279727	0.00420677	0.00147667	0.000303783	0.000982702	0.00102172
n	0.00069129	0.0297133	6.1404e-05	0.00273587	0.00375353	0.0087711	0.175497	0.0587644	0.0310277	0.0875456	0.189907	0.296098	0.0428261	0.015561	0.0123522	0.0186598	0.00279657	0.00209682	0.000838196	0.00108128	0.00132078	0.00147086	0.00147194	0.00134228	0.00442537	0.00165166	0.00122577	0.00135181	0.00496151
a	0.00169761	0.00406841	8.53697e-05	0.00372695	0.00416895	0.0148864	0.0374595	0.0902351	0.0228157	0.118315	0.255138	0.226443	0.0513423	0.0267401	0.019984	0.00706031	0.00427114	0.00896193	0.00509251	0.0170807	0.0112175	0.00385601	0.0111159	0.00128076	0.000570655	0.00403693	0.00229581	0.000116397	0.0459369
b	0.000116924	0.000250585	0.000444934	0.00680959	0.00852115	0.0118025	0.0173494	0.116624	0.0665857	0.374468	0.113397	0.0191709	0.0678525	0.0308051	0.0437452	0.0685915	0.0104101	0.0048753	0.00379415	0.002887	0.00261888	0.00429307	0.00609049	0.00346121	0.00160905	0.00214428	0.0077596	0.000281455	0.00324028
á	0.00429736	0.00885253	0.000691311	0.00760582	0.00249291	0.00766942	0.11957	0.131817	0.0402319	0.107759	0.071514	0.0427935	0.0853794	0.082168	0.0721729	0.0397244	0.0214668	0.0160101	0.0040476	0.00470536	0.0131964	0.0230637	0.0121321	0.0258067	0.020554	0.00941548	0.00430069	0.00263265	0.0179294
n	0.00107034	0.0154352	0.00022783	0.00741068	0.00659814	0.00291605	0.0658228	0.0635091	0.024152	0.0805102	0.143091	0.0887154	0.111709	0.0740932	0.0752312	0.119737	0.0249325	0.0101028	0.00528017	0.00302466	0.00485649	0.00726336	0.0104239	0.00803406	0.0178121	0.00685941	0.0091924	0.00417258	0.00781637
d	0.0021693	0.00213253	0.000429934	0.00549811	0.00336463	0.00569695	0.00496369	0.0355406	0.00634497	0.0779762	0.295661	0.140183	0.0937361	0.0784522	0.0684101	0.0206707	0.0124289	0.0172273	0.00821271	0.0161959	0.0126229	0.00939217	0.0273896	0.00262115	0.00136467	0.00628219	0.00570442	0.000177758	0.0391508
z	0.000246813	6.66075e-05	0.00109933	0.0042518	0.00410615	0.0099666	0.00168889	0.0240025	0.026281	0.204743	0.170603	0.0811775	0.122674	0.0789344	0.0538627	0.0590451	0.0164085	0.016814	0.0307723	0.00631308	0.00530476	0.0108374	0.0205755	0.00480553	0.000922918	0.0022648	0.00375693	0.000302825	0.0381723
é	0.000853981	0.00012582	0.00143574	0.00616191	0.0241915	0.011821	0.00198749	0.0317773	0.15835	0.252772	0.0903502	0.0179563	0.132636	0.0606199	0.0445119	0.00889884	0.00704688	0.0163011	0.0528868	0.00426957	0.00780603	0.00873675	0.00825219	0.00871558	0.00534466	0.00362669	0.00159629	0.00410934	0.0268578
s	0.000865894	0.000812837	0.00070724	0.0127707	0.0431818	0.0201023	0.00886385	0.0103061	0.00893751	0.135499	0.160738	0.0476723	0.101462	0.102011	0.0950629	0.0524596	0.0231622	0.0457844	0.0358283	0.00844993	0.0161206	0.00782582	0.00862139	0.0203993	0.0025791	0.00280772	0.0080861	0.000472451	0.0184091
i	0.000880673	0.000485073	0.000242394	0.00494069	0.0399897	0.0211267	0.00746064	0.00954705	0.0098356	0.168179	0.232075	0.0710476	0.107491	0.0664337	0.0824062	0.0270086	0.0108686	0.014527	0.0544685	0.0114762	0.0109321	0.00383047	0.00522734	0.0195786	0.00138354	0.00243457	0.00345847	0.000241564	0.0124241
b	0.00039673	9.75418e-05	0.000242311	0.00203598	0.00194237	0.00403033	0.00426608	0.033379	0.0138419	0.0580003	0.0540507	0.0249989	0.123301	0.0942087	0.118475	0.0944854	0.0830211	0.0210295	0.00854991	0.0203521	0.0163687	0.0272836	0.0744187	0.0295781	0.0205221	0.0222079	0.0291723	0.00234698	0.0173962
á	0.00297258	0.015214	0.000468326	0.00355361	0.00260627	0.00387563	0.0755558	0.0288722	0.0100803	0.0212625	0.0365925	0.0169223	0.075129	0.0852957	0.0960441	0.0264621	0.033108	0.0262558	0.0183932	0.0377978	0.0701067	0.0878647	0.0362709	0.0661176	0.0337247	0.0312229	0.0126583	0.0107453	0.0348271
a	0.00112346	0.0260172	0.00012967	0.00407912	0.0056854	0.00278621	0.0441208	0.0276332	0.00579957	0.027329	0.0925586	0.0357002	0.066043	0.0861698	0.0932359	0.0964257	0.0584009	0.0312312	0.0216227	0.0155417	0.0212944	0.0290984	0.0411937	0.0251469	0.0609556	0.0179807	0.0310284	0.0147453	0.0169234
l	0.000278138	0.000109316	0.00466835	0.00892357	0.00149667	0.000288821	0.000211811	0.00349519	0.00653257	0.0103293	0.00282927	0.00117656	0.0226929	0.0555955	0.0705115	0.318688	0.107439	0.0378682	0.0163311	0.00702135	0.0100177	0.0365045	0.0686066	0.0318366	0.0732551	0.0221009	0.0327866	0.0206293	0.027776
ώ	6.6928e-05	4.99456e-05	0.0171105	0.0309708	0.00451488	0.000284698	0.00119426	0.00214885	0.0118492	0.0338358	0.00247794	0.000582802	0.0107255	0.0355211	0.0300737	0.501182	0.0409934	0.0294338	0.0233437	0.00347944	0.00564867	0.0586642	0.0308343	0.0361409	0.0112559	0.00570779	0.0122028	0.0116179	0.0480883
b	3.00866e-05	1.87979e-05	0.000485725	0.00263606	0.00284612	3.30813e-05	0.00028245	0.000470613	0.00790397	0.0204205	0.000613334	0.000318583	0.00266262	0.0072464	0.0123946	0.737413	0.016103	0.0156958	0.0556105	0.000905992	0.00080726	0.00478703	0.00748171	0.0425779	0.00709061	0.00182352	0.013869	0.0210869	0.0163852
h	0.000380966	0.000293564	0.000403144	0.00584528	0.00322817	0.000165892	0.00440504	0.00979148	0.0483803	0.0300697	0.0056065	0.00194094	0.0314445	0.0428277	0.0489048	0.08744	0.0350594	0.0392794	0.0619945	0.018561	0.0161644	0.0286398	0.0899476	0.064956	0.0666173	0.0450313	0.0317613	0.0928134	0.0880468
ώ	3.36201e-05	3.25551e-05	2.59651e-06	0.000341579	0.00193853	0.000246949	0.00232354	0.00350009	0.0101913	0.0556073	0.0166549	0.00621145	0.0337733	0.0420307	0.048941	0.0935513	0.0371662	0.0882953	0.174816	0.0653293	0.0338736	0.0106709	0.0131346	0.0501153	0.0515596	0.0293258	0.0340222	0.0489274	0.0473829
s	0.000160672	0.00047539	2.15045e-06	0.000189794	0.000301443	0.000469503	0.00153142	0.00144847	0.0003675	0.00214113	0.0237276	0.0089812	0.0362297	0.0397279	0.0370885	0.0055141	0.0511784	0.07327	0.0179698	0.197962	0.151621	0.0200312	0.0585395	0.0188396	0.0498075	0.111213	0.0401363	0.0101151	0.0409597
á	0.000128494	0.000147175	2.04388e-05	0.00039501	0.00182286	0.000587023	0.000505724	0.000618427	0.000967063	0.00761786	0.0100762	0.00138361	0.0261394	0.0474761	0.0398306	0.0132265	0.0331735	0.108305	0.238924	0.112857	0.0899575	0.0563171	0.0395134	0.0450604	0.00825703	0.0144475	0.014856	0.00950314	0.077886
m	0.000245847	0.00035643	4.02055e-05	0.000641003	0.00374325	0.0017477	0.00194559	0.00144545	0.000542643	0.00332736	0.00565395	0.00111515	0.0142668	0.0252648	0.0213768	0.00379113	0.0340169	0.067979	0.193704	0.151687	0.197378	0.0574639	0.0569907	0.0537551	0.00559187	0.0210789	0.0394861	0.0137902	0.0215736
o	7.25107e-05	0.00122889	0.000323708	0.000290637	0.000584444	0.00611777	0.00353111	0.000439369	8.70154e-05	0.00225935	0.0104611	0.00388246	0.00290349	0.015856	0.0160009	0.0121882	0.0388457	0.034346	0.00900184	0.00481994	0.105887	0.179264	0.0103699	0.275637	0.107632	0.0276538	0.0220798	0.0150905	0.0931451
b	1.32109e-05	9.82202e-06	0.00156578	0.000618734	0.00134253	0.0013124	0.000527674	0.000919314	0.000372084	0.00755566	0.00404522	0.00102133	0.00756151	0.0269317	0.0299351	0.0290741	0.0410201	0.0639299	0.00382549	0.00847885	0.0969388	0.0386408	0.0210074	0.191308	0.116741	0.0294258	0.0611251	0.163626	0.0511273
h	6.50881e-05	9.99606e-06	3.00985e-05	0.00122487	0.00267805	0.000281005	0.00030565	0.000623397	0.00209963	0.00939566	0.000469626	4.36983e-05	0.00446	0.00976866	0.0159608	0.0452227	0.0343372	0.0601432	0.0394674	0.042762	0.0583727	0.023253	0.0245841	0.141391	0.0967167	0.0348592	0.0280451	0.280489	0.0429405
ó	0.000132302	7.33022e-06	1.70615e-05	0.000786185	0.00393471	0.00113452	0.000174321	0.000556004	0.00157125	0.0169671	0.00578537	0.000385301	0.0117396	0.0212707	0.024606	0.0177266	0.0416609	0.105377	0.140428	0.130877	0.0939877	0.0184241	0.0148636	0.052007	0.0426426	0.0287765	0.0172879	0.0279319	0.178942
</S>	0.000565219	0.000111873	9.43545e-06	0.000374932	0.00130772	0.000763535	0.000384489	0.000863015	0.00119822	0.00658138	0.00581386	0.00110317	0.0103093	0.0128132	0.0177517	0.0155523	0.0369577	0.0465028	0.0690948	0.181379	0.0938862	0.018313	0.0392405	0.0647061	0.0467886	0.0846041	0.0411122	0.0408424	0.16107
