 	ses	collègues	de	classe	l'	ont	raisonné	parce	qu'	il	est	trop	orgueilleux	</S>
n	0.00654149	0.00205614	0.00481341	0.00937154	0.0168706	0.00621749	0.0561238	0.392426	0.236981	0.0933896	0.062703	0.0400469	0.0185157	0.0539438
a	0.00391856	0.000340384	0.00603943	0.00807323	0.00634619	0.00255194	0.024687	0.307157	0.325659	0.125847	0.0265393	0.0454437	0.0215283	0.0958688
w	0.000742033	4.04476e-05	0.00230979	0.00195514	0.00601781	0.00643617	0.00151799	0.130039	0.26142	0.201094	0.228834	0.105392	0.0260739	0.028128
a	0.00660181	0.000389069	0.00521407	0.0144876	0.0176518	0.0070808	0.00687064	0.160075	0.243685	0.295939	0.129735	0.0498644	0.0105284	0.0518776
a	0.00123378	0.000235572	0.00236254	0.00187245	0.00515092	0.00204607	0.000295942	0.0578116	0.201763	0.194132	0.288464	0.172778	0.0262039	0.0456498
p	0.00111127	0.000158827	0.00613329	0.00904482	0.00614863	0.00981967	0.00518064	0.0154212	0.0197769	0.0255773	0.192717	0.486121	0.12677	0.0960198
é	4.23299e-05	5.46279e-05	0.000543871	0.00178507	0.000747127	0.000840556	0.00287721	0.0136602	0.00868806	0.0150901	0.123398	0.450601	0.278757	0.102915
n	0.000231617	0.000201341	0.000746777	0.0012417	0.00111222	0.00149179	0.00311969	0.0302756	0.0230196	0.0343475	0.138183	0.310028	0.266876	0.189126
d	0.000456511	1.84176e-05	0.000641107	0.00141866	0.00092486	0.000703587	0.00342488	0.0481628	0.045765	0.0643163	0.176515	0.420817	0.130019	0.106817
í	0.000270383	8.91152e-05	0.00116134	0.00134256	0.00206261	0.00228101	0.0039982	0.0743563	0.101787	0.0756125	0.0647499	0.359086	0.148505	0.164698
l	0.000319722	1.33707e-05	0.000956889	0.00170453	0.00228084	0.0019352	0.000510579	0.0542701	0.12765	0.146589	0.126035	0.227078	0.134881	0.175776
e	0.00172742	3.39227e-05	0.00117844	0.00269672	0.00183962	0.00163621	0.00115815	0.0223224	0.0354529	0.0288628	0.0639603	0.37361	0.265168	0.200354
t	0.000186263	3.36342e-05	0.000850081	0.000754064	0.000978103	0.000409036	0.000598107	0.0250437	0.0362623	0.0262586	0.041316	0.148305	0.587648	0.131357
á	7.87975e-05	5.61222e-05	0.000582819	0.0022054	0.00168555	0.0007672	0.00132863	0.0284607	0.0198945	0.0267383	0.0923351	0.21836	0.554598	0.0529089
á	7.42551e-05	6.15442e-05	0.000491934	0.00131356	0.00097954	0.000653412	0.000557121	0.0242431	0.0183823	0.0344023	0.0418803	0.0681647	0.761089	0.0477071
m	0.00214562	8.31995e-05	0.00324125	0.00519049	0.00390007	0.00692699	0.00117973	0.0268676	0.0775259	0.119805	0.0908659	0.120689	0.272391	0.269189
a	0.0014548	0.000512753	0.00703803	0.00824399	0.00703885	0.0124139	0.00217424	0.0395235	0.0411677	0.0787817	0.0840915	0.0588254	0.184143	0.474591
</S>	0.000115305	0.000126875	0.00111516	0.00281148	0.0023801	0.000910751	0.000427008	0.0139785	0.0169625	0.0230289	0.0439956	0.0719358	0.497078	0.325134
