 	la	manière	dont	il	m'	a	brimé	dans	le	partage	du	gibier	montre	qu'	il	est	avide	</S>
y	0.00131304	0.00214009	0.0114348	0.00672501	0.0891219	0.0243825	0.0136093	0.00946601	0.037297	0.0310255	0.0930652	0.369052	0.146169	0.0935147	0.0456527	0.00651298	0.000575525	0.018943
a	0.00124118	0.00114223	0.00533427	0.00143183	0.0441635	0.0183926	0.0153027	0.00695677	0.027192	0.0447782	0.0984393	0.471558	0.135527	0.0670616	0.0328548	0.0106598	0.0045132	0.0134514
m	8.07477e-05	5.57652e-05	0.000557116	0.00164017	0.0139714	0.0153243	0.0246739	0.0305031	0.0587813	0.097728	0.125386	0.165688	0.185513	0.029439	0.0510064	0.0996327	0.0178945	0.0821243
a	0.0239807	0.00414777	0.00369645	0.00921623	0.0197125	0.0504935	0.0505921	0.0314489	0.0355509	0.0553302	0.209512	0.0516299	0.159921	0.0774379	0.0559123	0.0599909	0.035523	0.0659042
é	0.000825754	0.000898508	0.00161584	0.00841025	0.0171257	0.0191654	0.011009	0.0236718	0.0226295	0.0080539	0.0425169	0.013332	0.0662246	0.0987355	0.179442	0.350334	0.0142454	0.121764
d	0.000481419	0.00046301	0.00103938	0.00412198	0.00699299	0.0171385	0.0121045	0.02209	0.016602	0.0212165	0.0339976	0.00394851	0.0267752	0.0217348	0.0936742	0.499825	0.13631	0.0814844
i	0.000188181	0.000722033	0.000479853	0.00216451	0.00999262	0.0147156	0.00733653	0.0368166	0.0143915	0.00955135	0.0222884	0.00511721	0.0177558	0.0179749	0.0535158	0.43199	0.079914	0.275085
y	0.00133484	0.00164645	0.00095644	0.00270867	0.0153443	0.0112708	0.00922125	0.0270507	0.01786	0.00499264	0.0392025	0.0149257	0.0227145	0.019525	0.0400514	0.466469	0.132522	0.172203
u	0.00046899	0.00188231	0.00302083	0.00249764	0.00931813	0.00823176	0.00866425	0.0100261	0.00946849	0.00711818	0.0247	0.0176794	0.0184887	0.0286727	0.0463806	0.135538	0.513666	0.154177
l	0.000534407	0.000561486	0.0010019	0.0025884	0.0129281	0.00673646	0.01097	0.0144054	0.0121885	0.0064265	0.0722397	0.0231208	0.0257413	0.0257161	0.0174625	0.101072	0.247558	0.418749
u	0.00112231	0.000357223	0.000710637	0.00567467	0.0128896	0.0113849	0.00928436	0.0214526	0.0214942	0.00556219	0.0595274	0.0244618	0.0293814	0.0455113	0.0756087	0.262955	0.14818	0.264442
</S>	0.000104975	0.000201682	0.000247571	0.00099941	0.00305317	0.00291786	0.00352368	0.00684394	0.00565222	0.00251777	0.0229282	0.00880349	0.0181151	0.0171836	0.0301663	0.194476	0.133107	0.549159
