 	alembe	ongoli	olembe	loange	abela	tsaangi	okoo	okonda	et	mboo	</S>
l	0.000107015	0.000967532	3.1366e-05	0.00155465	0.00311238	0.116576	0.163098	0.287661	0.232077	0.0274571	0.167358
a	0.000127194	0.000395972	0.000400976	0.00122779	0.00420248	0.0892706	0.0789509	0.350057	0.11173	0.0416669	0.32197
t	1.15496e-05	0.000388266	6.94184e-05	0.00170807	0.00443865	0.0711635	0.0720552	0.314024	0.359768	0.0909237	0.0854494
s	2.81622e-05	0.00051559	0.000320393	0.000682435	0.00240195	0.0933991	0.0190566	0.599023	0.127245	0.0623707	0.094957
a	4.20515e-06	0.000166086	0.000292398	0.000188111	0.00486686	0.0770965	0.0296312	0.652495	0.0699717	0.0700284	0.0952592
a	4.29218e-05	0.000867116	0.000352826	0.000990042	0.00223552	0.051549	0.148727	0.50732	0.0848247	0.0440388	0.159052
n	2.5368e-05	0.00127435	4.46549e-05	0.00347777	0.000852191	0.0162949	0.0418082	0.252254	0.448703	0.0812416	0.154023
g	7.45383e-05	0.000876022	0.00036285	0.0261328	0.00379095	0.0166334	0.272614	0.198211	0.235905	0.0721554	0.173244
í	2.41046e-05	0.000189069	0.000342328	0.030686	0.00504543	0.0300124	0.436471	0.129731	0.19942	0.0714515	0.096627
o	1.94469e-06	0.000120171	7.49384e-05	0.00517919	0.00236451	0.046486	0.100881	0.124574	0.247762	0.0921352	0.380422
k	8.34868e-06	0.000192843	0.000151096	0.00317135	0.000912243	0.00895173	0.00537114	0.101149	0.142028	0.52882	0.209244
ó	6.94698e-06	0.000105259	0.000371626	0.000493806	0.00189567	0.0201807	0.00123189	0.206681	0.164061	0.427401	0.177572
ó	2.90563e-06	0.00050853	0.000880248	0.000489187	0.00261566	0.0243612	0.0053529	0.13714	0.0980223	0.473496	0.257131
o	1.96586e-05	0.00121062	0.000147282	0.00459281	0.00166999	0.0124325	0.0251107	0.107926	0.374983	0.180974	0.290933
k	9.36305e-06	0.000979688	0.000262155	0.00758959	0.00223106	0.0107528	0.00891949	0.0762769	0.210554	0.511922	0.170504
o	8.91017e-06	0.000206443	0.000475206	0.000787021	0.00225356	0.0145776	0.000584918	0.0712775	0.103874	0.467693	0.338262
n	1.62843e-05	0.000819629	0.00675134	0.000732913	0.00898472	0.0412741	0.00371501	0.124986	0.0749502	0.472738	0.265031
d	4.16015e-05	0.00179909	0.00498654	0.0049876	0.0177695	0.0414825	0.00276552	0.0706959	0.0554841	0.392077	0.407911
a	5.35321e-05	0.000966369	0.00135389	0.00312957	0.0213185	0.0557824	0.00609614	0.0796067	0.0260905	0.280931	0.524671
d	0.000124238	0.000503647	8.60559e-05	0.00705115	0.00200666	0.0180837	0.0133892	0.0638868	0.179458	0.244717	0.470694
z	1.2474e-06	0.00010199	5.97616e-05	0.000841242	0.000344478	0.00297644	0.00448387	0.0707651	0.17472	0.0979258	0.64778
a	4.37687e-05	0.00113829	0.0113229	0.00904367	0.0025726	0.00948237	0.0561496	0.299982	0.124328	0.182744	0.303193
a	1.55543e-05	0.000181331	0.000210906	0.000506593	0.00026647	0.00805296	0.00824625	0.106172	0.062005	0.143111	0.671232
m	3.33776e-05	0.000559871	5.10864e-05	0.00602186	0.00112076	0.0117119	0.0239631	0.0384275	0.208171	0.163477	0.546462
ó	2.97221e-05	0.00157677	0.000950216	0.00553272	0.00955779	0.0406539	0.0292048	0.077117	0.253268	0.201703	0.380407
m	1.51567e-05	0.000598214	0.000258555	0.00456208	0.00193547	0.0050049	0.00639957	0.0247839	0.452378	0.225473	0.278592
b	0.000102731	0.000897636	0.00361971	0.0071472	0.0129906	0.017031	0.054638	0.047305	0.176412	0.443672	0.236184
ω	0.000187133	0.000146272	0.00145592	0.000383258	0.00533246	0.00744741	0.00993913	0.0355675	0.0190736	0.494036	0.426431
ω	2.28394e-05	0.000115248	0.000694168	7.54692e-05	0.00705583	0.0208614	0.00304791	0.0247577	0.015222	0.491508	0.43664
</S>	4.5178e-05	0.000426119	8.36012e-05	0.00275253	0.00127608	0.0125147	0.00660422	0.0312816	0.250671	0.109646	0.584699
