 	les	étrangers	qui	sont	arrivés	dans	le	village	ont	débarqué	chez	le	notable	</S>
o	0.00031604	0.00022905	0.00292494	0.0165557	0.00653974	0.0217707	0.104198	0.833444	0.0060063	0.00171784	0.000531577	0.00170249	0.00153967	0.00252354
b	0.00278962	0.00086568	0.00839399	0.0350983	0.0828678	0.276853	0.35382	0.0922692	0.0903962	0.0213855	0.008228	0.0126119	0.00155449	0.0128668
h	0.0202424	0.00561972	0.0129456	0.0394395	0.0569969	0.189985	0.366759	0.0965571	0.0779466	0.0118328	0.0121733	0.0173103	0.00911965	0.0830725
á	0.00939012	0.0085183	0.00749235	0.0366258	0.0637985	0.149797	0.270087	0.155109	0.0580592	0.0149242	0.0827031	0.00741273	0.00544508	0.130638
á	0.00171359	0.000427774	0.00475332	0.0374279	0.0912121	0.167694	0.197427	0.230768	0.142682	0.0309901	0.0453471	0.0129512	0.0041165	0.0324897
s	0.00638288	0.001157	0.00356361	0.0178441	0.0401927	0.119257	0.0839158	0.0199786	0.134358	0.450523	0.0327407	0.0335447	0.0127527	0.0437879
ε	0.00169881	0.000210023	0.00130342	0.00464944	0.0976016	0.0846071	0.0600145	0.00190099	0.0130683	0.614208	0.0489804	0.010404	0.0015319	0.0598221
m	0.00109506	0.00015108	0.00180769	0.0080857	0.0125585	0.0808582	0.208982	0.0590978	0.0326279	0.407794	0.0664843	0.0494914	0.00885206	0.0621146
i	0.00238129	0.000497062	0.00304879	0.0121673	0.0064046	0.0354464	0.104216	0.0213552	0.118009	0.204029	0.0741008	0.0509845	0.256665	0.110695
m	0.00171372	0.000239361	0.00161495	0.0070433	0.00538833	0.0455428	0.0996075	0.0136003	0.212949	0.154065	0.154823	0.115208	0.0888357	0.0993685
b	0.00398743	0.00114614	0.00226432	0.001787	0.000268799	0.00230386	0.00597843	0.000980719	0.0528997	0.0134767	0.191814	0.0184507	0.662928	0.0417136
v	0.00265069	0.00251247	0.000648235	0.000805356	0.000406664	0.00127441	0.00498372	0.000574947	0.00662527	0.0080103	0.77663	0.00499874	0.170432	0.0194469
á	0.000948694	0.00314899	0.000698731	0.0010776	0.00146926	0.00390041	0.011265	0.000824029	0.00865489	0.020518	0.840775	0.00291039	0.0529152	0.0508934
a	0.00158657	0.00157476	0.00112208	0.00170068	0.00176968	0.0118121	0.0514605	0.00701701	0.0127219	0.0393648	0.640419	0.0262353	0.117877	0.0853392
m	0.00100947	7.39532e-05	0.00250999	0.00870861	0.00587304	0.0205386	0.0235834	0.00657915	0.145853	0.10119	0.14855	0.397345	0.0397072	0.0984786
w	0.00298208	0.000739318	0.00167676	0.000842085	9.15556e-05	0.000591889	0.00231018	0.000446595	0.0193168	0.00644775	0.142094	0.0303494	0.741654	0.050457
ε	0.00209531	0.000727527	0.000153479	0.000456716	0.00205215	0.0010634	0.00194467	0.000558543	0.00576551	0.00356219	0.305865	0.0040674	0.661598	0.01009
n	0.000763413	0.000409827	0.000100253	0.000236422	0.00043341	0.00210324	0.00866822	0.00121298	0.00680662	0.0108704	0.212968	0.0263159	0.547023	0.182089
έ	0.00147763	0.00204727	0.00196533	0.0012739	0.0032342	0.0165249	0.0452161	0.00394753	0.0145402	0.114032	0.317551	0.0877076	0.13921	0.251272
</S>	0.00132003	4.05314e-05	0.000591032	0.00191944	0.00146512	0.00807736	0.00808449	0.00133301	0.0451498	0.0736952	0.0569318	0.309089	0.00835859	0.483944
