 	la	manière	dont	s'	embourbé	leur	véhicule	ils	ne	s'	en	sortiront	pas	aujourd'	hui	</S>
á	0.00850213	0.000790237	0.000254599	0.000334348	0.000479404	0.00179163	0.0140579	0.0105346	0.0234588	0.0270024	0.0755815	0.215922	0.317259	0.115666	0.00299182	0.185374
o	0.00100791	0.000282618	0.00114275	0.00267752	0.000940176	0.00518451	0.000965015	0.0187262	0.0254765	0.0491934	0.148368	0.081216	0.216296	0.278878	0.0834328	0.0862136
p	0.000662613	0.000441941	0.000472754	0.00302145	0.00145236	0.00437842	0.00842072	0.00255872	0.0169775	0.0435	0.125758	0.212627	0.388449	0.109989	0.0081203	0.0731701
f	7.02282e-05	0.000499164	0.000140756	0.000218606	0.000376942	0.00017574	0.0215425	0.000374878	0.0100549	0.0119783	0.0499269	0.557941	0.247332	0.0336826	0.017208	0.048478
ú	2.16944e-05	0.000217043	6.62781e-05	3.46397e-05	6.10119e-05	0.000101993	0.0047537	0.000145357	0.00444969	0.0071167	0.0407459	0.583771	0.250209	0.048398	0.013429	0.0464794
á	0.00143285	0.000601442	0.000381192	0.000361335	0.000821435	0.00786434	0.00979821	0.00443207	0.0116197	0.0145721	0.0763834	0.389083	0.315713	0.109812	0.0364491	0.020675
p	0.001275	0.000282937	0.000907833	0.00513554	0.000733777	0.00377308	0.000688914	0.025462	0.0143606	0.029937	0.0644966	0.0182535	0.188765	0.382437	0.0582075	0.205284
á	0.000599653	0.00101705	0.000400628	0.000420369	0.00129935	0.00154303	0.00441166	0.00157004	0.00579151	0.00352865	0.0160219	0.167524	0.0768356	0.060254	0.550529	0.108254
b	0.000540729	0.000233092	0.000267811	0.000905965	0.00138003	0.00197164	0.00115866	0.00143136	0.00153577	0.00126106	0.00531958	0.0232209	0.0104602	0.0132287	0.915697	0.0213874
h	0.000142557	2.12022e-05	3.43671e-06	0.000340403	0.00767442	0.00580404	0.00482886	0.0158441	0.00189905	0.00941775	0.0293358	0.216001	0.0564952	0.0762612	0.395443	0.180489
a	0.000877399	0.000159855	0.000112617	0.00180655	0.0134428	0.00523688	0.00386028	0.0478299	0.0112718	0.0283082	0.0754253	0.133014	0.0850955	0.126818	0.310598	0.156143
k	0.000954944	0.000249069	0.000763471	0.000489078	0.000741163	0.00376562	0.00178756	0.00449796	0.0136057	0.0208397	0.0497543	0.070287	0.227165	0.199992	0.116743	0.288364
a	0.000365096	0.000821311	0.000374734	0.000638371	0.00543128	0.0144169	0.0125126	0.00645328	0.0123896	0.0113346	0.0216627	0.0983158	0.188682	0.122044	0.144304	0.360254
á	0.000266888	0.000300066	0.000288852	0.00133379	0.00387057	0.00420033	0.0038149	0.00667388	0.00818345	0.00945954	0.0315442	0.115412	0.119079	0.0691592	0.18424	0.442174
</S>	0.000886502	0.000175764	0.000944085	0.0105611	0.00646406	0.0387401	0.000752664	0.040473	0.0118014	0.0389493	0.0258817	0.0041728	0.0531455	0.100802	0.038325	0.627925
