 	la	manière	dont	ils	ont	déboucher	mon	étang	m'	a	énervé	</S>
ε	0.00114104	9.86805e-05	0.00437202	0.00503323	0.0136996	0.0489695	0.118034	0.16547	0.0425775	0.128013	0.158512	0.314078
n	0.0068079	0.00225353	0.0121971	0.0121564	0.00918859	0.00207692	0.0681176	0.0313932	0.171755	0.296033	0.126693	0.261328
g	0.0084924	0.0016776	0.00299545	0.00502608	0.00152587	4.60076e-05	0.0266252	0.0489373	0.616281	0.0549886	0.150147	0.0832581
á	0.00068223	0.0011575	0.00414106	0.0105511	0.00281729	2.06727e-05	0.0524566	0.0701605	0.746336	0.0255233	0.0513657	0.0347876
k	0.00143616	0.000135091	0.00244963	0.000318244	0.00127951	0.00181692	0.0108482	0.0348084	0.0500272	0.117454	0.658756	0.120671
y	6.12483e-05	0.000107457	0.00021235	0.00138117	0.000637998	0.0042501	0.00443601	0.0505773	0.00699944	0.0551494	0.828617	0.0475704
έ	8.73711e-05	5.01881e-05	0.000228825	0.000172246	0.000133969	0.00582776	0.00124396	0.0220058	0.00424158	0.00896988	0.92229	0.0347483
r	0.000108461	2.01382e-05	0.00151332	0.000605392	0.000204206	0.0170391	0.00381998	0.042084	0.0577222	0.0147389	0.799248	0.0628958
ε	0.000607277	0.000238716	0.00621027	0.00435813	0.00204204	0.0022667	0.0259774	0.0701699	0.112623	0.0818397	0.57577	0.117896
</S>	0.000909297	6.28379e-05	0.0025719	0.000148836	0.000547315	0.00011696	0.00345848	0.0031468	0.00972085	0.114183	0.109698	0.755436
