 	la	manière	de	voler	de	la	poule	est	différente	de	celle	d'	un	oiseau	</S>
d	0.00214755	0.00544543	0.0143446	0.0855416	0.126827	0.157025	0.119374	0.15236	0.151337	0.0469675	0.0434826	0.029914	0.00448383	0.00121568	0.0595344
i	0.0165848	0.0341864	0.0083561	0.0411102	0.0340535	0.190979	0.0397251	0.119956	0.0442561	0.0784029	0.185229	0.0417376	0.0112524	0.00138614	0.152784
p	0.0145238	0.00916199	0.0102154	0.0515245	0.0712501	0.2069	0.126429	0.149637	0.095478	0.0950737	0.0524408	0.0623739	0.0180635	0.00163795	0.0352905
é	0.00042344	0.000788986	0.00157724	0.0153413	0.0217765	0.0391844	0.188629	0.0521607	0.601616	0.010193	0.0231807	0.0261377	0.00302572	0.000381738	0.0155836
r	8.32615e-05	7.94281e-05	0.000830496	0.00719079	0.0180509	0.0290653	0.0568305	0.0754302	0.60164	0.0278574	0.0431817	0.042008	0.00741079	0.0015596	0.088782
é	0.00138868	0.00101432	0.00200658	0.00774531	0.0258209	0.0692016	0.172829	0.088862	0.429919	0.0601327	0.0369799	0.0458106	0.0114882	0.00719455	0.0396065
n	0.000492099	0.000592801	0.00458486	0.0111722	0.0219954	0.0439597	0.0194187	0.16798	0.187802	0.253485	0.118846	0.114648	0.0228673	0.00408616	0.0280689
á	0.00369782	0.00594951	0.00861726	0.00432636	0.00912948	0.0351556	0.0122394	0.0846366	0.292142	0.163422	0.201144	0.0660014	0.024762	0.041195	0.0475813
l	0.000357328	0.000538111	0.00256895	0.00370734	0.00537605	0.0136584	0.005499	0.0897759	0.0941195	0.33382	0.210672	0.127987	0.032762	0.0221791	0.0569796
a	0.00491906	0.00920831	0.00431596	0.00685033	0.00656484	0.00961093	0.00187758	0.0323743	0.282519	0.119526	0.178353	0.14442	0.0430988	0.0343818	0.12198
y	0.001095	0.00161106	0.0025708	0.0022297	0.00280338	0.00655374	0.00689557	0.0339207	0.119601	0.191827	0.296289	0.153555	0.0674766	0.0486785	0.0648932
á	0.00215994	0.00449179	0.00376301	0.00614169	0.00385827	0.0101904	0.00528297	0.0108166	0.125537	0.073491	0.597664	0.0611766	0.0306857	0.0354756	0.0292653
n	0.00128839	0.00315862	0.0030352	0.00244932	0.00206567	0.00617071	0.00506342	0.0189068	0.0509055	0.162998	0.411017	0.105971	0.0773195	0.047682	0.101969
y	0.00045196	0.00115792	0.00232195	0.00050857	0.00100536	0.00477099	0.00183677	0.00722626	0.028413	0.0621642	0.26946	0.0335713	0.0399843	0.515855	0.0312717
ω	0.000588407	0.0020016	0.00106265	0.000157965	0.000252929	0.00149842	0.00299189	0.0023156	0.0223168	0.0228621	0.164242	0.0162571	0.0225776	0.719059	0.0218158
s	4.33952e-05	9.36716e-05	0.000285718	0.000432218	0.000540136	0.0015451	0.00268768	0.00334941	0.0244088	0.00823769	0.0403601	0.0188973	0.0152875	0.852632	0.0311994
í	0.00129873	0.000820613	0.000262717	0.000395279	0.000926252	0.00317063	0.00304776	0.0186519	0.231436	0.0549611	0.103765	0.239706	0.0675671	0.0585044	0.215486
</S>	0.00234431	0.0022445	0.00295476	0.00249924	0.00178033	0.00213524	0.000372615	0.0189845	0.013127	0.0559263	0.0431954	0.0854758	0.0875035	0.0132966	0.66816
