 	il	a	contourné	ma	parcelle	parce	qu'	il	me	doit	de	l'	argent	</S>
n	0.000499224	0.017996	0.595459	0.0601437	0.193636	0.0278327	0.00534846	0.00338431	0.00120628	0.0233737	0.0303479	0.00897705	0.00417532	0.0276203
d	0.0033455	0.0173266	0.373266	0.107979	0.242309	0.0291016	0.0180539	0.00685485	0.00678756	0.0277076	0.036363	0.0176221	0.007459	0.105824
u	0.0188429	0.031036	0.0886793	0.193784	0.465805	0.0616625	0.0278026	0.0164336	0.0149352	0.00957123	0.0133601	0.0109325	0.00964132	0.0375132
y	0.0167227	0.0580637	0.0599945	0.224676	0.344074	0.0933783	0.0990547	0.0257412	0.00682819	0.0142766	0.0126188	0.0109319	0.000950124	0.0326893
á	0.0116162	0.0195076	0.0159893	0.233768	0.330478	0.133522	0.144807	0.0522793	0.0135143	0.00539075	0.00485112	0.00954369	0.00472751	0.020005
n	0.0101032	0.00619155	0.0163754	0.183294	0.197386	0.239716	0.138647	0.14712	0.037395	0.00822648	0.00373335	0.00440177	0.00435599	0.00305418
g	0.00219472	0.00164984	0.00490451	0.345686	0.0676282	0.0574991	0.0309519	0.0616382	0.393427	0.00835895	0.00393628	0.00475378	0.0109132	0.00645849
á	0.00097216	0.00104328	0.00235675	0.305114	0.0316891	0.0472565	0.025136	0.0683835	0.450966	0.0133411	0.00840414	0.00724512	0.0290494	0.00904275
t	0.00101525	0.00392182	0.00227813	0.0305166	0.0560786	0.129637	0.364337	0.157722	0.0585287	0.108345	0.0386606	0.0269267	0.00779851	0.0142344
s	0.00469385	0.00360955	0.00249956	0.0215797	0.183953	0.350045	0.195521	0.0928187	0.0114805	0.0631083	0.0223784	0.0136867	0.00342938	0.031197
i	0.000356381	0.000934033	0.0192541	0.0137677	0.19367	0.341499	0.0790247	0.0883722	0.0222619	0.129274	0.0465646	0.018602	0.00302589	0.0433942
n	0.00185296	0.00129506	0.0075124	0.0746682	0.114481	0.203272	0.173348	0.181296	0.117231	0.041468	0.0126508	0.00998145	0.00368771	0.0572559
a	0.00239979	0.00127253	0.0038016	0.0361882	0.0450549	0.0790228	0.141191	0.226489	0.288056	0.0229145	0.00746588	0.00934111	0.0378775	0.0989251
w	0.00177428	0.00347078	0.00145347	0.0188934	0.0234238	0.03237	0.132402	0.273752	0.21189	0.17394	0.0611007	0.0437744	0.00146065	0.0202944
a	0.00229748	0.00359536	0.00163323	0.0193301	0.046242	0.102337	0.200861	0.232028	0.0704664	0.151263	0.0426453	0.0429515	0.0198768	0.0644738
a	0.00117211	0.00125808	0.000392366	0.00849876	0.00909274	0.0314176	0.272485	0.197269	0.107259	0.223998	0.0526597	0.0553154	0.0014892	0.0376929
d	0.00147451	0.0412718	0.0174704	0.0260551	0.0212295	0.0160036	0.00975954	0.0356954	0.0698353	0.327573	0.230119	0.0853262	0.00150164	0.116686
i	0.000843177	0.0142117	0.0356945	0.0376502	0.016026	0.00800812	0.0115274	0.0822472	0.0833588	0.117718	0.206208	0.0945063	0.00152061	0.29048
n	0.000179383	0.00193317	0.0287389	0.0256343	0.0237215	0.00591516	0.0148034	0.0278899	0.031979	0.129014	0.356061	0.21417	0.0079669	0.131993
g	0.000128953	0.000304903	0.00489567	0.0343996	0.0076001	0.00243795	0.0117489	0.0617979	0.594596	0.0338406	0.06262	0.0538256	0.0457655	0.0860387
á	1.69368e-05	0.000124585	0.000557707	0.0407421	0.00716942	0.00535659	0.0124482	0.0394293	0.490849	0.0398691	0.085254	0.0800455	0.13497	0.0631672
l	4.53291e-05	0.000164956	0.000688601	0.00143224	0.00312085	0.00116405	0.0275877	0.0155669	0.0129981	0.0699392	0.280198	0.376726	0.0627067	0.147661
e	0.000146733	0.0010582	0.00143539	0.00408729	0.00667109	0.00644309	0.00991033	0.012205	0.0280421	0.130098	0.195029	0.17753	0.0368564	0.390487
b	9.72139e-05	0.000607259	0.000704716	0.00153256	0.00278421	0.00267084	0.0124418	0.00808757	0.00971726	0.0454996	0.110585	0.198776	0.19335	0.413146
y	0.00027695	0.000961213	0.00268446	0.00857852	0.018169	0.0377963	0.012213	0.0365699	0.0431978	0.11625	0.177506	0.229102	0.259043	0.0576512
é	0.000144743	0.00024315	0.00164692	0.000722437	0.00406075	0.00653499	0.00421843	0.00734256	0.0058474	0.0930286	0.238562	0.184369	0.272205	0.181075
m	7.76776e-05	0.000159629	0.00174842	0.00123504	0.00740988	0.00361209	0.0112941	0.0112017	0.0109617	0.0814306	0.252032	0.259711	0.14503	0.214096
b	9.81262e-05	0.00020699	0.000430821	0.00147367	0.00361869	0.00152964	0.01145	0.0078812	0.00535877	0.0115718	0.0678704	0.12733	0.631618	0.129563
o	0.000172573	0.000109187	0.0021716	0.00192358	0.00508207	0.00177628	0.00560568	0.00521135	0.00787112	0.0132943	0.052045	0.0544874	0.600379	0.249871
</S>	6.77794e-05	0.000175886	0.00108924	0.000980426	0.00375278	0.00200119	0.00939714	0.0079552	0.00606604	0.0498356	0.116256	0.144455	0.127738	0.53023
