 	cette	jeune	fille	garde	rancune	contre	toi	parce	que	tu	avais	refusé	de	l'	épouser	</S>
f	0.00413509	0.000385444	0.00328145	0.248605	0.411748	0.205789	0.0352059	0.0124567	0.00766983	0.00492265	0.00524108	0.0107034	0.00753816	0.00422018	0.00936171	0.0287362
u	0.000421646	0.000214501	0.00461777	0.155933	0.677639	0.098578	0.00827276	0.00719403	0.0036493	0.00238463	0.00534385	0.0141195	0.0043199	0.00067848	0.0100622	0.00657174
l	0.0127518	0.000104156	0.000307234	0.0733785	0.759287	0.0295139	0.00459742	0.00158666	0.0020173	0.00167292	0.00668362	0.00181861	0.015248	0.00424205	0.0167662	0.0700246
u	0.0361228	7.81272e-05	0.000303772	0.0327134	0.475041	0.128062	0.0711995	0.0166095	0.0132444	0.00940301	0.0172657	0.0106378	0.0597549	0.0348842	0.0219395	0.0727407
l	0.00302914	0.000138234	0.00151283	0.0736857	0.249439	0.335787	0.124859	0.0851701	0.043399	0.0114203	0.0125469	0.00350618	0.0187049	0.0125559	0.00292233	0.0213234
a	0.00184086	6.35999e-05	0.000726767	0.026082	0.230434	0.2392	0.139579	0.06297	0.0401721	0.0356122	0.0344617	0.0225314	0.0455564	0.0210283	0.00442922	0.0953119
n	0.00231176	6.77858e-05	0.00133256	0.0117257	0.0180542	0.291915	0.250585	0.204275	0.104234	0.0368443	0.0212654	0.0152489	0.00901237	0.0102475	0.00365531	0.0192243
ω	0.0129203	0.000188254	0.01135	0.00496039	0.00382993	0.132551	0.695751	0.0360602	0.0290632	0.0478934	0.00202502	0.0105697	0.00435409	0.00370915	0.00131991	0.00345482
t	0.000613313	0.000415381	0.00736788	0.0586423	0.0257792	0.343066	0.165839	0.134026	0.0890269	0.0725595	0.0220077	0.0374924	0.0175896	0.0084143	0.0023109	0.01485
s	0.00924168	0.000125202	0.000482109	0.00435928	0.159658	0.0962456	0.108842	0.13957	0.150022	0.0626756	0.158751	0.0185345	0.0308282	0.0114351	0.0155518	0.0336782
í	0.0014596	2.63969e-05	0.000166295	0.00661423	0.0632522	0.138308	0.108177	0.112769	0.155826	0.0852984	0.0725988	0.0992908	0.0399017	0.0172885	0.0243436	0.0746792
n	0.00299502	0.000143169	0.00266716	0.00457171	0.0257809	0.141469	0.203366	0.205026	0.132452	0.130172	0.0533296	0.0579222	0.00737905	0.00347396	0.00564718	0.0236048
a	0.00947588	0.00168658	0.0170903	0.00223575	0.00202622	0.06009	0.423652	0.10612	0.0702966	0.169704	0.00448491	0.0355391	0.0040457	0.00339276	0.00735675	0.0828039
n	0.000876938	9.90339e-05	0.000389673	0.00114232	0.00260864	0.0176715	0.0555672	0.159544	0.263141	0.26878	0.141052	0.0400036	0.0211514	0.015243	0.000906757	0.0118229
ω	0.00649075	0.000637839	0.0113232	0.00201854	0.0024304	0.0283496	0.241206	0.0617114	0.109665	0.381154	0.010723	0.066856	0.0154415	0.00771356	0.00133859	0.0529415
l	0.000177929	8.771e-05	0.00103866	0.00550623	0.00290222	0.0745888	0.0771464	0.160601	0.181623	0.245104	0.0745198	0.0956835	0.0401816	0.0195237	0.0019448	0.0193707
a	0.00352188	0.000243368	0.000445009	0.00283842	0.0118295	0.0242823	0.0428598	0.0848329	0.127187	0.184636	0.163034	0.104891	0.0786753	0.033216	0.00555579	0.131952
t	0.000278848	4.406e-05	0.000309194	0.000908741	0.00162211	0.0289417	0.0590579	0.132324	0.202572	0.121393	0.186728	0.0756788	0.0754871	0.0821664	0.00733174	0.0251567
ó	0.000625466	0.000101251	0.000711685	0.00196511	0.0131446	0.0237269	0.0283096	0.0723756	0.107918	0.110187	0.302026	0.218016	0.0533228	0.0165241	0.0271109	0.0239359
n	0.00107369	9.45179e-05	0.000148799	0.00191692	0.00806418	0.0203495	0.0138622	0.0479611	0.0961606	0.0978579	0.218189	0.230961	0.0922639	0.0321293	0.00716945	0.131798
á	0.00257266	0.000388256	0.000932325	0.00403472	0.00928818	0.0132882	0.0233916	0.0344679	0.0592783	0.145146	0.154192	0.315213	0.0952102	0.0176045	0.0320978	0.0928946
o	0.000962138	3.18142e-05	0.000141931	0.000540789	0.00239329	0.00633095	0.0147129	0.0413763	0.0853133	0.0912119	0.142696	0.0687705	0.240525	0.203239	0.0185698	0.0831857
b	0.000568394	7.03963e-05	0.000505945	0.00222581	0.00539003	0.00284125	0.00161612	0.00413548	0.0108439	0.0230558	0.0644901	0.174781	0.305295	0.157234	0.151104	0.0958416
a	3.02598e-05	0.000153664	0.000542268	0.00345159	0.00338919	0.00516417	0.00105744	0.00416618	0.00485548	0.0035079	0.0185246	0.0487565	0.0810294	0.0295226	0.768141	0.0277075
n	0.000294081	8.74069e-05	0.000237644	0.00135102	0.00381411	0.00500051	0.00241449	0.00961949	0.0122438	0.0139439	0.0662541	0.117421	0.157648	0.0494518	0.32159	0.238628
d	0.000808468	4.9201e-05	7.58646e-05	0.000930004	0.00386456	0.00577082	0.0108286	0.0135002	0.031423	0.0658785	0.0689599	0.190213	0.232636	0.0894306	0.0765837	0.209048
á	0.00219228	0.000215001	0.000582576	0.00242591	0.00872286	0.0106891	0.0139933	0.0146682	0.0422067	0.0704743	0.0314756	0.139261	0.139256	0.0785097	0.0893349	0.355993
w	0.00165156	4.76011e-05	6.1847e-05	0.000268076	0.000868917	0.00335279	0.00365133	0.0119925	0.0263684	0.0253511	0.0301244	0.0195882	0.182703	0.382661	0.0389632	0.272345
a	0.0043668	6.87257e-05	0.000184724	0.000633767	0.00427821	0.00804658	0.0113372	0.0366065	0.0741499	0.0867307	0.128245	0.0717662	0.164603	0.187086	0.0925331	0.129363
</S>	0.00329168	0.000103169	0.000181872	0.000357706	0.000921702	0.00201814	0.00183575	0.00769169	0.014389	0.01592	0.0342495	0.0215127	0.111804	0.252165	0.102405	0.431154
