 	les	enseignants	n'	ont	pas	fait	cours	aujoud'	hui	parce	que	les	murs	de	l'	école	sont	devenus	penchés	</S>
o	0.000612244	8.50561e-05	0.00231771	0.00294644	0.0135394	0.040789	0.137043	0.348201	0.155936	0.121673	0.06284	0.0212169	0.017226	0.0120295	0.0093395	0.0112496	0.00507608	0.00402398	0.00341807	0.0304384
k	0.000490383	0.001159	0.00366439	0.00764914	0.0290844	0.054132	0.134219	0.372489	0.100319	0.095166	0.0718479	0.0335497	0.0211703	0.0160304	0.0117445	0.00658282	0.00285037	0.0106728	0.0118553	0.0153247
y	4.48829e-05	3.44765e-05	0.000337631	0.00114355	0.00634407	0.0433156	0.0949749	0.405097	0.0956257	0.0487356	0.0631286	0.0411213	0.0226691	0.0317746	0.0337096	0.0189989	0.00383522	0.0214819	0.0493425	0.0182851
a	0.000122441	5.39472e-05	0.000560689	0.000873068	0.00828781	0.0128058	0.035157	0.468134	0.0577923	0.0517615	0.0545148	0.0562555	0.0224347	0.0415614	0.0845821	0.0515168	0.00524734	0.00662524	0.0205423	0.0211715
k	9.47669e-05	4.45769e-05	0.000504972	0.00114126	0.00324252	0.0104238	0.01602	0.382961	0.375987	0.0902538	0.0258952	0.0147727	0.00487189	0.00664224	0.00590223	0.00961692	0.00565616	0.00393307	0.00169201	0.0403436
a	0.000267598	3.45237e-05	0.000298499	0.000576635	0.00143761	0.0021562	0.00305622	0.149007	0.143049	0.196987	0.109389	0.0730147	0.0401124	0.0246219	0.0486565	0.125685	0.00760848	0.00634771	0.013272	0.0544223
á	8.48138e-05	5.06429e-05	0.00039978	0.00111094	0.00102238	0.00256248	0.00489091	0.160865	0.241638	0.161065	0.0919214	0.0722483	0.0423701	0.0210049	0.0244222	0.0657307	0.00853851	0.0123906	0.00989807	0.0777862
t	0.000443633	0.000105287	0.00561011	0.00596874	0.00650286	0.0119416	0.0182916	0.0102344	0.0173542	0.0897334	0.191663	0.166166	0.134836	0.143353	0.0613049	0.0388185	0.0214207	0.0207591	0.00540978	0.0500825
s	0.000595297	4.83047e-05	0.000977613	0.00154435	0.00266399	0.00279594	0.00279652	0.0461316	0.0889022	0.0914893	0.0517661	0.0620304	0.0532387	0.103984	0.167419	0.176616	0.048109	0.0394992	0.0140931	0.0452983
i	3.60624e-05	1.05236e-05	0.000101822	0.000413803	0.000336135	0.000820145	0.00239068	0.0353634	0.0467754	0.165574	0.0946073	0.134251	0.0527338	0.0643449	0.114855	0.179878	0.0370599	0.0285673	0.0120186	0.0298619
n	0.000516318	0.000589008	0.00056439	0.00158363	0.00150734	0.00966164	0.0155206	0.0975308	0.0957717	0.160486	0.120849	0.138722	0.0650682	0.055642	0.0503082	0.0744459	0.014286	0.0120528	0.0092755	0.0756189
a	0.000832943	0.000299808	0.00103394	0.000830058	0.00117293	0.00288683	0.00473075	0.0255798	0.00931985	0.182759	0.236385	0.146768	0.134497	0.0578634	0.0328367	0.0344926	0.0221795	0.003241	0.0038933	0.0983975
n	0.00105525	0.000195573	0.00426409	0.00368119	0.00421906	0.00205716	0.00243904	0.0161289	0.0156165	0.0776538	0.137115	0.174635	0.123771	0.124528	0.097109	0.101058	0.0583587	0.0207686	0.00314319	0.0322023
d	0.00186725	0.00111313	0.00162326	0.000809773	0.000926558	0.000996411	0.00204382	0.00223472	0.00138579	0.0411625	0.206136	0.0999447	0.334318	0.0930422	0.0423337	0.0185427	0.0233585	0.00488638	0.00114199	0.122133
é	0.00026447	0.00107311	0.000730797	0.000225338	0.000615739	0.000386212	0.000909209	0.002133	0.000777481	0.0217984	0.177802	0.126728	0.390402	0.0891809	0.0478827	0.0361	0.022143	0.00659452	0.00422469	0.0700289
e	2.34828e-05	6.68078e-05	0.000484812	0.000351432	0.000839873	0.000730461	0.00150388	0.00366382	0.00113503	0.0279943	0.17416	0.128758	0.245292	0.154055	0.10864	0.0660945	0.0394748	0.00720415	0.00510622	0.0344206
y	0.000252515	1.68043e-05	0.0013412	0.000730799	0.00265513	0.00150364	0.00229274	0.00211367	0.00655947	0.0344939	0.108301	0.134202	0.179848	0.221846	0.119803	0.0718741	0.0712873	0.0224299	0.00381031	0.0146376
á	0.000286428	0.000213347	0.00313566	0.00207349	0.00723694	0.0050146	0.00593714	0.0130506	0.00511821	0.0464349	0.142513	0.0933181	0.0848802	0.192102	0.142754	0.106252	0.0924576	0.0125822	0.00612935	0.03851
l	0.000386413	0.000708451	0.00322279	0.00140046	0.00220868	0.000828338	0.00221478	0.00679007	0.00199824	0.0511596	0.0889754	0.112573	0.0924712	0.169427	0.149301	0.175236	0.107003	0.0155335	0.00510531	0.013458
e	0.00173062	0.000870526	0.0012268	0.000461729	0.00104282	0.000967694	0.00338807	0.00248097	0.000651827	0.00948495	0.0662172	0.0586058	0.185155	0.153583	0.105586	0.0860602	0.0448062	0.0130044	0.0158313	0.248845
k	4.15938e-05	9.90282e-05	0.000379353	9.88937e-05	0.000569632	0.000122239	0.000454452	0.00116587	0.00135461	0.0114451	0.0573492	0.0622645	0.0687401	0.184477	0.302026	0.203185	0.0627821	0.00660356	0.00618465	0.0306579
ώ	9.54108e-06	1.93195e-05	3.30483e-05	0.000108043	7.80249e-05	0.000268328	0.000491108	0.0092528	0.00484633	0.0276767	0.0602235	0.138366	0.142796	0.0935785	0.12466	0.274137	0.025495	0.0447277	0.0181145	0.0351174
ώ	6.96342e-05	2.79717e-05	1.90606e-05	4.86074e-05	9.46445e-05	0.000116757	0.000379843	0.00311171	0.0122077	0.00938325	0.0236803	0.0366673	0.0429862	0.0353628	0.136022	0.553431	0.0334021	0.0387359	0.047828	0.0264254
l	0.000214152	7.33213e-06	0.000283809	0.000170442	0.000538428	0.000402119	0.000841012	0.0014428	0.00752938	0.0144953	0.04071	0.0688113	0.0806258	0.124038	0.119992	0.173908	0.178085	0.10052	0.0178113	0.0695739
i	0.000373912	6.9021e-05	0.00032004	0.000409195	0.000412644	0.000729153	0.00127444	0.00279344	0.00434721	0.0221562	0.0643893	0.0681976	0.123718	0.117409	0.0871725	0.135347	0.0845961	0.0482296	0.0109618	0.227094
é	0.000119089	8.26444e-05	0.000398323	0.000162835	0.000503179	0.000205909	0.000518677	0.00128855	0.00153339	0.0185743	0.044308	0.0564313	0.0536586	0.107744	0.118825	0.185881	0.216321	0.0525445	0.00904859	0.131851
b	7.53604e-05	0.000176679	0.00212868	0.00324429	0.00812647	0.0107392	0.0120112	0.00531931	0.00076287	0.0058429	0.0266205	0.0240883	0.0429715	0.106202	0.0301101	0.0145549	0.0691576	0.395158	0.0714391	0.171271
h	5.04764e-06	3.60912e-06	6.17655e-05	0.000943056	0.000616319	0.0059146	0.00334215	0.00198156	0.000138515	0.00299086	0.0127267	0.0221739	0.0233921	0.0317793	0.0112524	0.00556595	0.00658484	0.589905	0.258875	0.0217479
í	1.41049e-05	6.19419e-07	5.86462e-05	0.000265533	0.000954548	0.00821357	0.0128673	0.00553271	0.00129634	0.0124571	0.0307621	0.0619765	0.0385356	0.0404608	0.0297659	0.0273699	0.00852409	0.340875	0.257119	0.122951
b	0.000107721	2.1263e-05	0.000330608	0.000502707	0.00108441	0.00103212	0.0014446	0.0248602	0.01699	0.0316572	0.0414848	0.0518463	0.0370227	0.0576449	0.0603132	0.141574	0.101398	0.194858	0.113214	0.122613
o	0.000118449	1.11404e-05	0.000124288	0.00037876	0.000270579	0.00060767	0.000707706	0.00203579	0.00200272	0.0701149	0.0502677	0.104831	0.0966896	0.0518724	0.0439047	0.0683604	0.0243152	0.268677	0.165593	0.0491168
n	4.33269e-06	4.15771e-05	6.6139e-05	0.000131632	0.00019151	0.000271831	0.000622997	0.00510458	0.00647643	0.0218564	0.0495359	0.0626012	0.0605434	0.0696894	0.0690284	0.101589	0.048065	0.1783	0.104988	0.220892
d	0.00010523	1.77279e-05	0.000121239	0.000187126	0.000739522	0.00076906	0.00170075	0.00449976	0.00293599	0.00693036	0.0367818	0.050384	0.0547957	0.0918597	0.133502	0.244209	0.0583536	0.0684576	0.111222	0.132428
a	0.000368782	0.000159029	0.000289543	9.58219e-05	0.000359596	0.000272924	0.00102464	0.00121961	0.000510683	0.00412108	0.0385987	0.0369234	0.0718458	0.0875866	0.147716	0.189126	0.0602104	0.00610957	0.053472	0.29999
</S>	7.70328e-05	6.14203e-05	0.00010147	8.19265e-05	7.41206e-05	5.46545e-05	0.000186381	0.000447143	0.000439208	0.00280435	0.0143475	0.0166997	0.0249748	0.0581749	0.0660144	0.100475	0.144063	0.0382312	0.0360948	0.496597
