 	les	deux	amis	se	réjouissent	de	se	retrouver	après	leur	longue	séparation	</S>
a	0.000601985	0.00115825	0.000711906	0.0701836	0.255742	0.208698	0.177455	0.107984	0.110905	0.0263181	0.0219911	0.00207186	0.0161791
b	0.00538462	0.00470455	0.00375196	0.0331246	0.105503	0.138712	0.330627	0.240302	0.0457376	0.0101459	0.0477113	0.0205028	0.0137922
i	0.00211914	0.00791742	0.00698865	0.0184711	0.0175959	0.0317715	0.232614	0.445154	0.0229395	0.0733343	0.0961709	0.0253494	0.019574
a	0.00219483	0.00527232	0.00331997	0.0320308	0.0256859	0.0872843	0.200519	0.328496	0.0443707	0.0574464	0.0499955	0.0360037	0.12738
t	0.00344865	0.00243853	0.000410868	0.0264746	0.0124744	0.0797725	0.180005	0.0793689	0.11931	0.203226	0.260188	0.00779868	0.0250843
s	0.00499562	0.00630948	0.000560758	0.0242971	0.00165557	0.0433628	0.118689	0.207689	0.0911433	0.130291	0.130295	0.120961	0.119749
í	0.000531628	0.00030424	0.000567626	0.0078573	0.0017142	0.0462254	0.158432	0.24459	0.145781	0.142351	0.110633	0.0650038	0.0760097
n	0.001793	0.00928204	0.000714551	0.0165267	0.011623	0.055323	0.116968	0.142239	0.18144	0.196064	0.114471	0.0694627	0.0840926
a	0.00794058	0.0102727	0.0016269	0.0102955	0.0050685	0.040851	0.0266665	0.0968928	0.493526	0.125233	0.0208049	0.0314865	0.129335
b	0.000300927	0.000136954	2.98078e-05	0.00883139	0.00227713	0.0307926	0.0846025	0.0835361	0.177263	0.237411	0.31427	0.0137993	0.0467498
á	0.00224782	0.0173943	0.0011725	0.0138159	0.00111934	0.0170088	0.116429	0.0906567	0.0896558	0.385017	0.200923	0.0133766	0.0511834
a	0.00108419	0.00938576	0.00040628	0.00576267	0.0038006	0.0117526	0.0286824	0.057414	0.0512072	0.253101	0.296234	0.157376	0.123793
á	0.00152741	0.0011485	0.000163224	0.00500032	0.00410395	0.0135713	0.0249546	0.0490334	0.0633699	0.0686542	0.491938	0.109503	0.167031
m	0.00355559	0.00156305	0.00207216	0.00327958	0.00594531	0.00648294	0.015364	0.0748046	0.0292833	0.0222844	0.284875	0.326994	0.223496
i	0.00282047	0.00648475	0.00828993	0.0042364	0.0521458	0.0347459	0.0435142	0.0393643	0.0219079	0.0865966	0.0810479	0.0289238	0.589922
k	0.00203748	0.00139412	0.000831364	0.000995893	0.00688369	0.00652966	0.00722113	0.0255765	0.023798	0.00910976	0.0620619	0.386159	0.467402
á	1.59742e-05	2.05248e-05	0.00115917	0.000177303	0.000246633	0.00108027	0.00592476	0.0882049	0.0107655	0.00878351	0.0354059	0.480146	0.36807
n	0.000610779	0.000439556	0.000123892	0.00077099	0.000463182	0.00164566	0.00818486	0.028114	0.028798	0.0222336	0.054174	0.701236	0.153206
a	0.000937033	0.000476548	3.97887e-05	0.00198783	0.000105938	0.00603947	0.00997319	0.031941	0.335057	0.112654	0.0608675	0.276198	0.163722
a	0.000310153	0.000482366	5.4471e-05	0.00207304	0.000268365	0.00895319	0.0213186	0.00884353	0.119332	0.216034	0.0913884	0.0540743	0.476868
</S>	0.00374974	0.00397773	0.000425116	0.00703571	0.0016242	0.0213493	0.0299961	0.0109976	0.0796995	0.112161	0.0949707	0.057464	0.57655
