 	lorsque	le	chef	est	arrivé	les	femmes	lançaient	des	cris	de	joie	</S>
b	0.000518429	0.00101578	0.000577097	0.00340144	0.0064159	0.0023151	0.0164814	0.304902	0.197583	0.35454	0.0271326	0.0651012	0.0200173
έ	6.83444e-05	0.000409441	0.00280252	0.00417033	0.0116278	0.0143439	0.0311141	0.422039	0.134935	0.324775	0.0228847	0.0135713	0.0172581
r	0.000203274	0.000417655	0.000317175	0.00320615	0.00868431	0.0169952	0.0171801	0.307571	0.103318	0.212692	0.0382102	0.0631769	0.228028
έ	0.00825645	0.00257217	0.00121051	0.00830263	0.0439895	0.20629	0.0480687	0.495306	0.0889189	0.0410959	0.027012	0.00965177	0.0193253
i	0.000273286	0.000141548	4.40083e-05	0.00172444	0.00398709	0.0220344	0.0147933	0.172107	0.376233	0.138177	0.175011	0.040735	0.0547399
l	0.00125578	0.000462776	0.000533724	0.00260995	0.004629	0.00819829	0.00881906	0.134109	0.183912	0.20924	0.160307	0.177449	0.108475
w	0.000856021	0.000593458	0.000265197	0.00164133	0.00417765	0.00364697	0.0120249	0.117764	0.116418	0.242434	0.0945067	0.300912	0.104759
ώ	0.000200223	0.000151759	9.96763e-05	0.000521203	0.00258258	0.005333	0.00785517	0.0829037	0.0527322	0.116537	0.0792347	0.566905	0.0849434
ώ	8.65952e-06	2.13435e-05	4.00523e-05	0.000910911	0.00291817	0.00768239	0.00410739	0.0816141	0.0921645	0.217124	0.185204	0.297316	0.110888
r	0.000487856	0.000179597	0.000107083	0.00130379	0.00140151	0.00202549	0.00344599	0.0402702	0.0790653	0.131191	0.308205	0.210367	0.22195
ώ	0.00243833	0.000873963	0.000427627	0.00379167	0.00625042	0.00914034	0.0162715	0.0699742	0.0825356	0.218702	0.165158	0.183881	0.240556
</S>	0.000189708	6.52665e-05	1.09499e-05	0.000485182	0.00103682	0.00201238	0.00178339	0.047475	0.0619788	0.0886154	0.224471	0.244436	0.32744
