 	mon	enfant	est	tenu	responsable	pour	tout	ce	qui	se	passe	dans	ce	village	</S>
έ	0.000516335	3.64678e-05	0.000638443	0.000536922	0.00115943	0.00406561	0.00868876	0.00809477	0.0170163	0.0454575	0.230745	0.237674	0.259168	0.063908	0.122294
s	0.000736993	2.16064e-05	0.00116711	0.000297024	0.00158017	0.00280784	0.00393846	0.00242222	0.0173466	0.033231	0.0190549	0.0986868	0.60359	0.0264549	0.188664
έ	0.000663479	2.65874e-05	0.00144082	0.00100963	0.0022053	0.0141687	0.0127609	0.0136895	0.0398281	0.0305941	0.0549607	0.334229	0.237198	0.0148328	0.242392
ó	0.000203503	4.06033e-05	0.000920255	0.000583001	0.00235285	0.00580743	0.00598586	0.00971036	0.0369209	0.019576	0.02556	0.119834	0.274304	0.2012	0.297002
m	8.29928e-05	0.000113816	0.00756346	0.00501323	0.00977008	0.0510402	0.0142431	0.0202186	0.0337967	0.043464	0.131665	0.450203	0.0560025	0.0111547	0.165668
w	0.000107624	0.00222833	0.0227146	0.00881066	0.0153491	0.0881027	0.0902999	0.157496	0.118653	0.0268391	0.0185358	0.184481	0.0903523	0.0119662	0.164064
á	0.00306638	0.0381135	0.00321849	0.00554159	0.00574994	0.0159637	0.0131331	0.0172742	0.019383	0.0197976	0.0627623	0.217985	0.05052	0.287539	0.239952
n	0.0026398	0.00132413	0.00531351	0.00431234	0.00365643	0.0194434	0.0191509	0.0291563	0.0136799	0.0218091	0.047427	0.151637	0.286077	0.165189	0.229184
a	0.00224785	0.000698953	0.0053203	0.0102967	0.00987067	0.0199578	0.0354241	0.0298805	0.0512794	0.0753678	0.108671	0.139168	0.188498	0.0951246	0.228195
y	0.00305734	9.77324e-05	0.00295119	0.00203208	0.00316136	0.00382957	0.00757541	0.0080338	0.0438376	0.0513004	0.0341623	0.121614	0.22479	0.0439854	0.449572
a	0.000900132	0.000239032	0.0304065	0.00471271	0.0103494	0.0437642	0.0628975	0.0553857	0.0871819	0.0281818	0.0303731	0.100559	0.238315	0.0926672	0.214067
n	0.000790541	7.79009e-05	0.00403535	0.00116016	0.00575391	0.0123925	0.0187183	0.0210054	0.0430552	0.00913557	0.00369405	0.0185335	0.198267	0.394407	0.268974
g	0.0512016	0.00113779	0.00114033	0.00142892	0.00338916	0.00824332	0.00714042	0.00898895	0.0364859	0.00928005	0.0177846	0.103272	0.136391	0.0226712	0.591445
á	0.0065062	0.00154279	0.00077146	0.000775657	0.00165813	0.00219153	0.00536301	0.00722586	0.0228304	0.00799228	0.0258405	0.046146	0.0620832	0.0124631	0.79661
</S>	0.000451572	4.32173e-05	0.00188758	0.00223234	0.00773004	0.00586808	0.00809998	0.01032	0.0232464	0.0162701	0.0151005	0.0629387	0.207684	0.0380948	0.600032
