 	nos	pères	sont	encore	vivants	nos	oncles	doivent	se	conformer	à	leur	volonté	</S>
ó	0.001798	0.00299754	0.00496172	0.00140694	0.00139775	0.0493495	0.0694203	0.167292	0.307636	0.138747	0.127369	0.0216413	0.0292857	0.0766971
m	0.00117739	0.000459442	0.00878335	0.00652422	0.00668745	0.0384522	0.04848	0.0979178	0.252507	0.0762566	0.364229	0.0605137	0.012661	0.025351
i	0.00542974	0.000881617	0.026946	0.00317399	0.00958712	0.0117468	0.0563873	0.0750607	0.313164	0.171848	0.190044	0.0482514	0.00455515	0.0829242
á	0.000226007	0.000673065	0.00450486	0.00115478	0.00309355	0.0320212	0.0903846	0.0931352	0.202497	0.0485752	0.327943	0.142754	0.0273429	0.0256948
s	0.0010915	0.0010247	0.00945284	0.00547139	0.0109676	0.0236944	0.0229537	0.0394904	0.0416465	0.0392149	0.411172	0.159576	0.146856	0.0873872
á	0.000671314	0.000194943	0.0127391	0.0105778	0.158157	0.00894634	0.0224313	0.0599075	0.0311879	0.160127	0.255473	0.222335	0.0145981	0.0426542
a	0.000131476	6.36474e-05	0.00161418	0.00146568	0.0037358	0.015212	0.0162922	0.0289884	0.028482	0.0342848	0.221105	0.575926	0.0249011	0.0477973
b	0.000931589	0.000324336	0.00202086	0.000680035	0.000559017	0.00618977	0.00871492	0.0116996	0.0124365	0.00813072	0.413806	0.205497	0.201365	0.127645
á	0.00621368	0.00118208	0.00860394	0.00187204	0.00146814	0.0480498	0.00481291	0.00366507	0.0233021	0.0127388	0.112614	0.557883	0.155204	0.0623903
a	0.00289858	0.00125574	0.00462135	0.000898692	0.000445159	0.0438285	0.00372414	0.00254592	0.018649	0.00567839	0.137266	0.701769	0.0464137	0.0300056
b	0.000255203	7.9955e-05	0.00186275	0.000585613	0.00163877	0.00327923	0.00776315	0.00837663	0.00485235	0.00373203	0.298291	0.123215	0.361128	0.18494
ó	0.000180619	0.00032405	0.00187573	0.000265125	0.00132134	0.0119744	0.00611545	0.00314208	0.00410069	0.0044863	0.0833929	0.119243	0.727585	0.0359933
n	1.27061e-05	1.07708e-05	0.000236442	5.91094e-05	0.000464593	0.00122182	0.00535602	0.00596317	0.00188559	0.0147174	0.0610038	0.0119316	0.849593	0.0475436
d	0.0010168	0.000156502	0.000545981	5.95638e-05	0.000279468	0.00139961	0.0194379	0.0284024	0.00809379	0.00982717	0.146988	0.0323967	0.516132	0.235264
á	0.000294912	0.000216977	0.000322364	1.39647e-05	4.73598e-05	0.000916677	0.0163078	0.024726	0.00577166	0.00935396	0.0643517	0.0121189	0.678492	0.187065
l	0.0027046	0.00093308	0.00291769	0.000241435	0.000188767	0.00537561	0.00558628	0.0112675	0.0136993	0.000482468	0.138202	0.191447	0.169331	0.457624
a	0.000891236	0.000393421	0.00193188	0.00029277	0.00089194	0.00312075	0.00447866	0.0053864	0.0019763	0.000345716	0.0976179	0.19965	0.190134	0.492889
b	0.000639618	0.000161906	0.00635143	0.00257504	0.00156761	0.00311785	0.00209465	0.0047456	0.00573409	0.00105154	0.0935812	0.361392	0.112937	0.404051
á	0.00187649	0.00173425	0.00184854	0.000244432	0.000221229	0.0126278	0.000636838	0.000916406	0.00308279	0.000394067	0.0402785	0.730306	0.177318	0.0285151
a	0.00247501	0.00189593	0.00805644	0.00106629	0.000368687	0.0245857	0.00121488	0.000893456	0.0106357	0.00234199	0.0650124	0.715693	0.0807163	0.0850442
</S>	0.000347128	4.76922e-05	0.00135334	0.000530793	0.000462972	0.00140351	0.00197138	0.00241172	0.00114311	0.000482607	0.0605333	0.0969798	0.16745	0.664883
