 	l'	habitude	d'	abattre	les	vieillards	sous	prétexte	qu'	ils	sont	des	sorciers	s'	est	installée	à	boundji	</S>
b	0.00220582	0.00226073	0.0306171	0.0106364	0.16733	0.11927	0.14682	0.201687	0.108707	0.0462039	0.0538551	0.0397519	0.00854266	0.0110059	0.00471898	0.00339285	0.017908	0.00250799	0.0225792
a	0.00754329	0.0135668	0.0560141	0.155844	0.18909	0.0769253	0.0321535	0.254057	0.0476875	0.0830406	0.0162526	0.0133959	0.0158945	0.00742798	0.00538113	0.00413686	0.00157723	0.0173368	0.00267556
r	0.00151781	0.00140526	0.0168987	0.0220156	0.0546726	0.0204312	0.0421173	0.464076	0.0332415	0.273524	0.0123917	0.0100279	0.00659859	0.00855282	0.00599189	0.005468	0.00486788	0.00549807	0.0107033
e	0.0321683	0.0176149	0.0812922	0.047657	0.116965	0.117157	0.102093	0.0279063	0.163581	0.0124016	0.0292801	0.0314883	0.01128	0.0171549	0.0103076	0.0138842	0.0152889	0.00694183	0.145537
a	0.00490783	0.00192183	0.0345775	0.00825448	0.0800846	0.0354139	0.284671	0.101597	0.216323	0.028929	0.0671019	0.0547637	0.0135209	0.0251968	0.0111672	0.0084843	0.0135009	0.00134623	0.00823813
m	0.00867678	0.00778363	0.0341305	0.0177051	0.0314444	0.0138313	0.0128249	0.0250125	0.0664543	0.0147167	0.302712	0.24359	0.0896296	0.0555593	0.0357368	0.0158585	0.0100671	0.00213722	0.0121296
w	0.0082684	0.0102139	0.0100023	0.00121272	0.0333143	0.0159723	0.0153885	0.0519661	0.0396966	0.0341293	0.260043	0.257735	0.135673	0.0549184	0.0496761	0.00538615	0.00627555	0.00339124	0.00673755
e	0.00528926	0.00334025	0.0056338	0.00163595	0.0296821	0.295982	0.0236197	0.0620915	0.0463963	0.0922679	0.104603	0.180026	0.0674136	0.028204	0.0242015	0.0040983	0.00190256	0.00725126	0.016361
w	0.00228299	0.00178518	0.0189819	0.0074826	0.0641721	0.134897	0.0787027	0.0267149	0.0654246	0.0289514	0.100532	0.215817	0.0678502	0.0745401	0.0583301	0.0218374	0.00796499	0.00681912	0.0169135
á	0.00629251	0.0018771	0.0103471	0.00311842	0.0195056	0.0113082	0.0753615	0.0407644	0.229674	0.0675206	0.047778	0.111522	0.0592629	0.0897637	0.0699948	0.0454781	0.0116062	0.0421844	0.056641
r	0.00129878	0.000686842	0.00224112	0.00152787	0.00340036	0.00742869	0.0168238	0.127379	0.100951	0.210977	0.116607	0.074727	0.0526631	0.103014	0.0871861	0.038612	0.0233753	0.0140302	0.0170705
e	0.00394918	0.0104814	0.0150341	0.00313066	0.0205944	0.0455292	0.0412034	0.0519897	0.41674	0.045803	0.110171	0.0738918	0.0213599	0.0254791	0.011747	0.00886756	0.0215394	0.00949947	0.0629902
a	0.000454161	0.000392897	0.00478867	0.000503897	0.0100176	0.00295171	0.0344142	0.0498631	0.122856	0.0200125	0.235202	0.159407	0.108072	0.133299	0.0509738	0.0101967	0.0383982	0.00572739	0.0124687
n	0.00224373	0.00271743	0.0172647	0.0117535	0.0109915	0.00315016	0.00281407	0.00148984	0.0104472	0.00136084	0.116374	0.199869	0.247584	0.142157	0.124657	0.0589629	0.031412	0.0073796	0.0073705
d	0.00843262	0.0331028	0.0250649	0.00391283	0.0218151	0.0194629	0.00733106	0.0144333	0.0415105	0.00610733	0.196674	0.224784	0.12319	0.101674	0.0402124	0.0142497	0.0488768	0.00412943	0.0650361
z	0.000485901	0.00243282	0.00743424	0.00273195	0.0118011	0.0372916	0.00696014	0.017664	0.0382441	0.00554373	0.092589	0.240827	0.2727	0.0928036	0.0362055	0.0201527	0.0344493	0.0208248	0.0588584
i	0.000166076	0.00138432	0.00222695	0.000550546	0.00548714	0.33392	0.0185452	0.00644572	0.0326579	0.00156046	0.0365824	0.154667	0.153564	0.0649708	0.0608966	0.0306523	0.0122495	0.0540078	0.0294652
m	0.000505994	0.00128328	0.00732088	0.00650078	0.0115109	0.337918	0.027461	0.007861	0.0126012	0.00207286	0.00895385	0.0522578	0.0688536	0.0767812	0.0518885	0.0535094	0.0421679	0.0516544	0.178898
b	0.0042242	0.00660513	0.00539567	0.000570425	0.0162613	0.0931859	0.134107	0.102308	0.123012	0.0345567	0.0527081	0.0541636	0.0430505	0.0849509	0.0457946	0.0380414	0.0854627	0.0276991	0.0479024
á	0.0170985	0.011142	0.0108902	0.00913851	0.0145559	0.0333148	0.0479274	0.0103388	0.0691436	0.0196467	0.00788432	0.0614022	0.055796	0.0920068	0.105055	0.120855	0.0274812	0.13947	0.146854
é	0.00170756	0.000653079	0.00358601	0.000442629	0.00293937	0.000490923	0.00924177	0.0168221	0.0836518	0.0489834	0.0887384	0.0335961	0.0268837	0.11488	0.130992	0.146701	0.216491	0.0160177	0.0571813
m	0.00302066	0.00577996	0.0234602	0.0176387	0.0209434	0.00398295	0.00418913	0.00274322	0.00806497	0.00131974	0.0947807	0.0791256	0.0965767	0.0709677	0.104538	0.14066	0.170235	0.0736493	0.0783234
i	0.000973357	0.00264248	0.00905758	0.0016029	0.0126241	0.00184765	0.00282268	0.00209644	0.0109456	0.00174647	0.0657251	0.113458	0.0949486	0.0957845	0.131596	0.0686435	0.196733	0.095011	0.091742
y	0.000465424	0.000822545	0.00545119	0.0271976	0.0076763	0.00429294	0.000539432	2.45893e-05	0.000835724	2.75408e-05	0.0065146	0.0667879	0.156753	0.0564042	0.0732825	0.200277	0.120913	0.202606	0.0691296
a	3.45431e-05	0.000287164	0.00155005	0.00239604	0.00147021	0.0232816	0.00138283	0.000140755	0.00239934	3.89401e-05	0.0212129	0.138415	0.0878889	0.0418908	0.0381415	0.150835	0.304095	0.0752672	0.109272
á	7.62778e-05	9.25397e-05	0.000809395	0.001078	0.00184767	0.00536547	0.00178903	0.00015862	0.00262641	0.000168118	0.0112464	0.0681131	0.0747219	0.0438588	0.0558994	0.257435	0.120657	0.118177	0.235881
s	0.000316841	0.000208478	0.00167936	0.000770292	0.00384675	0.00357061	0.00901882	0.00832713	0.0340383	0.024404	0.0483438	0.036161	0.0172957	0.0609306	0.0736853	0.133768	0.268087	0.123661	0.151887
á	0.000767281	0.00137021	0.00620502	0.00544688	0.0202263	0.0570679	0.0113645	0.0015675	0.0167716	0.000668416	0.0143975	0.0231546	0.0096215	0.0115321	0.0167783	0.0970203	0.105711	0.353831	0.246498
m	0.0019982	0.00291595	0.00929345	0.00387193	0.0246146	0.014645	0.0679964	0.0417145	0.0689276	0.00627108	0.0303765	0.0165527	0.00675615	0.0148942	0.0225449	0.0252771	0.164077	0.38562	0.0916525
b	0.000773013	0.000830132	0.00226448	0.000439449	0.01714	0.0119645	0.0158534	0.0112927	0.00965312	0.0181531	0.0145426	0.0318208	0.0142599	0.0204413	0.0294647	0.0577187	0.139574	0.325327	0.278487
o	0.000818603	0.000425506	0.00132261	0.00131356	0.00671172	0.0050997	0.00334477	0.00269433	0.0100678	0.00991254	0.00581843	0.0261676	0.00773068	0.0151595	0.0167591	0.0280917	0.0337672	0.716645	0.108149
n	0.000124916	0.00014547	0.000320641	0.000706271	0.000681717	0.00142745	0.000543121	1.91927e-05	0.00042469	4.52945e-05	0.0013291	0.0122743	0.0138655	0.00901815	0.018483	0.053334	0.0209244	0.343281	0.523051
d	0.00056291	0.00048188	0.000942095	0.00265767	0.00295581	0.00764751	0.00949853	0.000154151	0.0024437	0.000178923	0.000992237	0.0187383	0.0252474	0.0483812	0.0474387	0.0858601	0.0592372	0.561943	0.124638
z	0.000945666	0.000972902	0.00227352	0.00175944	0.0029587	0.00547292	0.0118872	0.00154022	0.0204618	0.0017417	0.00954588	0.0255127	0.0223282	0.0327423	0.0355415	0.0775603	0.072982	0.519882	0.153891
i	0.0029756	0.00242246	0.00411265	0.00702064	0.00511958	0.00242929	0.0104815	0.00101125	0.00984636	0.00159012	0.00151082	0.0104663	0.0150279	0.0257256	0.0282859	0.122375	0.03467	0.563233	0.151696
</S>	0.00179337	0.00225272	0.00250969	0.0011542	0.00289971	0.00205924	0.00415651	0.000423589	0.00849698	0.00178727	0.00874255	0.0315334	0.0211332	0.0514576	0.0692723	0.142851	0.05565	0.182654	0.409173
