 	nous	n'	avons	pas	pu	poursuivre	le	lièvre	dans	cette	forêt	parce	qu'	elle	est	touffue	</S>
m	0.00106703	0.00207162	0.00194732	0.00294791	0.000710746	0.00238006	0.00439017	0.00303511	0.0298235	0.112045	0.134034	0.169401	0.223087	0.173863	0.048559	0.0070085	0.0836291
ú	0.000563868	0.00518746	0.0014452	0.0107595	0.000611949	0.00355228	0.00529317	0.000376967	0.0170896	0.0966885	0.0275912	0.151009	0.240225	0.21169	0.0378812	0.00604265	0.183992
t	8.42698e-05	0.000362331	9.08471e-05	0.00215087	0.00149009	0.000542302	0.000655219	0.000277201	0.0139326	0.113633	0.054304	0.151172	0.187264	0.232245	0.124438	0.027188	0.0901702
s	0.00320939	0.00194435	0.00397909	0.0025001	0.000616591	0.000130638	0.000284531	0.000662357	0.013765	0.0494186	0.121617	0.320278	0.146385	0.242364	0.0287472	0.0317419	0.0323564
í	0.000249577	6.96362e-05	0.000105594	0.000273756	0.000116909	4.41532e-05	0.00027904	0.00101492	0.0196096	0.0366956	0.0946666	0.355405	0.113413	0.185804	0.043768	0.108068	0.0404166
n	0.00555538	0.000547101	0.00158657	0.0012381	8.09078e-05	6.40196e-05	0.000815127	0.000570551	0.0115816	0.0260011	0.0599968	0.267179	0.156931	0.251219	0.0552382	0.0612029	0.100192
a	0.000675427	0.000511442	0.00195007	0.00047777	0.000270991	0.000341871	0.00150616	0.00106702	0.00933143	0.0460344	0.01895	0.12583	0.269081	0.187184	0.0323075	0.0397697	0.264711
m	9.64105e-05	0.00020982	0.000241248	0.00111538	0.000120825	0.000227846	0.000833329	0.000321488	0.0040403	0.0255566	0.0217944	0.162035	0.206362	0.256528	0.113773	0.0354238	0.171319
ú	0.000424182	0.0023788	0.00101892	0.00294296	0.000167611	0.00182675	0.00384696	0.000764568	0.0089571	0.0565536	0.00914766	0.0516166	0.181758	0.269393	0.193734	0.0128977	0.202572
a	6.95603e-06	2.84919e-05	4.19539e-05	0.000286038	0.000104286	0.000149014	0.000360601	9.63155e-05	0.00409537	0.0313057	0.00882836	0.0226426	0.0305077	0.104825	0.386809	0.0451768	0.364736
o	5.67084e-05	0.000463122	0.000620625	0.00230612	0.000342899	0.00116477	0.00279925	0.000487726	0.00705865	0.0129728	0.0121208	0.0183254	0.0274571	0.111039	0.335154	0.041613	0.426018
p	1.37022e-05	0.0003348	0.000802312	0.00280938	0.000808029	0.000670097	0.00244461	0.00222254	0.0225224	0.0215489	0.0150622	0.0150663	0.0135066	0.126168	0.581445	0.0760207	0.118555
é	1.99843e-05	0.000379312	0.00208758	0.00129976	0.000477911	0.000317286	0.00169812	0.00911339	0.00476662	0.00689868	0.0158057	0.0216313	0.0101417	0.172162	0.474556	0.0984345	0.18021
n	0.000529515	0.000587766	0.000785722	0.00307672	0.000498079	0.000139938	0.00164153	0.00325086	0.0064987	0.0185333	0.0254202	0.0986873	0.0803201	0.188208	0.25141	0.194504	0.125909
d	0.000179598	8.40806e-05	0.000172041	0.000246794	0.000313177	0.000148219	0.000568942	0.000375747	0.00204463	0.011755	0.0158513	0.0824323	0.0733708	0.134297	0.123593	0.305492	0.249075
í	1.16727e-05	5.70164e-05	0.000126638	0.000196272	0.000407582	0.000450736	0.000582178	0.00110782	0.00450603	0.0123666	0.0149296	0.0500524	0.0506883	0.0866263	0.113249	0.118156	0.546485
k	7.66124e-05	0.00015288	0.000105386	0.000518939	0.000207709	0.000357802	0.000676688	0.000264137	0.00404417	0.0181806	0.0130886	0.0607279	0.121637	0.092731	0.15034	0.299017	0.237873
a	0.000291485	7.93029e-05	0.000403989	0.000356299	9.15268e-05	1.6918e-05	0.000122874	0.000261314	0.00423218	0.00707176	0.0610477	0.110884	0.0454719	0.124389	0.122003	0.291477	0.231801
b	0.00045759	5.15882e-05	0.000150353	7.97019e-05	3.74231e-05	4.67155e-06	4.53906e-05	0.000188123	0.00168225	0.00549456	0.0328725	0.131635	0.0725415	0.0904891	0.055082	0.133377	0.475811
h	0.000381427	0.000180163	0.000450173	0.000223116	0.000103004	5.25709e-05	0.000327457	0.00024398	0.00272748	0.00832767	0.0546887	0.124043	0.0433203	0.0775815	0.13069	0.134867	0.421792
i	0.000395837	0.000211164	5.63496e-05	0.000971553	0.00119066	0.00037416	0.000738386	0.00158372	0.00696309	0.0128702	0.0350913	0.0929803	0.108747	0.125334	0.055144	0.205678	0.35167
r	5.19252e-05	6.83255e-05	4.71671e-05	0.000400871	0.000221284	0.000142327	0.000446468	0.000495947	0.00279322	0.0056378	0.00815794	0.0112404	0.0229937	0.0495283	0.167817	0.37818	0.351777
i	0.000631382	0.000227294	0.000374108	0.000512297	0.0010586	0.000945993	0.00060959	0.00199724	0.00810283	0.0117076	0.00678735	0.00656912	0.0149504	0.0227305	0.102147	0.316336	0.504313
</S>	0.00113522	0.0002985	0.000858673	0.000244827	4.71031e-05	7.64872e-05	0.000151037	0.000175856	0.00183892	0.00559405	0.00468983	0.0165763	0.0407841	0.0417229	0.108856	0.119417	0.657533
