 	ibvunze	a	le	front	fermé	parce	qu'	il	a	vu	l'	amant	de	sa	femme	</S>
a	0.000977967	0.0057228	0.00685901	0.0174983	0.100461	0.382712	0.152863	0.100513	0.0266868	0.0144428	0.00796397	0.0348403	0.0424503	0.0115531	0.00226904	0.092186
w	0.000241497	0.0046027	0.00882926	0.00505684	0.059651	0.15037	0.192992	0.191438	0.220388	0.0750521	0.0456238	0.011201	0.0123514	0.00499724	0.00147486	0.0157304
a	0.00241994	0.00598125	0.0080761	0.00835714	0.0389689	0.130395	0.377157	0.245906	0.0713519	0.0210541	0.0143876	0.00459171	0.0304803	0.0162417	0.00262576	0.0220045
á	0.000316925	0.000504847	0.000934206	0.00120978	0.0109284	0.108946	0.165729	0.294337	0.229342	0.0804453	0.0505706	0.00799903	0.0134471	0.0127791	0.000938864	0.0215709
t	0.000323723	0.00500107	0.00604426	0.00255089	0.00187325	0.00185857	0.00315251	0.00783033	0.0752233	0.625754	0.176854	0.0651392	0.0125036	0.00110925	0.000534529	0.0142472
έ	0.000104608	0.000728089	0.00199782	0.00387091	0.00362852	0.00772519	0.00861679	0.00935879	0.0566314	0.613586	0.127755	0.124305	0.0259691	0.00425805	0.000278545	0.0111869
i	4.62191e-05	0.000688966	0.0030996	0.00240557	0.0075591	0.0212785	0.0271409	0.0236002	0.0755016	0.408107	0.205172	0.106715	0.035928	0.00837398	0.000428244	0.0739554
k	3.79501e-05	0.00106612	0.00454904	0.00434738	0.0167264	0.112308	0.0424073	0.0895744	0.0917145	0.128643	0.266759	0.0603282	0.0525924	0.0988663	0.0037851	0.0262944
o	0.000134319	0.000314633	0.00102	0.00553196	0.0109388	0.0625602	0.0162764	0.0191214	0.0186681	0.0830922	0.0590961	0.515548	0.166012	0.0162312	0.00119225	0.0242631
l	4.78042e-05	0.000153389	0.000767366	0.00513037	0.0038997	0.00598765	0.00537549	0.00813942	0.027459	0.160407	0.151834	0.445026	0.0856888	0.00499856	0.00152631	0.0935592
á	0.000201913	0.000184969	0.000906614	0.000870846	0.00196872	0.0229404	0.0167128	0.0193407	0.0404569	0.262017	0.191521	0.325425	0.0507158	0.0119428	0.000209496	0.0545842
y	7.82176e-05	0.000549076	0.00200206	0.00175383	0.0048526	0.0159356	0.00952094	0.018767	0.0222503	0.0506373	0.163635	0.169555	0.190003	0.262302	0.0147852	0.0733725
a	3.25649e-05	0.00115334	0.00289312	0.000831823	0.00342514	0.0195643	0.0140149	0.0124243	0.0213876	0.0623367	0.0870308	0.487928	0.13135	0.102045	0.00874365	0.0448386
m	0.000118698	0.0002087	0.00060548	0.000278008	0.0013966	0.0243762	0.00754658	0.0134252	0.00988851	0.0039455	0.0498317	0.173984	0.0976879	0.540785	0.0530898	0.0228321
w	3.47564e-05	0.000169928	0.000394009	0.00034658	0.000107393	0.000380773	0.000291908	0.000501888	0.000934427	0.000569059	0.0120765	0.0155158	0.0314984	0.0559589	0.870171	0.0110483
á	0.000464204	0.000180241	0.000439584	0.000701178	0.000261917	0.00186579	0.000389172	0.000865173	0.000251072	5.29245e-05	0.000716185	0.0308076	0.0160055	0.00761998	0.937137	0.00224255
s	0.00283558	0.000584197	0.00160805	0.00118785	0.000807572	0.00399196	0.00537771	0.0121802	0.00667032	0.00358586	0.056465	0.0532149	0.204996	0.17636	0.408309	0.0618265
í	0.00130814	0.000626888	0.00114464	0.00255612	0.0013189	0.00509246	0.00233038	0.00387389	0.00258974	0.00339844	0.0378023	0.48056	0.202482	0.0587031	0.105869	0.0903446
y	0.000245844	0.000537905	0.000959998	0.000549152	0.000965382	0.00332955	0.00392464	0.00688533	0.0115771	0.0220797	0.0535409	0.11695	0.231558	0.122113	0.0444218	0.380362
a	4.18726e-05	0.000820293	0.00223544	0.000446398	0.00122968	0.00650663	0.00655904	0.00567716	0.0145654	0.0516483	0.0865707	0.190355	0.223319	0.313126	0.0124101	0.0844893
w	7.55899e-05	0.000120716	0.000570398	0.000146651	0.000778227	0.0088454	0.00256458	0.00320908	0.0034824	0.00344377	0.0192088	0.0376482	0.0700508	0.732627	0.010281	0.106948
a	0.000411396	0.00036356	0.00111043	0.00073441	0.00353177	0.0229779	0.00999431	0.0114634	0.0139033	0.0383768	0.0577208	0.043419	0.200128	0.477809	0.00571986	0.112337
</S>	1.65134e-05	5.41983e-05	0.000196523	0.000266698	0.00081128	0.00296194	0.0017541	0.00339743	0.008064	0.0281763	0.0414138	0.0410902	0.252351	0.250767	0.00816836	0.36051
