 	la	manière	dont	il	est	blessé	au	dos	montre	que	quelqu'	un	l'	a	poignardé	</S>
w	0.00155553	0.00315396	0.00462062	0.0158796	0.00762887	0.000729011	0.0277944	0.00347036	0.303825	0.247946	0.172287	0.084579	0.0609738	0.0389467	0.00825289	0.0183582
á	0.00265603	0.00649758	0.00482463	0.0191265	0.00581002	0.00179081	0.0224739	0.0225299	0.180019	0.226152	0.206709	0.110606	0.124594	0.0328049	0.0116826	0.0217241
r	0.00215768	0.00763471	0.00627242	0.0100014	0.00101124	0.0004242	0.00354778	0.00151536	0.0381396	0.131744	0.20307	0.166652	0.225843	0.0805447	0.0983282	0.0231134
e	0.0036325	0.00943779	0.0173596	0.0120956	0.00102127	0.000155866	0.0037411	0.000641915	0.05715	0.176272	0.399833	0.0753077	0.198007	0.0127493	0.0072011	0.0253946
m	0.00017217	0.000919339	0.00159265	0.00257118	0.00120376	0.000102146	0.00264258	0.00040296	0.101607	0.109037	0.293823	0.153185	0.204038	0.0961603	0.0146463	0.0178966
o	0.00132578	0.00913914	0.000786899	0.00359402	0.00755763	0.000820121	0.0103989	0.00249142	0.0345253	0.0921025	0.0666489	0.163449	0.119178	0.0960757	0.180106	0.2118
r	0.000326918	0.00136659	0.00057382	0.000764492	0.00456128	0.00127121	0.00419246	0.00297904	0.0223509	0.0320875	0.0534534	0.147483	0.137402	0.212004	0.243619	0.135564
o	0.00667935	0.0186609	0.0105373	0.00295864	0.00535739	0.00131002	0.009348	0.00293093	0.0844799	0.103544	0.239577	0.103558	0.263577	0.0706667	0.0519859	0.0248285
á	0.000146378	0.00118912	0.0023869	0.00259064	0.00102607	0.000278813	0.00237436	0.000776175	0.0496204	0.0476151	0.114836	0.0840169	0.240726	0.1568	0.0923122	0.203304
m	0.000553063	0.00727504	0.00107452	0.00218445	0.019449	0.0181157	0.00955951	0.00198596	0.0170764	0.035016	0.0362127	0.0970215	0.113287	0.265914	0.099805	0.27547
ε	0.000124778	0.00162323	0.000379379	0.000556158	0.00655679	0.000613273	0.00397427	0.000168643	0.0053336	0.0147138	0.00893691	0.0652593	0.0582863	0.123722	0.424541	0.285211
i	2.01011e-05	0.000273844	6.58115e-05	0.000168548	0.00509206	0.00154803	0.00261251	0.00129916	0.00675146	0.0135427	0.0128496	0.0723614	0.0446157	0.0577158	0.189379	0.591705
w	3.80474e-05	0.000382977	0.000172181	0.000344006	0.00376853	0.00215222	0.00268464	0.0027509	0.0043826	0.0111985	0.0159878	0.0683184	0.0509436	0.0602116	0.321964	0.4547
a	0.000665924	0.00113413	0.000444285	0.000908695	0.00100086	0.00164231	0.00266678	0.0125975	0.0103611	0.0436484	0.0552132	0.18452	0.177043	0.0881932	0.315811	0.10415
</S>	7.01515e-05	0.00017572	0.000256981	0.000293658	0.000312475	0.000484267	0.00105881	0.000997128	0.00878906	0.0161712	0.0230846	0.0707507	0.136762	0.1622	0.308327	0.270266
