 	les	chasseurs	sont	revenus	bredouilles	parce	que	l'	un	d'	eux	portait	la	malchance	à	cause	de	sa	soeur	qui	était	enceinte	</S>
o	0.000494952	9.18568e-05	0.0163337	0.00244346	0.125018	0.285605	0.160017	0.154016	0.0694459	0.0521557	0.0400496	0.00662211	0.0135984	0.0200534	0.00967262	0.00363849	0.00572506	0.00715511	0.00466865	0.00809297	0.00578276	0.00156758	0.00775168
p	0.000539997	0.00105585	0.00421863	0.0525636	0.0596918	0.120724	0.146037	0.134429	0.181673	0.0294789	0.00646673	0.153578	0.00617639	0.070751	0.00465967	0.0078617	0.00400272	0.00133693	0.00250297	0.00155249	0.000654033	0.000506793	0.00953927
ω	0.000306368	0.00846756	0.00214267	0.0545069	0.0210454	0.136083	0.0724482	0.0641049	0.156948	0.0449702	0.00854974	0.296019	0.00544868	0.0353238	0.00874138	0.0185088	0.0107258	0.00566756	0.0287638	0.00445988	0.00151312	0.00148218	0.0137725
ώ	0.000518341	0.00271268	0.00347449	0.0720002	0.0278441	0.10643	0.06109	0.0549507	0.103287	0.0643228	0.0220845	0.0719747	0.0148308	0.0642751	0.0185893	0.0287065	0.0184023	0.0331878	0.138528	0.0455352	0.00323099	0.00160635	0.0424187
s	0.000909447	4.80621e-05	0.00484417	0.000405247	0.0246659	0.0766448	0.172055	0.199948	0.116644	0.187166	0.132514	0.00659945	0.0245685	0.0136027	0.00929563	0.00333538	0.00408163	0.00718546	0.00268306	0.00446385	0.00362587	0.00109137	0.00362289
á	0.000535253	0.000419401	0.00352876	0.000456366	0.0498652	0.0785974	0.121797	0.158308	0.134497	0.086096	0.0459022	0.0175067	0.0264553	0.0447229	0.0417948	0.00663016	0.0158319	0.0168901	0.00422639	0.0222789	0.0133869	0.0522474	0.0580252
b	0.00197332	0.000617177	0.0066451	0.0003955	0.0135109	0.0224251	0.0473548	0.104938	0.138658	0.262528	0.21566	0.0214301	0.0279852	0.0339985	0.0258427	0.0045784	0.00723707	0.0139119	0.00730346	0.0128327	0.0102673	0.013968	0.00594
á	0.00862186	0.0481055	0.00446734	0.000431831	0.0189001	0.0437933	0.0875899	0.0394718	0.0566161	0.0873725	0.383124	0.0349931	0.0165803	0.00537729	0.00583961	0.00812808	0.00673086	0.00807761	0.126992	0.000758691	0.00256253	0.000802779	0.00466276
a	0.00101332	0.00157114	0.00237868	7.67893e-05	0.00595967	0.0207278	0.0387533	0.0295711	0.0460525	0.135328	0.384415	0.0411899	0.0190301	0.00143467	0.00914005	0.0140876	0.00991371	0.0192512	0.198983	0.00276926	0.00943615	0.00211803	0.00679963
á	7.94142e-05	2.87976e-05	0.00332304	0.000585505	0.00651019	0.00990551	0.0314457	0.0621303	0.111389	0.141971	0.107299	0.0910989	0.11945	0.127086	0.0527287	0.0401289	0.0218346	0.0148837	0.00772004	0.00921136	0.00732033	0.00192343	0.0319468
d	0.000797133	0.000703225	0.00668377	0.0031446	0.0177957	0.00725576	0.0121074	0.0144469	0.024246	0.0203324	0.0373403	0.104301	0.105901	0.465058	0.0659879	0.0371455	0.0251429	0.0132586	0.00372361	0.00586495	0.00487582	0.00236166	0.0215266
z	0.000103956	0.000294151	0.000616736	8.4307e-05	0.00339103	0.00253321	0.00634274	0.0098332	0.0162416	0.0089998	0.00959779	0.0283955	0.0291427	0.749005	0.0238127	0.00683901	0.0151767	0.00519177	0.000292742	0.00246722	0.00366084	0.00488845	0.0730895
e	0.000199767	0.00070324	0.00139305	0.000623933	0.00944858	0.051153	0.0564003	0.118612	0.136187	0.0432089	0.0170487	0.135249	0.0467571	0.127614	0.0894245	0.0340007	0.0421273	0.0120605	0.00293288	0.0215242	0.0086234	0.0151918	0.029516
l	4.59343e-05	1.73098e-05	0.000500239	0.000279616	0.00247323	0.012488	0.0167088	0.0263727	0.0572496	0.0691897	0.0340027	0.045335	0.095228	0.396483	0.0577333	0.0453163	0.0427188	0.0378452	0.0176294	0.014148	0.00442815	0.00160356	0.0222033
i	3.24574e-05	2.61332e-05	0.000337558	0.000266841	0.00221668	0.00746552	0.0141724	0.0145477	0.029477	0.024182	0.0228649	0.144589	0.0614162	0.425802	0.0552749	0.0465597	0.0408399	0.0231484	0.0118789	0.010417	0.00509252	0.0080108	0.0513819
k	3.44564e-05	1.43105e-05	0.000350311	0.000135587	0.000531733	0.00412352	0.00778543	0.0121671	0.0325954	0.035581	0.0305851	0.108669	0.0803635	0.226391	0.106949	0.0626971	0.0543834	0.0555613	0.075451	0.0292487	0.00748907	0.0146288	0.0542636
á	7.79421e-06	0.000441759	0.000149667	0.000313495	0.00111289	0.00370202	0.00502093	0.00513004	0.0258349	0.0269489	0.0288507	0.25386	0.0361953	0.368718	0.0371491	0.0651836	0.0406676	0.0270461	0.0403511	0.00744977	0.00237304	0.00137227	0.0221216
n	6.05991e-05	0.000866797	0.000666458	0.0010365	0.00351425	0.0137035	0.0116614	0.00990476	0.0270582	0.035834	0.0592885	0.226095	0.0505869	0.223696	0.046172	0.0790576	0.0424694	0.0443703	0.0616167	0.0115705	0.0090791	0.00433347	0.0373579
g	8.56368e-05	0.000374944	0.000103083	0.00128054	0.00194184	0.00884211	0.0179106	0.0195242	0.0336339	0.0650123	0.0675586	0.0953911	0.0684698	0.215492	0.0769021	0.0282488	0.035538	0.0839019	0.0643541	0.0260586	0.00572416	0.00420141	0.0794502
i	0.000670342	0.000728223	0.002131	0.000252014	0.0090331	0.0134152	0.0460594	0.0613531	0.065445	0.0936181	0.138295	0.0295453	0.0270042	0.22222	0.0540285	0.0046094	0.00861087	0.0324267	0.10725	0.0324358	0.00120238	0.00526256	0.0444041
</S>	0.000238507	8.91379e-06	0.00110169	8.6139e-05	0.000701512	0.0020754	0.00402713	0.00668212	0.00763499	0.0259434	0.0447244	0.0140622	0.143451	0.122904	0.138693	0.0554001	0.0704405	0.145944	0.0457058	0.0989075	0.0169777	0.00494652	0.0493433
