 	je	m'	en	vais	chercher	le	notable	car	on	a	besoin	de	lui	à	la	veillée	mortuaire	</S>
y	0.000897833	0.00739493	0.0557148	0.205202	0.640589	0.0262507	0.0217651	0.0122914	0.00317236	0.00327366	0.0137696	0.00096482	0.00135056	0.00149704	0.00108482	0.00163158	0.000313007	0.00283715
u	6.91441e-05	0.00136204	0.0206734	0.04391	0.904658	0.00704749	0.00263827	0.00176275	0.000377018	0.00137306	0.00400668	0.000436747	0.000415977	0.00185005	0.00160993	0.0030685	0.000860573	0.00388038
b	0.000777583	0.00203792	0.0182008	0.142967	0.475338	0.0367987	0.0312841	0.00943607	0.00136066	0.0106258	0.0260442	0.0085407	0.00384119	0.0240165	0.0437406	0.0311223	0.0131828	0.120685
h	0.00243881	0.00415882	0.0132693	0.0252473	0.514417	0.0938278	0.0748712	0.0387527	0.0084916	0.018963	0.0255571	0.017192	0.0196967	0.0210675	0.0110762	0.0517174	0.0153175	0.0439385
á	0.00314459	0.00511385	0.0102303	0.00340204	0.196098	0.27915	0.051293	0.147096	0.0349159	0.0110412	0.0170411	0.0507805	0.0223625	0.0176249	0.0110269	0.0110141	0.00598432	0.122681
m	0.00171085	0.0158669	0.0202348	0.0116192	0.21863	0.3918	0.122662	0.122058	0.0303713	0.019551	0.0111895	0.00755232	0.00330594	0.00506433	0.0067957	0.00212526	0.00140199	0.00806156
w	0.000143968	0.000762709	0.000693574	0.00369486	0.00649961	0.0697523	0.653332	0.162592	0.0514046	0.0256415	0.0052043	0.00657176	0.00425375	0.00163187	0.00116607	4.85542e-05	6.39285e-05	0.00654289
e	0.000403515	0.000998821	0.000335679	0.00440045	0.00325189	0.0321476	0.839124	0.087093	0.00978446	0.00371377	0.00375303	0.00337358	0.00328332	0.00121841	0.000547406	0.000248716	0.00079056	0.00553148
n	0.00737093	0.00804206	0.00505835	0.00348689	0.00782593	0.320229	0.420893	0.135568	0.0270883	0.0102141	0.0133031	0.014255	0.00579778	0.00412153	0.00221464	0.000564641	0.000229867	0.0137359
έ	0.00215768	0.00264447	0.00112333	0.0125047	0.017634	0.113268	0.631856	0.101244	0.0141886	0.0148068	0.0194598	0.00454806	0.00371822	0.00393941	0.00559173	0.000452207	0.000338462	0.0505236
t	7.38205e-05	0.00062702	0.00114734	0.00189587	0.0488351	0.100335	0.178983	0.431894	0.0701112	0.0583527	0.0226481	0.0125925	0.00999726	0.00823722	0.00846846	0.00163033	0.000945076	0.0432255
s	0.00181854	0.000829178	0.000637546	0.000498313	0.0306141	0.0946244	0.193194	0.341634	0.0733977	0.0410654	0.0347435	0.0577176	0.0363692	0.0136423	0.00591923	0.0224043	0.0119228	0.0389671
i	5.69068e-05	0.000102322	0.000647849	0.000193622	0.0119797	0.117119	0.176911	0.316331	0.102144	0.0303819	0.0301929	0.0293587	0.01932	0.0151511	0.0108271	0.00954318	0.0256011	0.104139
n	0.000473598	0.00158448	0.00207572	0.000420203	0.0667803	0.108397	0.0943115	0.299733	0.1671	0.0582282	0.0526373	0.0136634	0.0127953	0.010141	0.00525378	0.0102584	0.00405035	0.0920956
a	0.00484515	0.00832536	0.00132856	0.00114941	0.00493438	0.0560028	0.265921	0.146232	0.132688	0.024338	0.0144161	0.0101926	0.00825276	0.00616621	0.0117658	0.00196157	0.0331888	0.268291
á	0.000598499	0.00163622	0.00243824	0.000818332	0.0103237	0.034739	0.0475769	0.163209	0.292828	0.249695	0.0529445	0.0389575	0.0262635	0.0252992	0.016599	0.00431821	0.00111286	0.0306426
m	0.0007623	0.00118781	0.014183	0.00497882	0.0424603	0.013176	0.0055562	0.0141778	0.0868296	0.368645	0.266168	0.0359061	0.0220828	0.0672384	0.0338871	0.00863467	0.0020093	0.0121175
i	3.15894e-05	0.000530641	0.00466855	0.00160867	0.00299621	0.00760554	0.0052182	0.0125313	0.0951697	0.327794	0.251744	0.0719172	0.0560685	0.0908476	0.0465041	0.00195903	0.000894623	0.0219099
n	1.76089e-05	9.75378e-05	0.00582776	0.00684852	0.0293639	0.0054895	0.00466265	0.009875	0.0130762	0.122325	0.678439	0.0259122	0.0150111	0.0342227	0.0155285	0.0131783	0.00242664	0.017698
g	0.00141923	0.00669447	0.0143597	0.0689118	0.0415337	0.0182902	0.0411504	0.020013	0.0452172	0.170872	0.432211	0.0267901	0.0120792	0.0246108	0.0209346	0.00515019	0.00697326	0.0427898
a	0.000164464	0.000303377	0.0008005	0.00514391	0.0207936	0.0678379	0.0497946	0.0243445	0.0356425	0.120891	0.319459	0.107337	0.0126109	0.0584369	0.0632418	0.0125119	0.0492938	0.0513921
a	7.29288e-06	1.05849e-05	7.02924e-05	0.000259818	0.00541466	0.056243	0.0464503	0.0539023	0.0576421	0.111161	0.16646	0.263155	0.0584347	0.0684711	0.0570056	0.0113051	0.0132714	0.0307365
n	1.06253e-05	7.07239e-05	0.00016796	3.06639e-05	0.000557707	0.0114867	0.00328161	0.0112422	0.124367	0.101127	0.0632136	0.314541	0.149316	0.10389	0.0847374	0.00551849	0.00332842	0.0231122
d	0.00061699	0.00107445	0.0003059	0.000918945	0.00274158	0.0236806	0.0477187	0.0236771	0.117468	0.110464	0.123892	0.113195	0.0409838	0.0354183	0.0631371	0.00260552	0.0347554	0.257347
á	0.000635282	0.00157082	0.00010088	0.00117233	0.00192993	0.0138364	0.0190669	0.00914009	0.0537871	0.0785138	0.120025	0.227681	0.0762722	0.0855563	0.0900425	0.0140486	0.0633488	0.143273
m	2.83117e-05	0.000109424	9.5989e-05	0.000102926	0.000433068	0.00641285	0.00614353	0.0157228	0.0405894	0.0539074	0.0581886	0.359191	0.16186	0.0945039	0.107246	0.00434793	0.0131429	0.0779739
ó	4.11344e-05	0.000115062	0.000266168	0.000715804	0.000280832	0.00360632	0.0130165	0.0119118	0.0107568	0.0491244	0.0680393	0.196032	0.240835	0.161456	0.107123	0.0052575	0.00197251	0.129451
w	4.34317e-05	0.000215869	0.000555797	0.000841637	0.00183056	0.00728511	0.00388863	0.0064966	0.0114891	0.0333235	0.0647349	0.0778662	0.110925	0.145101	0.147235	0.143102	0.199445	0.0456198
a	0.000213067	0.000439189	0.000777575	6.35286e-05	0.00134339	0.00844819	0.00335677	0.0115506	0.0361713	0.0319374	0.0569852	0.114059	0.204007	0.17779	0.114717	0.0499532	0.115664	0.0725241
e	1.55775e-05	3.08748e-05	6.19679e-05	3.43373e-05	0.00073502	0.0016013	0.000803397	0.00827276	0.00809784	0.0126244	0.0544625	0.175165	0.19765	0.160059	0.115439	0.067791	0.0856942	0.111462
b	9.19569e-06	3.55731e-05	0.000210617	5.73328e-05	0.00129976	0.000881715	0.0003555	0.0014656	0.00174253	0.0121027	0.0194846	0.0379174	0.0730229	0.200928	0.263136	0.19573	0.0383731	0.153248
é	1.20943e-05	6.1618e-05	0.000216494	4.14609e-05	0.000863526	0.00611537	0.000551433	0.00139201	0.0176305	0.0264072	0.0589588	0.0788324	0.0862194	0.263852	0.193016	0.115254	0.0642715	0.0863033
e	3.51946e-06	2.7035e-05	0.00016975	4.53427e-05	0.0017666	0.00145935	0.00045275	0.00286061	0.011703	0.0173319	0.0558063	0.0322684	0.0945874	0.116898	0.112721	0.360851	0.0765295	0.114519
y	6.67916e-06	2.67213e-05	0.000123557	5.40152e-05	0.00119664	0.000987405	0.000468861	0.00183946	0.00197935	0.00728128	0.0157215	0.0299544	0.0808135	0.129631	0.211751	0.263838	0.0517562	0.202571
á	3.18868e-05	8.46527e-05	0.00101252	0.000222729	0.00728062	0.00613318	0.000642329	0.0030238	0.00467867	0.0161691	0.011071	0.025939	0.03891	0.095414	0.20685	0.270224	0.233471	0.0788416
n	6.653e-05	0.000452757	0.000548964	8.21803e-05	0.000730484	0.00677146	0.000931885	0.00280717	0.0166588	0.00896233	0.00406311	0.0175331	0.0291249	0.0356999	0.139965	0.102334	0.541087	0.0921805
d	0.000989758	0.00177669	0.00012575	0.000135106	0.000578101	0.00496643	0.00247155	0.00173904	0.0119751	0.00473111	0.00294665	0.0119045	0.011086	0.0262625	0.173689	0.0166456	0.525214	0.202764
ω	0.000167079	0.000329013	3.98961e-05	0.000339447	0.000365831	0.00128472	0.00193157	0.000649314	0.00186739	0.00116424	0.00102594	0.00364111	0.0056364	0.0100176	0.0603338	0.0207136	0.552762	0.337731
ω	2.9901e-05	6.65206e-05	1.7594e-05	3.54447e-05	0.000169023	0.000505685	0.000353311	0.000557852	0.00147515	0.00112774	0.00204369	0.00461097	0.00183595	0.0041742	0.019593	0.00832803	0.875566	0.0795103
</S>	3.24378e-05	5.17723e-05	3.12182e-05	6.82452e-05	0.000349615	0.0016786	0.00111632	0.00197108	0.00262792	0.00555582	0.00453232	0.0317365	0.037767	0.0607673	0.170663	0.136735	0.174191	0.370125
