 	yongo	qui	était	chef	de	can	ton	mbochi	voyageait	toujours	en	chaise	à	porteurs	dans	son	fief	</S>
m	0.000241707	0.000254762	0.00211147	0.000934116	0.00644598	0.00376289	0.00646704	0.00605993	0.00166257	0.00737902	0.00876884	0.00365696	0.0685134	0.0799682	0.206495	0.31188	0.0554075	0.22999
á	3.21001e-05	0.00103341	0.00253744	0.000245655	0.00678728	0.000329625	0.00147117	0.0612406	0.00365133	0.00560244	0.00373285	0.00039288	0.040846	0.496886	0.128512	0.118174	0.0245247	0.104
p	4.92754e-05	0.000111159	0.00072836	0.000146105	0.00118756	0.000622813	0.00789684	0.00942815	0.00238778	0.0108002	0.0119058	0.00269792	0.062204	0.065302	0.168573	0.151833	0.0736757	0.43045
o	3.59901e-05	4.01802e-05	7.4423e-05	0.000103558	0.000324794	3.08402e-05	0.003183	0.000672436	0.00201547	0.00187511	0.00298219	0.00994491	0.00729927	0.005779	0.0865768	0.01691	0.762355	0.0997972
o	9.94527e-05	5.77577e-05	4.33729e-05	0.000414184	0.000390981	4.27889e-05	0.0018013	0.000760204	0.00211958	0.00117508	0.00342682	0.00627925	0.00993186	0.0278064	0.0550488	0.0104584	0.792294	0.0878496
m	6.82861e-05	0.000102791	0.000353075	0.000403727	0.00374859	0.000592603	0.00895593	0.00601701	0.00324537	0.00785421	0.00859947	0.0035463	0.0261367	0.015744	0.150517	0.176764	0.144907	0.442443
ó	0.00013156	0.000670978	0.00265444	0.000260061	0.0325597	0.00193147	0.0195519	0.0329255	0.00771414	0.0224638	0.0144132	0.00196386	0.0650819	0.0136262	0.135376	0.318756	0.0258914	0.304028
k	0.00131177	0.000850062	0.00214758	0.000746411	0.00685582	0.0034018	0.0179542	0.0169337	0.00811796	0.0162488	0.0164239	0.0117019	0.0642575	0.0359209	0.148147	0.147904	0.189525	0.311551
i	6.35415e-05	7.75653e-05	0.000153628	0.000838212	0.000905571	8.87112e-05	0.012886	0.00129024	0.00215717	0.00295718	0.00518395	0.0230512	0.00869371	0.00419677	0.0950097	0.0163923	0.680676	0.145379
p	5.28533e-05	1.46141e-05	1.88646e-05	0.000230621	0.000264088	1.62309e-05	0.00141254	0.000319238	0.000893509	0.00130378	0.00343267	0.012702	0.00502276	0.00441253	0.061046	0.0112086	0.736825	0.160824
ó	0.000182028	9.70357e-05	8.70553e-05	0.000167495	0.000533467	7.5789e-05	0.0022445	0.000279904	0.000413425	0.00106034	0.00172812	0.00478777	0.00256996	0.000990377	0.0146223	0.0157649	0.82167	0.132725
i	0.000211985	4.29981e-05	0.00010097	0.000195398	0.000865537	0.000201974	0.00284579	0.00251378	0.00384355	0.00678422	0.0128387	0.0132724	0.0238834	0.00734686	0.0567337	0.126077	0.522349	0.219893
</S>	0.000203159	0.000304824	0.000752564	0.000374125	0.00737856	0.000806134	0.0334169	0.0109555	0.00581867	0.0150344	0.0201783	0.0189646	0.0326963	0.00980294	0.132094	0.219039	0.0891396	0.403041
