 	après	la	bise	a	renoncé	à	lui	faire	ôter	son	manteau	</S>
k	0.000837884	0.00726581	0.0449412	0.0223883	0.402265	0.388774	0.0292716	0.0616535	0.0304657	0.00263015	0.00513742	0.00436984
ú	0.000831408	0.00966044	0.0449187	0.0165297	0.379243	0.312474	0.060845	0.125905	0.0155413	0.00587714	0.0119542	0.01622
l	0.000874887	0.00110126	0.0651111	0.0213526	0.458743	0.283587	0.0427022	0.0617597	0.0102303	0.00604011	0.00890134	0.0395972
á	0.00467517	0.00402256	0.051627	0.0795167	0.20926	0.185426	0.241385	0.112625	0.00682511	0.0526195	0.0258202	0.0261987
i	0.00462251	0.00264549	0.00320138	0.043598	0.0164711	0.137512	0.406247	0.28484	0.0524839	0.0391726	0.00412327	0.00508205
s	0.00234594	0.0033121	0.0082426	0.00372715	0.0362165	0.10258	0.222672	0.267311	0.161189	0.0242443	0.0518561	0.116304
ó	0.000436726	0.00073617	0.00104085	0.00221322	0.0164211	0.130618	0.0701917	0.109036	0.58313	0.0336768	0.0183023	0.034197
r	6.83323e-05	0.000261477	0.00650569	0.00583145	0.0798463	0.149602	0.106701	0.356136	0.192845	0.0265352	0.0448838	0.0307833
i	0.00142769	0.00621146	0.0206312	0.021566	0.0365369	0.177341	0.172851	0.271274	0.0817759	0.0274345	0.0543678	0.128584
s	0.00132882	0.00248182	0.00491935	0.0245653	0.00997622	0.103292	0.23522	0.352512	0.12325	0.0966685	0.0227087	0.0230771
a	0.00368866	0.00479541	0.00233096	0.00683413	0.00652083	0.097949	0.160368	0.131658	0.307203	0.111559	0.071012	0.0960803
l	0.00123226	0.00106786	0.00118036	0.00610021	0.00124668	0.0309846	0.125077	0.333606	0.113737	0.302108	0.0610216	0.0226369
á	0.00308654	0.0019214	0.00157968	0.00227632	0.00553797	0.0400556	0.0416818	0.073476	0.402354	0.0855147	0.16254	0.179976
w	0.000981251	0.00106836	0.000886994	0.00658764	0.000487204	0.0176263	0.0822787	0.167693	0.108559	0.380629	0.167259	0.0659437
a	0.000960822	0.00134437	0.000951686	0.00386626	0.00111124	0.0262684	0.159932	0.172668	0.0668976	0.225256	0.107171	0.233572
o	0.000201548	0.000243386	0.00115378	0.00141202	0.000421285	0.00722204	0.0529859	0.298804	0.0634458	0.346212	0.0756256	0.152272
k	0.000105803	0.00294725	0.00609053	0.00475396	0.0102907	0.0151291	0.00899782	0.175364	0.132321	0.20085	0.314958	0.128191
á	2.81766e-05	0.000720308	0.00389758	0.000983691	0.0088938	0.0193055	0.0153604	0.333511	0.0275234	0.0902798	0.348216	0.15128
n	0.000154935	0.000883972	0.00353538	0.00142114	0.00646775	0.00996832	0.0292441	0.135691	0.0396139	0.108862	0.378668	0.28549
d	0.000215012	0.000240657	0.00113107	0.000351488	0.00137514	0.00196974	0.0137651	0.0266445	0.00634322	0.121147	0.556818	0.269999
á	0.000251233	0.00117502	0.00304475	0.00205544	0.00204619	0.00718679	0.0217977	0.0325536	0.0739039	0.0988882	0.453598	0.303499
m	0.000353618	0.000308186	0.00121308	0.00200563	0.000437406	0.00481577	0.0289299	0.0489931	0.0101926	0.35359	0.193749	0.355412
á	0.000352824	0.00291946	0.00267449	0.00702056	0.000432373	0.0216423	0.043435	0.0451259	0.0802413	0.398523	0.0428968	0.354736
p	0.00147052	0.00157809	0.000640823	0.00646399	0.000196814	0.00702935	0.0247057	0.0306395	0.0143181	0.365278	0.236961	0.310719
y	0.000422871	0.00293476	0.00338079	0.0035216	0.00156365	0.00644596	0.0185792	0.0720239	0.00700186	0.165843	0.449053	0.269229
é	0.000674259	0.00123453	0.00368442	0.000995474	0.00502063	0.00529779	0.015794	0.0519541	0.0228264	0.104564	0.423647	0.364308
b	0.00028391	0.00063444	0.00689968	0.000529725	0.0300632	0.00659721	0.0146191	0.0297397	0.0637086	0.110989	0.40275	0.333185
h	0.00131051	0.000284647	0.000437169	0.000533955	0.000596079	0.00191431	0.0188821	0.0227708	0.00577254	0.112079	0.579536	0.255883
i	0.00151341	0.000617861	0.00147756	0.0012427	0.00514914	0.00457611	0.0211877	0.0157337	0.00985226	0.131471	0.360269	0.44691
</S>	0.00240727	0.00326913	0.0040401	0.0102665	0.000975296	0.0101291	0.0429027	0.0195785	0.00663262	0.333975	0.142449	0.423375
