 	les	vieux	oignent	leurs	cheveux	d'	huile	de	palme	pour	cacher	les	cheveux	blancs	</S>
á	0.0231549	0.0055705	0.670642	0.0232268	0.00751622	0.0337758	0.0103003	0.0414987	0.0774171	0.0419114	0.0124663	0.00368452	0.00159264	0.00364383	0.0435992
a	0.00786565	0.00283056	0.00327798	0.196004	0.152429	0.35934	0.115745	0.11058	0.0174238	0.00965977	0.0078003	0.0101932	0.00258199	0.00110004	0.00316911
w	0.0125622	0.00769671	0.0267087	0.0391017	0.0778039	0.113313	0.222975	0.128938	0.261961	0.0634205	0.0241314	0.00862742	0.00419669	0.00269735	0.00586627
ú	0.00349507	0.00328334	0.036	0.0143949	0.0113747	0.09132	0.132903	0.220337	0.235585	0.0798426	0.0595924	0.0287483	0.00320275	0.019255	0.0606666
r	0.00183641	0.00272881	0.00852757	0.0664434	0.0458713	0.261663	0.275518	0.155612	0.102952	0.0292958	0.0169668	0.00699685	0.0019527	0.00439974	0.0192356
a	0.00429827	0.0138425	0.00184613	0.0765062	0.206402	0.40343	0.0625352	0.0457696	0.0423497	0.0394813	0.0315015	0.0440858	0.00711852	0.00308141	0.017752
s	0.00125681	0.000585648	0.00195671	0.0295302	0.0155775	0.139328	0.160499	0.314358	0.155	0.0997755	0.0417368	0.0213753	0.00644865	0.00300715	0.00956465
á	0.00576157	0.00755269	0.00901045	0.0287883	0.128116	0.137278	0.0376733	0.049141	0.235206	0.0561875	0.0209152	0.0902774	0.119538	0.026451	0.0481037
s	0.0101397	0.00406214	0.00345156	0.0149178	0.00587829	0.129126	0.114786	0.0667911	0.110861	0.100621	0.066936	0.08938	0.204956	0.0659039	0.0121893
u	0.00082148	0.00644848	0.00379915	0.0119512	0.0862799	0.0272893	0.00512128	0.0132034	0.205676	0.0784721	0.0398907	0.0381579	0.432472	0.0316347	0.0187831
é	0.00049632	0.00225213	0.000371326	0.00327766	0.0348631	0.0293867	0.0134307	0.0167579	0.156724	0.113636	0.034614	0.0916839	0.27558	0.0982824	0.128645
m	0.00119216	0.000557033	0.00297066	0.00316723	0.00123828	0.011774	0.0024505	0.0304451	0.117934	0.334052	0.18386	0.156503	0.0591919	0.0557028	0.0389613
í	0.00329195	0.00399534	0.00384048	0.00504314	0.00255277	0.0298119	0.0167211	0.0248342	0.14884	0.199233	0.0880152	0.10318	0.0779377	0.0579772	0.234727
b	0.001298	0.000862087	0.0015118	0.00188739	0.000578493	0.00264217	0.00222135	0.00641216	0.0298102	0.107827	0.199767	0.0809481	0.0521181	0.429994	0.082122
h	0.00119081	0.000546598	0.0023581	0.000585803	0.00021163	0.000854509	0.000246607	0.00249015	0.013521	0.140495	0.47781	0.0162202	0.00714506	0.309233	0.0270914
í	0.000778342	0.000626513	0.00125719	0.000285394	5.53118e-05	0.000585493	0.000249657	0.00181517	0.0277482	0.183766	0.660587	0.0111449	0.00161968	0.0746239	0.0348574
s	7.32362e-05	4.69341e-05	0.000179077	0.000112824	4.85582e-05	0.000550109	0.000573305	0.00277456	0.0330543	0.163953	0.349836	0.0449067	0.0310006	0.239718	0.133172
a	0.000342894	0.000493956	0.000845088	0.000327425	0.000638539	0.00105325	0.000413986	0.00136107	0.0165819	0.117153	0.2565	0.078334	0.0227468	0.140657	0.36255
l	0.000158097	0.000165542	0.000280917	0.000542957	0.000868357	0.0013859	0.000500108	0.00261627	0.010131	0.048965	0.0647259	0.10378	0.0611323	0.256217	0.448531
á	0.000733809	0.000579695	0.00552775	0.00286719	0.00247384	0.00334301	0.00102556	0.00717482	0.0622918	0.078275	0.0700011	0.135495	0.0529961	0.216453	0.360762
m	0.00326174	0.000905127	0.00129133	0.0049977	0.00135717	0.011003	0.00343921	0.00776417	0.00825066	0.0221682	0.0429727	0.158921	0.0426615	0.449856	0.24115
b	0.00412117	0.0150953	0.00843029	0.0363456	0.0139318	0.0409468	0.090501	0.0105113	0.0226955	0.0366094	0.0587168	0.101675	0.0571794	0.231348	0.271892
v	0.00331363	0.00351894	0.00278932	0.00449585	0.00123053	0.0104482	0.0195042	0.00492554	0.022892	0.0675244	0.260092	0.0839625	0.0300589	0.229546	0.255697
i	0.00314276	0.00230418	0.00164109	0.00147064	0.000719975	0.00474272	0.00870155	0.0030254	0.0123392	0.0542846	0.386809	0.127062	0.0209329	0.121387	0.251437
í	0.000336728	0.000308108	0.000181249	0.0005695	0.000741332	0.00146965	0.000815312	0.00168577	0.00765148	0.0251828	0.0560868	0.0330251	0.0318965	0.189811	0.650239
</S>	0.00146111	0.000741551	0.0034419	0.00707764	0.00152579	0.00986266	0.00364898	0.0235241	0.0200298	0.0330234	0.03068	0.100481	0.0315189	0.126429	0.606554
