 	ce	long	fagot	de	bois	que	nyasoni	a	apporté	contient	de	grosses	fourmis	rouges	</S>
ó	0.023068	0.00052237	0.0313231	0.314173	0.0201505	0.332023	0.00353481	0.107634	0.0908033	0.0127493	0.0182446	0.0172529	0.0073084	0.000230676	0.0209818
ó	0.00759062	0.00860444	0.0659749	0.170448	0.493612	0.048325	0.108004	0.0251348	0.0183867	0.0160885	0.00882316	0.00865731	0.00545921	0.00630723	0.00858457
y	0.0247526	0.089613	0.0325828	0.119176	0.271616	0.0967168	0.243941	0.0400219	0.0289932	0.0325936	0.0052161	0.00685933	0.00367246	0.00108077	0.00316476
ε	0.00216318	0.00107334	0.0236121	0.0544803	0.0603756	0.023376	0.792134	0.00866205	0.0072015	0.011468	0.0021329	0.00182706	0.00276371	0.00408125	0.00464855
í	0.00164429	0.000502599	0.0713299	0.176206	0.0771936	0.0621343	0.175082	0.02928	0.0188132	0.0253098	0.0381926	0.0282105	0.0345699	0.0167405	0.244791
l	0.00210023	0.000252655	0.00417621	0.0567241	0.0505671	0.402764	0.0437719	0.209888	0.102303	0.0530852	0.0216552	0.0153091	0.0193145	0.00157656	0.0165131
a	0.00182072	0.00233336	0.010431	0.0344188	0.0936196	0.110341	0.135398	0.142435	0.0749771	0.0679028	0.0363178	0.0318699	0.0452204	0.0149711	0.197943
n	0.00121232	0.000474823	0.00551556	0.0264653	0.0947293	0.270777	0.188505	0.200083	0.0899933	0.0212065	0.0261518	0.0122436	0.0144904	0.0158333	0.0323187
y	0.000349751	0.000126833	0.0105719	0.00793055	0.0226007	0.023827	0.887654	0.0165176	0.00453941	0.00257728	0.00236079	0.00598537	0.00341312	0.00117257	0.0103736
a	8.01053e-05	6.39169e-05	0.00955544	0.0075473	0.0643802	0.0172024	0.839284	0.0114527	0.00502251	0.00444129	0.0047413	0.0103288	0.00767586	0.00617287	0.0120512
s	0.000301308	0.000148826	0.019256	0.043553	0.110047	0.0664459	0.568694	0.0484184	0.0219217	0.0295972	0.0164178	0.0260823	0.0194109	0.00632258	0.023383
ώ	0.000876841	0.000674869	0.00345673	0.0199455	0.0803313	0.130202	0.227794	0.109271	0.073236	0.070971	0.0703025	0.0542989	0.0269432	0.0420733	0.0896229
n	0.00150047	0.000233561	0.00105768	0.00543306	0.0073914	0.0750405	0.0387461	0.18557	0.187616	0.198793	0.107641	0.0857345	0.0889931	0.00245118	0.0137975
i	0.00445225	0.00119907	0.0185209	0.0175249	0.0144477	0.0863644	0.360595	0.176607	0.0683166	0.0256098	0.0272207	0.0456432	0.0525964	0.00565726	0.0952456
ó	0.000112368	0.000146061	0.0014085	0.00544027	0.0180425	0.039256	0.104581	0.166082	0.129366	0.184789	0.0938005	0.0789774	0.132386	0.00762956	0.0379815
d	0.00239773	0.00449235	0.00258671	0.00718421	0.00614965	0.00899605	0.0564649	0.0584254	0.0912666	0.414174	0.105475	0.0868301	0.127276	0.0202037	0.00807795
í	0.000580354	0.000885666	0.000179699	0.00209426	0.00078074	0.0124543	0.0495048	0.055791	0.107791	0.416842	0.0919993	0.0847072	0.0650029	0.0132349	0.0981523
l	0.00104369	7.30708e-05	0.000146291	0.00173297	0.00254168	0.0238606	0.0289592	0.039484	0.0773467	0.301786	0.13489	0.149906	0.128101	0.0354951	0.0746338
a	0.000178154	0.000221355	0.000636842	0.00202799	0.00300112	0.00586054	0.00731527	0.0396609	0.0686052	0.0971633	0.171222	0.172265	0.130252	0.0694409	0.232149
l	9.3677e-05	0.000169735	0.000691804	0.00139924	0.0050331	0.00552429	0.0132593	0.0216516	0.0295403	0.0436831	0.123366	0.151289	0.110191	0.355047	0.13906
o	0.000588761	0.000815411	0.000867518	0.00282828	0.00662596	0.00578851	0.0440223	0.0178537	0.0324182	0.0650202	0.0756641	0.104098	0.168118	0.388622	0.0866688
l	0.000232165	0.000300388	0.00177859	0.0048031	0.00359059	0.00685389	0.0305518	0.0183197	0.0308441	0.0297689	0.0762639	0.0473864	0.0891447	0.61243	0.0477318
o	0.000160334	0.000459216	0.00162169	0.00122245	0.0141891	0.00358886	0.0141299	0.0179572	0.024988	0.0567072	0.112356	0.103416	0.0912208	0.448906	0.109078
n	0.000195077	0.000111802	0.000887075	0.000911163	0.00983964	0.00337144	0.0320832	0.010936	0.0172108	0.0291325	0.0600368	0.0738808	0.0767886	0.535546	0.149069
g	0.00181424	0.00127803	0.0060155	0.00350719	0.00633077	0.00220876	0.00207793	0.0114446	0.0110354	0.025917	0.124608	0.117768	0.0904457	0.327101	0.268447
o	0.00110819	0.00115921	0.0307222	0.00538211	0.0172972	0.0177392	0.0427559	0.0238008	0.012192	0.00402841	0.0476937	0.0477981	0.0588786	0.365129	0.324315
</S>	0.000280247	8.69016e-05	0.00113675	0.00164482	0.00335542	0.00520404	0.00267179	0.0191886	0.0141302	0.018493	0.0725137	0.119504	0.169899	0.147484	0.424408
