 	il	y	a	plusieurs	manières	de	baiser	chacun	fait	ce	qu'	il	veut	</S>
m	0.000695612	0.000896875	0.0058755	0.0084587	0.00540167	0.00796384	0.000907315	0.0163237	0.101462	0.152647	0.321376	0.301619	0.0367934	0.0395795
o	0.00149248	0.000581952	0.0031427	0.0026199	0.00431319	0.00534424	0.00168498	0.0201382	0.153629	0.172018	0.263342	0.266608	0.0161407	0.0889441
r	0.000157624	0.00107755	0.00452889	0.0102153	0.0153055	0.0255731	0.00186845	0.119536	0.133649	0.153792	0.170141	0.143373	0.190907	0.0298753
o	0.000289547	0.000673819	0.00480473	0.016	0.0138247	0.0209101	0.00188459	0.0992638	0.11971	0.197198	0.304767	0.114662	0.0785908	0.0274199
l	5.90568e-05	0.000259944	0.00184753	0.00524778	0.00275958	0.0105471	0.000464035	0.0428856	0.0883712	0.0937042	0.175466	0.216006	0.121421	0.240961
a	0.00154184	0.00196824	0.0181555	0.0240644	0.00667331	0.00879112	0.00141773	0.0282847	0.0775178	0.0756605	0.126806	0.183914	0.237692	0.207513
m	0.00101622	0.00169904	0.0119741	0.0234093	0.0104946	0.0177679	0.000444914	0.00946832	0.0357167	0.0553251	0.1336	0.20365	0.257927	0.237507
o	0.000525783	0.00125343	0.00759476	0.00616822	0.00522609	0.00729982	0.000975444	0.01436	0.109524	0.11632	0.136954	0.2674	0.233224	0.0931737
r	3.63594e-05	0.000532567	0.00192778	0.00482239	0.00506692	0.00810995	0.00107069	0.0263075	0.101867	0.134927	0.122274	0.110514	0.378892	0.103651
o	0.000237542	0.00104469	0.00603163	0.0170768	0.00845043	0.0108546	0.00312784	0.040389	0.0580347	0.0748536	0.108019	0.106322	0.510679	0.0548783
n	6.82769e-05	0.000149099	0.00218731	0.00672321	0.00245242	0.00535704	0.00023235	0.0173529	0.0310065	0.0402882	0.102154	0.10777	0.138562	0.545697
d	0.000951283	0.0020738	0.0169988	0.0840432	0.0226966	0.0327012	0.00430152	0.055098	0.0695516	0.0992221	0.162172	0.111406	0.166134	0.17265
é	7.65992e-05	0.000232239	0.00100914	0.00595149	0.00181874	0.00296413	0.00161148	0.0252934	0.0134446	0.0232115	0.0458776	0.0506212	0.155003	0.672885
n	5.03157e-05	0.000381035	0.00126993	0.00443323	0.00158298	0.00386862	0.000457983	0.0537073	0.0560713	0.0560092	0.0887214	0.0987136	0.0932321	0.541501
g	0.00185136	0.00360735	0.0180755	0.0451712	0.0160003	0.0231361	0.00111907	0.0384646	0.045462	0.0540478	0.107771	0.16391	0.103386	0.377998
é	0.000102694	0.000246237	0.00153373	0.0119748	0.00279698	0.0079509	0.000868864	0.0560757	0.0346218	0.0615225	0.13491	0.0648352	0.132288	0.490273
y	0.00096524	0.0011861	0.010438	0.012441	0.00305045	0.00478332	0.000241445	0.0106367	0.0280983	0.0276966	0.0799606	0.158791	0.0560709	0.60564
á	0.00247979	0.0138829	0.0504463	0.0940986	0.0446861	0.0711741	0.00122104	0.0225304	0.0362714	0.043927	0.0836595	0.134199	0.295794	0.10563
w	0.00586463	0.0125031	0.037321	0.0512428	0.0492411	0.0813692	0.00369335	0.0103225	0.0348607	0.0538677	0.0922095	0.118351	0.274805	0.174348
a	0.00471022	0.0117415	0.0228517	0.023395	0.02514	0.0287128	0.00829162	0.00230874	0.0282826	0.0360814	0.0713576	0.177707	0.164712	0.394708
</S>	0.000150046	0.00218493	0.00167688	0.00328529	0.00477253	0.00638074	0.000671855	0.00312495	0.00869133	0.0109698	0.0278187	0.0604568	0.274052	0.595764
