 	ma	femme	m'	a	fait	goûter	les	feuilles	de	manioc	qu'	elle	a	préparées	</S>
á	0.00169975	0.00122165	0.000746156	0.00201042	0.00134222	0.00321379	0.112589	0.0521731	0.133928	0.0317989	0.0400969	0.102107	0.157484	0.129727	0.229862
á	0.00149117	0.00045261	0.00493935	0.00768707	0.00261517	0.00100278	0.0247252	0.071678	0.112486	0.0584451	0.193268	0.155237	0.135631	0.209839	0.0205024
l	0.001887	0.000129114	0.00233062	0.004866	0.00486668	0.00569442	0.00967477	0.0317725	0.0280044	0.0245214	0.0456406	0.0507201	0.245252	0.423257	0.121383
á	0.00101866	3.24521e-05	0.0013931	0.00746947	0.0058781	0.00768489	0.0122259	0.049487	0.034641	0.0131306	0.0136292	0.0173735	0.110766	0.532888	0.192382
m	0.000326696	5.9312e-05	0.00113276	0.00307953	0.00161914	0.0010484	0.00402043	0.0253587	0.0315566	0.0110476	0.0406474	0.0609348	0.097466	0.565766	0.155936
b	0.0011255	0.00030751	0.000110409	0.000938679	0.000554613	0.00244905	0.0177652	0.0225772	0.0709115	0.0359905	0.091934	0.15215	0.124092	0.332284	0.14681
í	0.000858765	8.033e-05	0.000396811	0.00209739	0.00285308	0.000496986	0.0355547	0.034049	0.08712	0.0207655	0.0756645	0.297525	0.137431	0.166844	0.138263
w	0.000811772	8.29546e-05	0.00126369	0.00163909	0.000846094	7.75706e-05	0.00932623	0.0212446	0.0239415	0.0115759	0.181562	0.24441	0.0804894	0.10046	0.322269
a	0.00231748	5.92669e-05	0.0014583	0.00653718	0.00567768	0.000194828	0.0131595	0.0330594	0.0658533	0.0321709	0.169455	0.450763	0.115231	0.0249539	0.0791096
</S>	0.00157221	7.63027e-05	0.00190499	0.00187595	0.000739708	0.000463237	0.00851417	0.01296	0.0209613	0.00840104	0.150295	0.131131	0.139683	0.131707	0.389716
