 	elle	a	mis	une	amulette	sur	le	cou	de	son	bébé	pour	qu'	il	grandisse	bien	</S>
έ	0.000756251	0.00100934	0.0107641	0.0458499	0.483454	0.0375444	0.0512965	0.0537547	0.0357427	0.019648	0.00326	0.0361322	0.0595585	0.0661362	0.02667	0.0120543	0.0563689
m	0.000325397	0.000335427	0.00130391	0.0188282	0.0183725	0.165749	0.175926	0.236664	0.129013	0.042694	0.013919	0.0397626	0.0387442	0.0270498	0.0143253	0.0190293	0.0579585
ó	0.00447592	0.000607612	0.000220095	0.00159453	0.00169913	0.135116	0.136202	0.126386	0.194739	0.0683553	0.138253	0.0846717	0.0228136	0.00911424	0.0233279	0.00180681	0.0506176
k	0.00367727	0.00158382	0.000884322	0.00623037	0.00605013	0.0980201	0.121013	0.302127	0.236317	0.110517	0.050194	0.0243851	0.0113331	0.00841324	0.0065027	0.0075825	0.00516998
í	0.000868532	0.0011863	0.00288996	0.00801051	0.0394108	0.0563474	0.128715	0.279154	0.206258	0.0899743	0.00886655	0.0578561	0.0289055	0.0418561	0.0155902	0.0128929	0.0212181
n	0.00107702	0.000445631	0.000770235	0.00411053	0.0167739	0.025504	0.0650322	0.115995	0.157436	0.0758825	0.0156453	0.07675	0.0705619	0.130467	0.0881843	0.0322591	0.123105
g	0.000312197	0.000258921	0.00163055	0.00220585	0.0254463	0.0138795	0.0724541	0.258456	0.165246	0.0978005	0.0258773	0.0364365	0.0383343	0.0669553	0.0392754	0.020597	0.134834
í	0.00436684	0.00145744	0.000832386	0.00524249	0.0061679	0.0388072	0.105348	0.397359	0.144052	0.0985176	0.0648832	0.0117263	0.0105867	0.0193835	0.0362772	0.00403984	0.0509527
m	0.00159555	0.00122488	0.00159515	0.00571367	0.00192241	0.0286104	0.0484088	0.12359	0.237187	0.186973	0.0888156	0.0998396	0.0725426	0.0535923	0.0131848	0.0104639	0.0247405
ó	0.00335244	0.00167893	0.000484208	0.00212571	0.00035244	0.032883	0.0281232	0.0186565	0.0566887	0.0950603	0.257241	0.256133	0.0760184	0.0365818	0.0367589	0.0101188	0.0877424
i	0.00199371	0.00191921	0.00151476	0.00825418	0.00444309	0.0387906	0.0382864	0.0748049	0.0912389	0.163525	0.16408	0.135209	0.0723381	0.0695588	0.0546956	0.0706181	0.00872943
b	0.000222675	0.0013707	0.00325551	0.00822848	0.0134445	0.0135819	0.026291	0.0144833	0.0186838	0.0499301	0.242925	0.201134	0.0725032	0.182754	0.0894467	0.044083	0.017663
á	4.07716e-05	0.00104541	0.00772313	0.0038706	0.0206736	0.0121857	0.0339442	0.0138972	0.0254518	0.0708211	0.243513	0.243535	0.0608611	0.105591	0.0679919	0.0763151	0.0125391
r	0.000237936	0.000236565	0.000512577	0.00145744	0.00182182	0.00354863	0.0111461	0.0137306	0.0465996	0.0989623	0.0593521	0.156119	0.171741	0.20582	0.139529	0.0367918	0.052394
a	0.000213775	0.000135108	0.000725415	0.00148544	0.00770078	0.00622616	0.0279324	0.0594551	0.12618	0.186208	0.0685138	0.128275	0.10833	0.100598	0.0449631	0.0191813	0.113876
l	0.0014646	0.00040983	0.000561878	0.00224463	0.000478947	0.00919494	0.0101509	0.0215483	0.0504833	0.137566	0.135217	0.236561	0.181084	0.130796	0.027777	0.0219734	0.0324887
á	0.00728483	0.00228158	0.00221517	0.00457616	0.00302988	0.00897487	0.0182545	0.0281653	0.0296292	0.0697465	0.111706	0.0996844	0.0898667	0.148661	0.0695428	0.0679253	0.238455
w	0.00144141	0.000676159	0.000495103	0.00386847	0.000531257	0.00843982	0.0109001	0.0160956	0.0243163	0.0693831	0.111457	0.11878	0.124923	0.150126	0.174501	0.139792	0.0442739
a	0.00171113	0.0010197	0.000935752	0.00271487	0.000694792	0.00389588	0.0101183	0.00710689	0.0247312	0.0867091	0.0722043	0.138879	0.212794	0.180555	0.15482	0.0763413	0.0247697
l	0.000179415	4.54045e-05	4.24376e-05	0.000204573	0.000112216	0.00188117	0.00241331	0.00667066	0.0115228	0.0281774	0.0267307	0.136596	0.183405	0.28758	0.1091	0.132351	0.0729876
a	0.00104332	0.00144615	0.00249211	0.00417569	0.00154356	0.00507272	0.00811367	0.00824957	0.00828991	0.0182396	0.0369273	0.0739802	0.0723477	0.211874	0.134351	0.148557	0.263297
n	0.000159462	0.000135578	0.000160468	0.000921804	0.000219051	0.00262584	0.00363162	0.00547396	0.0047948	0.0126267	0.0249246	0.0638312	0.0801689	0.168433	0.269997	0.262114	0.0997827
g	0.00212216	0.000561963	0.000267071	0.00111161	0.000160519	0.00233344	0.0076799	0.018312	0.00864641	0.0291434	0.346805	0.0353274	0.0374186	0.089662	0.313202	0.0666551	0.0405914
a	9.22777e-05	0.000147135	0.000110208	0.000418765	0.000173868	0.00108125	0.00405051	0.0133238	0.00773676	0.0331308	0.459854	0.0359948	0.0306248	0.100864	0.215322	0.059958	0.0371177
a	1.9672e-05	9.9157e-06	1.67545e-05	9.47633e-05	0.000137778	0.00300564	0.00781735	0.0366682	0.0245307	0.0368825	0.0997373	0.0487227	0.0448577	0.107218	0.245334	0.142085	0.202862
</S>	7.7027e-05	4.55883e-05	8.17661e-05	0.000489383	0.000268322	0.00297281	0.00363116	0.00429981	0.00531148	0.00865652	0.0100063	0.0684994	0.0817952	0.10287	0.0827709	0.2339	0.394324
